date,extent_pct,invalid_pct,n_water,n_valid,n_aoi
2005-01-01,0.0314938424108114,3.466321032715109,3654,11602268,12018881
2005-02-01,0.075924555849469,2.666021903370205,8882,11698455,12018881
2005-03-01,0.1038703954694054,4.774562623591996,11888,11445032,12018881
2005-04-01,0.0524152323852549,3.4402204331667816,6083,11605405,12018881
2005-05-01,0.0464134905813742,2.552392356659493,5436,11712112,12018881
2005-06-01,0.0436060252834669,2.575031735483528,5106,11709391,12018881
2005-07-01,0.0352375322249196,2.577403004489353,4126,11709106,12018881
2005-08-01,0.0330795949889153,2.5855734822567924,3873,11708124,12018881
2005-09-01,0.0358197765488358,2.6047100391459077,4193,11705824,12018881
2005-10-01,0.0286454348719596,2.610059954832733,3353,11705181,12018881
2005-11-01,0.0320875391112255,2.581654648215587,3757,11708595,12018881
2005-12-01,0.0778490077826663,25.52834161516368,6968,8950660,12018881
2006-01-01,0.6684444097754745,55.6283234687156,35648,5332979,12018881
2006-02-01,0.2421542172438027,4.106713428646144,27909,11525300,12018881
2006-03-01,0.5597830160010316,6.965931354175152,62593,11181654,12018881
2006-04-01,0.1189120461695109,2.588161077557886,13922,11707813,12018881
2006-05-01,0.0792196463356172,2.5974880689807978,9274,11706692,12018881
2006-06-01,0.0628884035713849,2.57303487737336,7364,11709631,12018881
2006-07-01,0.0505935412242578,2.561802550503662,5925,11710981,12018881
2006-08-01,0.0425443665683413,2.54933882779936,4983,11712479,12018881
2006-09-01,0.0317011916727323,2.5754643880740646,3712,11709339,12018881
2006-10-01,0.018701476758823,2.6119153688267653,2189,11704958,12018881
2006-11-01,0.0253142787939592,3.335851315941975,2941,11617949,12018881
2006-12-01,0.0266434422095268,2.755680832516771,3114,11687679,12018881
2007-01-01,0.1144678087819274,9.963473305043957,12387,10821383,12018881
2007-02-01,0.0875628602192481,2.6517859690931296,10245,11700166,12018881
2007-03-01,0.256766813410041,32.885074741983054,20712,8066463,12018881
2007-04-01,0.2287555834573674,2.5491557824725946,26793,11712501,12018881
2007-05-01,0.0809942027718509,2.54347305710074,9487,11713184,12018881
2007-06-01,0.0573754143317241,2.594051808982883,6717,11707105,12018881
2007-07-01,0.051727108300122,2.541725806254343,6059,11713394,12018881
2007-08-01,0.0437376937044955,2.544929099472738,5123,11713009,12018881
2007-09-01,0.0422731073408002,2.6128888371554724,4948,11704841,12018881
2007-10-01,0.0273331879464772,3.3223309224877093,3176,11619574,12018881
2007-11-01,0.0327820172769903,4.061684278261845,3780,11530712,12018881
2007-12-01,0.0688637961050724,16.3551249072189,6923,10053178,12018881
2008-01-01,0.086642693232273,7.927052443567749,9588,11066138,12018881
2008-02-01,0.2381120307852238,28.5110319338381,20459,8592174,12018881
2008-03-01,0.1828942515384754,2.637824602806201,21402,11701844,12018881
2008-04-01,0.123172280566712,2.5664119646413006,14424,11710427,12018881
2008-05-01,0.0706254966922473,2.5492972265887315,8272,11712484,12018881
2008-06-01,0.086365277876897,7.197783221249965,9633,11153788,12018881
2008-07-01,0.052798004584799,6.645876600325771,5924,11220121,12018881
2008-08-01,0.0378996895367401,2.5491890634410974,4439,11712497,12018881
2008-09-01,0.0387926948111567,2.583360297851356,4542,11708390,12018881
2008-10-01,0.0298602283367929,2.587595301093338,3496,11707881,12018881
2008-11-01,0.026648959913302,2.588485567000788,3120,11707774,12018881
2008-12-01,0.0365307284166936,3.429720287604145,4240,11606667,12018881
2009-01-01,0.177388636540257,3.963996315463977,20475,11542453,12018881
2009-02-01,1.100414949098223,6.2223762761275365,124028,11271021,12018881
2009-03-01,0.236318977170347,2.552192670848476,27678,11712136,12018881
2009-04-01,0.139610264569521,2.5661623573775296,16349,11710457,12018881
2009-05-01,0.0890064545497218,2.6882702308143327,10410,11695781,12018881
2009-06-01,0.0438205405653861,2.976009164247487,5110,11661198,12018881
2009-07-01,0.0574480873108463,2.557958598641587,6728,11711443,12018881
2009-08-01,0.0584838410001095,2.548024229543499,6850,11712637,12018881
2009-09-01,0.0389707620235559,2.558782302612032,4564,11711344,12018881
2009-10-01,0.0393988206500062,2.624911587027112,4611,11703396,12018881
2009-11-01,0.0304161937796748,2.562751058105992,3562,11710867,12018881
2009-12-01,0.0528389873169012,4.4665472600985066,6067,11482052,12018881
2010-01-01,0.1548018674719452,8.768678215551015,16974,10964984,12018881
2010-02-01,0.1091444749679073,2.6295626023753798,12773,11702837,12018881
2010-03-01,0.0913418612059566,7.280469787495192,10179,11143850,12018881
2010-04-01,0.0726441336528991,2.6458785971838807,8500,11700876,12018881
2010-05-01,0.0595518926577356,6.321661725413539,6705,11259088,12018881
2010-06-01,0.0481819005507589,3.7632205527286606,5573,11566584,12018881
2010-07-01,0.0627675398850547,10.683465457391582,6738,10734848,12018881
2010-08-01,0.0419398594987764,7.354170492244661,4670,11134992,12018881
2010-09-01,0.0366090026198503,30.20442585295586,3071,8388647,12018881
2010-10-01,0.0897532084582209,28.75902507063677,7685,8562368,12018881
2010-11-01,0.0535961037606215,2.618147230178916,6273,11704209,12018881
2010-12-01,0.0436969387449066,2.6254024813125283,5114,11703337,12018881
2011-01-01,0.2235566747483679,6.204213187567129,25202,11273204,12018881
2011-02-01,0.491919732251377,25.63669612836669,43966,8937637,12018881
2011-03-01,3.6511856111474006,60.3353590072154,174061,4767246,12018881
2011-04-01,0.3949344019549978,3.5787108633490923,45768,11588760,12018881
2011-05-01,0.1765721898714642,3.600043964159392,20458,11586196,12018881
2011-06-01,0.1221028750670746,2.5784596752393174,14297,11708979,12018881
2011-07-01,0.1167952937129197,9.449606831118473,12711,10883144,12018881
2011-08-01,0.093025349343517,2.769134664034031,10871,11686062,12018881
2011-09-01,0.0516947657029727,3.205023828757436,6014,11633673,12018881
2011-10-01,0.0636881814233242,14.14320517858526,6572,10319026,12018881
2011-11-01,0.0606850569933086,6.357089316384778,6830,11254830,12018881
2011-12-01,0.0797664674975224,13.549930313812077,8288,10390331,12018881
2012-01-01,0.1761613744273154,25.961002525942305,15676,8898659,12018881
2012-02-01,0.1230863543518272,8.088648186133135,13597,11046716,12018881
2012-03-01,0.2628243765065219,17.603053062926573,26028,9903191,12018881
2012-04-01,0.1513090216635853,5.749869725808916,17140,11327811,12018881
2012-05-01,0.0784590882299722,7.11464736192995,8759,11163780,12018881
2012-06-01,0.0616347815519918,5.788633733872563,6979,11323152,12018881
2012-07-01,0.0613501793231672,5.487208002142629,6969,11359380,12018881
2012-08-01,0.0544789518039309,3.4937195900350457,6319,11598975,12018881
2012-09-01,0.0363540075532581,3.440902693021089,4219,11605323,12018881
2012-10-01,0.0307555809041858,5.585769590363696,3490,11347534,12018881
2012-11-01,0.0243415753291613,38.74729269721532,1792,7361890,12018881
2012-12-01,0.0127134913546725,18.587420908818384,1244,9784881,12018881
2013-01-01,0.0258232519580543,30.308220873474,2163,8376172,12018881
2013-02-01,0.1022359567388388,9.21755527823264,11155,10911034,12018881
2013-03-01,0.1644519423196145,5.839952987303893,18611,11316984,12018881
2013-04-01,0.0733572640192048,2.934449554829605,8558,11666193,12018881
2013-05-01,0.0705961672999275,3.2748805816448305,8207,11625277,12018881
2013-06-01,0.066506492130309,3.344487727268454,7726,11616911,12018881
2013-07-01,0.045921225203563,2.558649178738021,5378,11711360,12018881
2013-08-01,0.0366990055662435,2.557575867503805,4298,11711489,12018881
2013-09-01,0.0356696787823678,2.6147359309073783,4175,11704619,12018881
2013-10-01,0.0337940639108349,2.5769786721409425,3957,11709157,12018881
2013-11-01,0.0295441558756495,2.559281517139574,3460,11711284,12018881
2013-12-01,0.103472323172558,41.27634677471222,7303,7057926,12018881
2014-01-01,0.1156402334678655,7.645786658508392,12836,11099943,12018881
2014-02-01,0.7735935619728476,7.745213551910531,85776,11087993,12018881
2014-03-01,0.1709545066365447,3.5665799503298183,19814,11590218,12018881
2014-04-01,0.0913713351555225,2.566170677619655,10700,11710456,12018881
2014-05-01,0.076248188752635,2.740879121775147,8913,11689458,12018881
2014-06-01,0.0635280430261527,2.611008462435064,7436,11705067,12018881
2014-07-01,0.0636200047388407,2.555612290362139,7451,11711725,12018881
2014-08-01,0.0535025286049826,2.556685601596355,6266,11711596,12018881
2014-09-01,0.0429922467061482,2.577552768847616,5034,11709088,12018881
2014-10-01,0.0426870521606061,2.563216991665031,4999,11710811,12018881
2014-11-01,0.0308195663710248,3.325093242873442,3581,11619242,12018881
2014-12-01,0.0905367509517768,5.564528012216778,10276,11350087,12018881
2015-01-01,0.2942955063501603,28.71566828891974,25214,8567579,12018881
2015-02-01,0.1945615828813181,2.7374345415351065,22744,11689872,12018881
2015-03-01,0.1516558131456356,2.947944987557494,17690,11664571,12018881
2015-04-01,0.0921819297566676,2.800160846920774,10769,11682333,12018881
2015-05-01,0.073922644713933,2.5850659474871245,8655,11708185,12018881
2015-06-01,0.068026443966964,2.580930787150651,7965,11708682,12018881
2015-07-01,0.0407194318439618,2.554547299370049,4769,11711853,12018881
2015-08-01,0.0448214796075076,2.5624515293894663,5249,11710903,12018881
2015-09-01,0.0392051273577409,2.568275698877458,4591,11710203,12018881
2015-10-01,0.0348679292847992,2.57078841199942,4083,11709901,12018881
2015-11-01,0.0372641199149469,2.606324166118293,4362,11705630,12018881
2015-12-01,0.0447414076199626,3.671215315302648,5180,11577642,12018881
2016-01-01,0.0689774438367785,2.7660811351738985,8061,11686429,12018881
2016-02-01,0.1180005496297838,4.479834686773253,13547,11480455,12018881
2016-03-01,0.1090997687549957,2.6735517224939658,12762,11697550,12018881
2016-04-01,0.0570420206420545,2.579017131461739,6679,11708912,12018881
2016-05-01,0.0804040244559464,2.61457784630699,9411,11704638,12018881
2016-06-01,0.0560257012672707,2.593868763656117,6559,11707127,12018881
2016-07-01,0.0450415603386988,2.5582664476002384,5275,11711406,12018881
2016-08-01,0.0504118433244659,2.5737088169855413,5903,11709550,12018881
2016-09-01,0.0365409276750089,2.56865843001524,4279,11710157,12018881
2016-10-01,0.0385123455598571,2.587154328260676,4509,11707934,12018881
2016-11-01,0.0340941572814475,2.6047599605986616,3991,11705818,12018881
2016-12-01,0.0516833617425731,8.99522176814963,5653,10937756,12018881
2017-01-01,1.2752761434255744,7.250367151484402,142161,11147468,12018881
2017-02-01,2.3890938006845737,13.709695603109807,247776,10371129,12018881
2017-03-01,0.5563648227330377,3.727934405873559,64376,11570825,12018881
2017-04-01,0.2468402262452723,2.677795045978074,28873,11697040,12018881
2017-05-01,0.168452623062624,2.5492306646517258,19730,11712492,12018881
2017-06-01,0.1352529785900001,2.890610199069281,15786,11671462,12018881
2017-07-01,0.1053712697238001,2.593461071791958,12336,11707176,12018881
2017-08-01,0.0868736145579516,2.5498546828111537,10175,11712417,12018881
2017-09-01,0.0716418613872138,2.549779800632022,8391,11712426,12018881
2017-10-01,0.0549725295294858,2.543980591870408,6439,11713123,12018881
2017-11-01,0.0470061917116174,2.6128888371554724,5502,11704841,12018881
2017-12-01,0.0846789993677621,3.0898467170113424,9863,11647516,12018881
2018-01-01,0.2792768428135712,14.904840142772027,28563,10227486,12018881
2018-02-01,0.6619752826834662,6.534551760683877,74363,11233501,12018881
2018-03-01,0.2055405430215484,2.5650973663854395,24070,11710585,12018881
2018-04-01,0.146204173817045,2.5671691066747395,17121,11710336,12018881
2018-05-01,0.0976433831387168,2.5617859100194105,11435,11710983,12018881
2018-06-01,0.093004575435778,2.5506035046024667,10893,11712327,12018881
2018-07-01,0.0756519807397792,2.5462852989392277,8861,11712846,12018881
2018-08-01,0.0598636096612626,2.5425661507090385,7012,11713293,12018881
2018-09-01,0.0526442194196721,2.548440241649784,6166,11712587,12018881
2018-10-01,0.042072700259219,2.6038447339648343,4925,11705928,12018881
2018-11-01,0.0366768547768313,2.6348376358830743,4292,11702203,12018881
2018-12-01,0.0415026309337554,2.5691243635742795,4860,11710101,12018881
2019-01-01,0.0675555955021026,2.9857604880188098,7877,11660026,12018881
2019-02-01,0.0811156742022313,3.2535641213187816,9432,11627839,12018881
2019-03-01,0.0643982820280282,2.75134598636928,7527,11688200,12018881
2019-04-01,0.0558047831059225,2.670456592423205,6528,11697922,12018881
2019-05-01,0.0435118317430937,2.555346042614117,5096,11711757,12018881
2019-06-01,0.0488149248109222,2.590890116975116,5715,11707485,12018881
2019-07-01,0.0457723277585598,2.5688664360683826,5360,11710132,12018881
2019-08-01,0.0378150714846678,2.617157121365957,4426,11704328,12018881
2019-09-01,0.0413571781134021,2.568467064446349,4843,11710180,12018881
2019-10-01,0.0395419385335038,2.556519196753841,4631,11711616,12018881
2019-11-01,0.03474258977019,2.5545722600964265,4069,11711850,12018881
2019-12-01,0.0340129792227109,2.83708608147464,3972,11677895,12018881
2020-01-01,0.1542504017825975,5.373337168410271,17543,11373066,12018881
2020-02-01,0.1723439402933496,4.464716806830852,19789,11482272,12018881
2020-03-01,0.3485444019790509,2.587986352473246,40807,11707834,12018881
2020-04-01,0.1629827960801472,2.561211813312737,19087,11711052,12018881
2020-05-01,0.0977000686462545,2.5757389560642125,11440,11709306,12018881
2020-06-01,0.0903657918065444,2.605267495368329,10578,11705757,12018881
2020-07-01,0.0666856904462203,2.5561697465845614,7810,11711658,12018881
2020-08-01,0.0620367786057981,2.5499378852324104,7266,11712407,12018881
2020-09-01,0.0450359613218357,2.5461521750652163,5275,11712862,12018881
2020-10-01,0.0356640269190331,2.645961799605138,4173,11700866,12018881
2020-11-01,0.0558523240489834,10.097454163994136,6035,10805280,12018881
2020-12-01,0.3678544333775706,13.118584001289303,38412,10442174,12018881
2021-01-01,0.2365298646867095,3.1245088457070174,27540,11643350,12018881
2021-02-01,0.9471321681779904,7.985868235154338,104744,11059069,12018881
2021-03-01,0.988433666504022,3.792690850337897,114293,11563042,12018881
2021-04-01,0.2292395302785148,2.606074558854522,26834,11705660,12018881
2021-05-01,0.1339289334901301,2.5393878182170204,15688,11713675,12018881
2021-06-01,0.1000385256383425,2.5991687578901894,11711,11706490,12018881
2021-07-01,0.0993167692689515,2.5447793351144754,11633,11713027,12018881
2021-08-01,0.074018214969215,2.5422333410240103,8670,11713333,12018881
2021-09-01,0.0575214407413024,2.5665034873046837,6736,11710416,12018881
2021-10-01,0.0470457288753791,2.55324934159844,5510,11712009,12018881
2021-11-01,0.053700983123341,2.5604380307950465,6289,11711145,12018881
2021-12-01,0.0474413691311566,2.9800777626469555,5532,11660709,12018881
2022-01-01,0.0561284389172885,3.9580473423441,6479,11543168,12018881
2022-02-01,0.5193776397598401,2.720744135830948,60725,11691878,12018881
2022-03-01,0.250168792737206,7.095668889641224,27934,11166061,12018881
2022-04-01,0.1437297849253327,2.719071767163682,16805,11692079,12018881
2022-05-01,0.0835533354493222,2.7202865225140345,9769,11691933,12018881
2022-06-01,0.0755296504981099,2.718922002805419,8831,11692097,12018881
2022-07-01,0.0607256289107044,2.7613885186150027,7097,11686993,12018881
2022-08-01,0.0564531608124738,2.7271507222677385,6600,11691108,12018881
2022-09-01,0.0476142742582197,2.7207940572837024,5567,11691872,12018881
2022-10-01,0.0483979417490275,2.7143541898784087,5659,11692646,12018881
2022-11-01,0.0452194365745442,2.720769096557325,5287,11691875,12018881
2022-12-01,0.2656352951853507,2.729372226915301,31055,11690841,12018881
2023-01-01,1.2871824927945197,6.944789618933743,143961,11184195,12018881
2023-02-01,0.858726355265774,2.9147555417180686,100201,11668560,12018881
2023-03-01,0.3952978897774211,2.7202116403349037,46218,11691942,12018881
2023-04-01,0.2909044234396644,3.5450055624978734,33724,11592811,12018881
2023-05-01,0.1457666968133968,2.7313857255097207,17041,11690599,12018881
2023-06-01,0.1181834151813766,2.811285010642837,13805,11680996,12018881
2023-07-01,0.1346419023185058,2.721775845854535,15742,11691754,12018881
2023-08-01,0.0923509751038125,2.7258194835276264,10797,11691268,12018881
2023-09-01,0.0593913769434019,2.7202865225140345,6944,11691933,12018881
2023-10-01,0.0529927791779088,2.7184061477936257,6196,11692159,12018881
2023-11-01,0.0426342803371353,3.340319285963477,4953,11617412,12018881
2023-12-01,0.044850584751691,2.755539388400634,5242,11687696,12018881
2024-01-01,0.0377173263110529,5.364875482168432,4290,11374083,12018881
2024-02-01,0.1770151748431124,2.722616190309231,20696,11691653,12018881
2024-03-01,0.4057418244653833,2.847552946068773,47377,11676637,12018881
2024-04-01,0.1506818572133315,2.718198141740483,17618,11692184,12018881
2024-05-01,0.0995868467355606,2.7255282750532266,11643,11691303,12018881
2024-06-01,0.081452149064874,2.723664540817069,9523,11691527,12018881
2024-07-01,0.0687391443126889,2.7194960995120927,8037,11692028,12018881
2024-08-01,0.0483286588262661,2.7126152592741373,5651,11692855,12018881
2024-09-01,0.0436010051323121,2.716475851620463,5098,11692391,12018881
2024-10-01,0.0389654152006171,2.716234564598817,4556,11692420,12018881
2024-11-01,0.0360793236887098,5.703692382011271,4089,11333361,12018881
2024-12-01,0.0582774557767724,4.544324883489569,6686,11472704,12018881
2025-01-01,0.2393486028541332,3.66052380417112,27714,11578927,12018881
2025-02-01,0.2393306612803676,6.135496307850955,27000,11281463,12018881
2025-03-01,0.236290866290655,2.7166588969472283,27628,11692369,12018881
2025-04-01,0.2173879947635981,2.719745706775864,25417,11691998,12018881
2025-05-01,0.1052763572806538,2.7269343959724703,12308,11691134,12018881
2025-06-01,0.0886126576509845,2.725286988031581,10360,11691332,12018881
2025-07-01,0.0711813295187485,2.7258194835276264,8322,11691268,12018881
2025-08-01,0.059719191500339,2.724854335441045,6982,11691384,12018881
2025-09-01,0.047742980939329,2.721634401738398,5582,11691771,12018881
2025-10-01,0.041500228114403,2.723872546870212,4852,11691502,12018881
2025-11-01,0.0331017639859671,3.0278442726906105,3858,11654968,12018881
2025-12-01,0.0626749116305358,3.7545425401915535,7250,11567627,12018881
