date,extent_pct,invalid_pct,n_water,n_valid,n_aoi
2005-01-01,0.1687944378737954,0.0100705156214058,3067,1817003,1817186
2005-02-01,0.1416620023874505,0.0101805759014212,2574,1817001,1817186
2005-03-01,0.1155742969367858,0.009520214221329,2100,1817013,1817186
2005-04-01,0.1026407568008444,0.0093000936612982,1865,1817017,1817186
2005-05-01,0.1068236715972863,0.009520214221329,1941,1817013,1817186
2005-06-01,0.1225877121439247,0.4779367659667199,2217,1808501,1817186
2005-07-01,0.259495099037419,0.0107859074415057,4715,1816990,1817186
2005-08-01,0.2028602971688715,0.0094651840813213,3686,1817014,1817186
2005-09-01,0.1659871613113426,0.0097953649213674,3016,1817008,1817186
2005-10-01,0.1267035071883049,0.019040428442658,2302,1816840,1817186
2005-11-01,0.1240633718835929,1.61733581482578,2218,1787796,1817186
2005-12-01,0.1339797919982234,3.354142063608238,2353,1756235,1817186
2006-01-01,0.1135293869694117,2.08624763783124,2020,1779275,1817186
2006-02-01,0.0847813591546182,0.4306658757001209,1534,1809360,1817186
2006-03-01,0.0722151615511508,0.0216268450230191,1312,1816793,1817186
2006-04-01,0.0668688325197166,0.0107859074415057,1215,1816990,1817186
2006-05-01,0.0610342694489634,0.0095752443613367,1109,1817012,1817186
2006-06-01,0.0563560425069853,0.0091900333812829,1024,1817019,1817186
2006-07-01,0.0522286901165596,0.0097403347813597,949,1817009,1817186
2006-08-01,0.0483764180647121,0.0101805759014212,879,1817001,1817186
2006-09-01,0.041716771738263,0.0094101539413136,758,1817015,1817186
2006-10-01,0.0345623704943024,0.0099604553413904,628,1817005,1817186
2006-11-01,0.0327462850853054,0.0102356060414288,595,1817000,1817186
2006-12-01,0.0269949040908044,0.3154877926640421,489,1811453,1817186
2007-01-01,0.030709860066505,0.0099054252013827,558,1817006,1817186
2007-02-01,0.0521310708338494,0.0336234155446938,947,1816575,1817186
2007-03-01,0.0813124975816303,0.4466246163023488,1471,1809070,1817186
2007-04-01,0.055806120511501,0.0099604553413904,1014,1817005,1817186
