date,extent_pct,invalid_pct,usable_month,reference_median_pct,anomaly_pct,condition_percentile,quality_state,hy_year,confidence,phase,is_hy_peak,is_hy_trough,in_wet_event,wet_event_id,in_low_spell,low_spell_id,regime,route
2005-01-01,0.03374953300400356,3.7952626255202273,True,0.18133501061818952,-0.14758547761418594,0.0,usable,2005,medium,rising,False,False,False,,False,,seasonal,per_year_detection
2005-02-01,0.08430837702658184,2.87591352954053,True,0.27088505123605355,-0.18657667420947172,0.0,usable,2005,medium,rising,False,False,False,,False,,seasonal,per_year_detection
2005-03-01,0.1193405802163906,5.260772627816955,True,0.26680183679304315,-0.14746125657665254,10.0,usable,2005,medium,rising,True,False,False,,False,,seasonal,per_year_detection
2005-04-01,0.05956490464354107,4.1353315895427425,True,0.1568607510600179,-0.09729584641647683,0.0,usable,2005,medium,receding,False,False,False,,False,,seasonal,per_year_detection
2005-05-01,0.04878160267921009,2.780109497038824,True,0.09135519859951934,-0.042573595920309244,5.0,usable,2005,medium,receding,False,False,False,,True,1,seasonal,per_year_detection
2005-06-01,0.04469802414740542,2.794684066296864,True,0.08059365788854214,-0.035895633741136725,0.0,usable,2005,medium,receding,False,False,False,,True,1,seasonal,per_year_detection
2005-07-01,0.03739269214225432,2.8011454062269956,True,0.06862501868175991,-0.03123232653950559,0.0,usable,2005,medium,receding,False,False,False,,True,1,seasonal,per_year_detection
2005-08-01,0.03314900476212684,2.7838463762479146,True,0.05660876191304827,-0.023459757150921433,0.0,usable,2005,medium,receding,False,False,False,,True,1,seasonal,per_year_detection
2005-09-01,0.03242448495582534,2.7921021215238673,True,0.041549019845121306,-0.009124534889295967,0.0,usable,2005,medium,receding,False,False,False,,True,1,seasonal,per_year_detection
2005-10-01,0.02487210109444671,2.799176094944939,True,0.038596237858486745,-0.013724136764040034,5.0,usable,2005,medium,receding,False,False,False,,True,1,seasonal,per_year_detection
2005-11-01,0.028002823309308235,2.823308487004239,True,0.033197766941662855,-0.0051949436323546205,15.0,usable,2005,medium,receding,False,True,False,,True,1,seasonal,per_year_detection
2005-12-01,0.08307578165491161,29.118935314805977,True,0.055657913604006445,0.027417868050905167,70.0,low,2006,medium,rising,False,False,False,,False,,seasonal,per_year_detection
2006-01-01,0.7029518145170444,58.41869930654516,True,0.16223206889256472,0.5407197456244797,90.0,low,2006,medium,rising,True,False,True,1,False,,seasonal,per_year_detection
2006-02-01,0.2759548088178454,5.4798594333739885,True,0.24074632522784262,0.03520848359000278,60.0,usable,2006,medium,receding,False,False,True,1,False,,seasonal,per_year_detection
2006-03-01,0.6101999769847499,8.974074701788618,True,0.25633783616980066,0.35386214081494927,90.0,usable,2006,medium,receding,False,False,True,1,False,,seasonal,per_year_detection
2006-04-01,0.13188249827870901,2.795387391754742,True,0.1568607510600179,-0.024978252781308885,35.0,usable,2006,medium,receding,False,False,True,1,False,,seasonal,per_year_detection
2006-05-01,0.08900720287956347,2.8171044161231733,True,0.09135519859951934,-0.0023479957199558643,40.0,usable,2006,medium,receding,False,False,False,,False,,seasonal,per_year_detection
2006-06-01,0.06845899908929214,2.8029305572904764,True,0.08059365788854214,-0.012134658799250006,30.0,usable,2006,medium,receding,False,False,False,,False,,seasonal,per_year_detection
2006-07-01,0.055282291968354325,2.788865898989397,True,0.06862501868175991,-0.013342726713405584,25.0,usable,2006,medium,receding,False,False,False,,False,,seasonal,per_year_detection
2006-08-01,0.046308830045565685,2.780618482567551,True,0.05660876191304827,-0.010299931867482584,30.0,usable,2006,medium,receding,False,False,False,,True,2,seasonal,per_year_detection
2006-09-01,0.03307894495976366,2.7849716969805183,True,0.041549019845121306,-0.008470074885357642,5.0,usable,2006,medium,receding,False,False,False,,True,2,seasonal,per_year_detection
2006-10-01,0.01911905623212349,2.801037131123612,True,0.038596237858486745,-0.019477181626363256,0.0,usable,2006,medium,receding,False,True,False,,True,2,seasonal,per_year_detection
2006-11-01,0.026302733728016663,4.416365635658793,True,0.033197766941662855,-0.006895033213646193,10.0,usable,2007,medium,rising,False,False,False,,True,2,seasonal,per_year_detection
2006-12-01,0.027187617526025158,3.0853194303411753,True,0.06446276575784443,-0.03727514823181927,5.0,usable,2007,medium,rising,False,False,False,,True,2,seasonal,per_year_detection
2007-01-01,0.1273648369494828,10.31258170952914,True,0.18133501061818952,-0.05397017366870671,35.0,usable,2007,medium,rising,False,False,False,,False,,seasonal,per_year_detection
2007-02-01,0.09805301291466081,2.8618072269689185,True,0.27088505123605355,-0.17283203832139274,10.0,usable,2007,medium,rising,False,False,False,,False,,seasonal,per_year_detection
2007-03-01,0.2858799995626491,34.4890815293205,True,0.25633783616980066,0.02954216339284843,60.0,low,2007,medium,rising,True,False,True,2,False,,seasonal,per_year_detection
2007-04-01,0.24219360994471312,2.7728310039780273,True,0.15235614635809835,0.08983746358661476,80.0,usable,2007,medium,receding,False,False,True,2,False,,seasonal,per_year_detection
2007-05-01,0.08987607976315287,2.771224460563718,True,0.09133115979587893,-0.0014550800327260555,50.0,usable,2007,medium,receding,False,False,False,,False,,seasonal,per_year_detection
2007-06-01,0.06687114268551016,2.839307290314481,True,0.08059365788854214,-0.013722515203031985,25.0,usable,2007,medium,receding,False,False,False,,False,,seasonal,per_year_detection
2007-07-01,0.058767972913943034,2.7755054915744295,True,0.06862501868175991,-0.009857045767816874,35.0,usable,2007,medium,receding,False,False,False,,False,,seasonal,per_year_detection
2007-08-01,0.0475254047521293,2.770985700079333,True,0.05660876191304827,-0.009083357160918973,35.0,usable,2007,medium,receding,False,False,False,,True,3,seasonal,per_year_detection
2007-09-01,0.041177943751033556,2.7892249651442085,True,0.0402544963783161,0.000923447372717455,50.0,usable,2007,medium,receding,False,False,False,,True,3,seasonal,per_year_detection
2007-10-01,0.02620454170383599,4.065263716229944,True,0.038596237858486745,-0.012391696154650755,10.0,usable,2007,medium,receding,False,False,False,,True,3,seasonal,per_year_detection
2007-11-01,0.03232922169595448,6.264143204022444,True,0.03298241729451991,-0.0006531955985654286,50.0,usable,2007,medium,receding,False,True,False,,True,3,seasonal,per_year_detection
2007-12-01,0.07527193966700543,20.542101607911196,True,0.055657913604006445,0.019614026062998988,65.0,low,2008,medium,rising,False,False,False,,False,,seasonal,per_year_detection
2008-01-01,0.09413520150486727,9.166958006898549,True,0.18133501061818952,-0.08719980911332224,30.0,usable,2008,medium,rising,False,False,False,,False,,seasonal,per_year_detection
2008-02-01,0.2751062888417283,29.08542648387929,True,0.24074632522784262,0.03435996361388566,55.0,low,2008,medium,rising,True,False,True,3,False,,seasonal,per_year_detection
2008-03-01,0.2015422400029433,2.9578472436703067,True,0.26680183679304315,-0.06525959679009985,35.0,usable,2008,medium,receding,False,False,True,3,False,,seasonal,per_year_detection
2008-04-01,0.13589784342805644,2.77401555211761,True,0.1568607510600179,-0.020962907631961458,40.0,usable,2008,medium,receding,False,False,True,3,False,,seasonal,per_year_detection
2008-05-01,0.07825075738375993,2.7748003152600837,True,0.09135519859951934,-0.013104441215759405,15.0,usable,2008,medium,receding,False,False,False,,False,,seasonal,per_year_detection
2008-06-01,0.10048650500590049,8.837221449109194,True,0.07772247501319812,0.02276402999270237,80.0,usable,2008,medium,receding,False,False,False,,False,,seasonal,per_year_detection
2008-07-01,0.056446664794548636,10.112574457873498,True,0.06862501868175991,-0.012178353887211273,30.0,usable,2008,medium,receding,False,False,False,,False,,seasonal,per_year_detection
2008-08-01,0.039419219689064484,2.778811121226453,True,0.05660876191304827,-0.017189542223983785,15.0,usable,2008,medium,receding,False,False,False,,True,4,seasonal,per_year_detection
2008-09-01,0.03714444712943221,2.826720540903178,True,0.041549019845121306,-0.004404572715689094,30.0,usable,2008,medium,receding,False,False,False,,True,4,seasonal,per_year_detection
2008-10-01,0.02839512330035867,2.7872741624268325,True,0.038596237858486745,-0.010201114558128076,15.0,usable,2008,medium,receding,False,False,False,,True,4,seasonal,per_year_detection
2008-11-01,0.024948181013192648,2.8062583972201174,True,0.033197766941662855,-0.008249585928470207,0.0,usable,2008,medium,receding,False,True,False,,True,4,seasonal,per_year_detection
2008-12-01,0.03911999912451731,4.01993716675445,True,0.06446276575784443,-0.025342766633327123,20.0,usable,2009,high,rising,False,False,False,,True,4,seasonal,per_year_detection
2009-01-01,0.1997233191784742,4.673950255752272,True,0.16223206889256472,0.037491250285909467,55.0,usable,2009,high,rising,False,False,True,4,False,,seasonal,per_year_detection
2009-02-01,1.1675291954089002,7.186664667988462,True,0.24074632522784262,0.9267828701810576,95.0,usable,2009,high,rising,True,False,True,4,False,,seasonal,per_year_detection
2009-03-01,0.26018644104274125,2.777666366500934,True,0.26295323192010256,-0.0027667908773613137,50.0,usable,2009,high,receding,False,False,True,4,False,,seasonal,per_year_detection
2009-04-01,0.14950234372351873,2.7777052344867643,True,0.1568607510600179,-0.007358407336499173,45.0,usable,2009,high,receding,False,False,True,4,False,,seasonal,per_year_detection
2009-05-01,0.09530439869203677,2.8626799057936267,True,0.08985204095951246,0.00545235773252431,60.0,usable,2009,high,receding,False,False,True,4,False,,seasonal,per_year_detection
2009-06-01,0.049102676259173056,3.670244674526057,True,0.08059365788854214,-0.031490981629369086,10.0,usable,2009,high,receding,False,False,False,,False,,seasonal,per_year_detection
2009-07-01,0.0617420038422222,2.861667487305577,True,0.06862501868175991,-0.00688301483953771,40.0,usable,2009,high,receding,False,False,False,,False,,seasonal,per_year_detection
2009-08-01,0.05888083745290732,2.7795514638136924,True,0.054021677596322704,0.0048591598565846175,65.0,usable,2009,high,receding,False,False,False,,False,,seasonal,per_year_detection
2009-09-01,0.03858889681742314,2.7828913343103756,True,0.041549019845121306,-0.002960123027698165,45.0,usable,2009,high,receding,False,False,False,,True,5,seasonal,per_year_detection
2009-10-01,0.03736534750658616,2.799361180591749,True,0.03774451754761998,-0.0003791700410338203,50.0,usable,2009,high,receding,False,False,False,,True,5,seasonal,per_year_detection
2009-11-01,0.028368388170554433,2.7837371757162965,True,0.033197766941662855,-0.004829378771108422,20.0,usable,2009,high,receding,False,True,False,,True,5,seasonal,per_year_detection
2009-12-01,0.048890469925769904,5.366455606717135,True,0.06446276575784443,-0.015572295832074527,45.0,usable,2010,low,rising,False,False,False,,True,5,seasonal,per_year_detection
2010-01-01,0.1615174357272246,9.554455167916084,True,0.18133501061818952,-0.019817574890964917,45.0,usable,2010,low,rising,True,False,True,5,False,,seasonal,per_year_detection
2010-02-01,0.12179637249005801,2.7959889201068737,True,0.27088505123605355,-0.14908867874599555,20.0,usable,2010,low,receding,False,False,True,5,False,,seasonal,per_year_detection
2010-03-01,0.10121700883866794,9.678936370534506,True,0.26680183679304315,-0.1655848279543752,5.0,usable,2010,low,receding,False,False,True,5,False,,seasonal,per_year_detection
2010-04-01,0.08204390843886468,2.9553569162924807,True,0.1568607510600179,-0.07481684262115322,15.0,usable,2010,low,receding,False,False,False,,False,,seasonal,per_year_detection
2010-05-01,0.06704675683999202,9.335392423493136,True,0.09135519859951934,-0.024308441759527316,10.0,usable,2010,low,receding,False,False,False,,False,,seasonal,per_year_detection
2010-06-01,0.05129905591858473,4.758513111494983,True,0.08059365788854214,-0.02929460196995741,15.0,usable,2010,low,receding,False,False,False,,False,,seasonal,per_year_detection
2010-07-01,0.06862367038242552,14.84411873977182,True,0.06642718229890918,0.002196488083516343,50.0,usable,2010,low,receding,False,False,False,,False,,seasonal,per_year_detection
2010-08-01,0.045320531909621084,11.717796360664629,True,0.05660876191304827,-0.011288230003427185,20.0,usable,2010,low,receding,False,True,False,,True,6,seasonal,per_year_detection
2010-09-01,0.03703579386604272,34.023266302283616,True,0.041549019845121306,-0.004513225979078585,25.0,low,2011,medium,rising,False,False,False,,True,6,seasonal,per_year_detection
2010-10-01,0.11809830011310886,30.779949434971464,True,0.03651362719571939,0.08158467291738947,100.0,low,2011,medium,rising,False,False,False,,False,,seasonal,per_year_detection
2010-11-01,0.053108277480452507,2.9845828653519875,True,0.03211387204881154,0.020994405431640967,90.0,usable,2011,medium,rising,False,False,False,,False,,seasonal,per_year_detection
2010-12-01,0.04551695831818483,2.8662381773535457,True,0.06446276575784443,-0.018945807439659602,35.0,usable,2011,medium,rising,False,False,False,,False,,seasonal,per_year_detection
2011-01-01,0.24633391253986076,6.901136742367869,True,0.16223206889256472,0.08410184364729603,65.0,usable,2011,medium,rising,False,False,True,6,False,,seasonal,per_year_detection
2011-02-01,0.564473592127368,28.18275360467716,True,0.24074632522784262,0.3237272668995254,70.0,low,2011,medium,rising,False,False,True,6,False,,seasonal,per_year_detection
