date,extent_pct,invalid_pct,usable_month,reference_median_pct,anomaly_pct,condition_percentile,quality_state,hy_year,confidence,phase,is_hy_peak,is_hy_trough,in_wet_event,wet_event_id,in_low_spell,low_spell_id,regime,route
2005-01-01,0.18548302769581004,0.015256294401841352,True,0.11664399483943122,0.06883903285637882,75.0,usable,,,unspecified,False,False,False,,False,,aseasonal,event_characterisation
2005-02-01,0.15610659577045205,0.015317613913102771,True,0.15303056838380108,0.00307602738665097,50.0,usable,,,unspecified,False,False,False,,False,,aseasonal,event_characterisation
2005-03-01,0.1259202150824231,0.015084599770309374,True,0.16105933885204327,-0.03513912376962017,40.0,usable,,,unspecified,False,False,False,,False,,aseasonal,event_characterisation
2005-04-01,0.11155688208143186,0.014961960747786534,True,0.20658495393755041,-0.09502807185611856,25.0,usable,,,unspecified,False,False,False,,True,1,aseasonal,event_characterisation
2005-05-01,0.11921685705138976,0.01498035660116496,True,0.18936043038162376,-0.070143573330234,25.0,usable,,,unspecified,False,False,False,,True,1,aseasonal,event_characterisation
2005-06-01,0.14800048943581753,0.9237416454465388,True,0.20737688332947785,-0.05937639389366031,40.0,usable,,,unspecified,False,False,False,,False,,aseasonal,event_characterisation
2005-07-01,0.303054741999613,0.016666643160854016,True,0.1855930630121393,0.11746167898747373,90.0,usable,,,unspecified,False,False,True,1,False,,aseasonal,event_characterisation
2005-08-01,0.2356310792861386,0.015017148307921812,True,0.1560539218950326,0.07957715739110602,70.0,usable,,,unspecified,False,False,True,1,False,,aseasonal,event_characterisation
2005-09-01,0.1900763733773854,0.015158183183823079,True,0.1527605286914947,0.03731584468589069,65.0,usable,,,unspecified,False,False,True,1,False,,aseasonal,event_characterisation
2005-10-01,0.1454694756376503,0.02611597984623887,True,0.13621118739818822,0.009258288239462092,60.0,usable,,,unspecified,False,False,False,,False,,aseasonal,event_characterisation
2005-11-01,0.1445572711569472,1.9446195286822934,True,0.11766673003751643,0.02689054111943076,60.0,usable,,,unspecified,False,False,False,,False,,aseasonal,event_characterisation
2005-12-01,0.15106770961825747,6.543864943040613,True,0.12511374750967297,0.0259539621085845,70.0,usable,,,unspecified,False,False,False,,False,,aseasonal,event_characterisation
