event_id,start_date,end_date,duration_months,baseline_extent_pct,peak_date,peak_extent_pct,mean_extent_pct,magnitude_pp_months
1,2005-07-01,2005-09-01,3,0.148784,2005-07-01,0.303055,0.242921,0.193832
2,2008-02-01,2008-03-01,2,0.148784,2008-02-01,0.488953,0.346724,0.336827
3,2009-06-01,2009-07-01,2,0.148784,2009-06-01,0.279771,0.242581,0.128542
4,2010-03-01,2011-10-01,20,0.148784,2010-03-01,0.738535,0.342839,3.290591
5,2011-12-01,2011-12-01,1,0.148784,2011-12-01,0.401142,0.401142,0.222832
6,2012-02-01,2012-09-01,8,0.148784,2012-02-01,1.042799,0.348305,1.359962
7,2013-02-01,2013-08-01,7,0.148784,2013-02-01,0.385476,0.269626,0.639214
8,2016-09-01,2016-10-01,2,0.148784,2016-09-01,0.447767,0.337101,0.317582
9,2017-04-01,2017-06-01,3,0.148784,2017-04-01,0.256451,0.219098,0.122365
10,2020-02-01,2020-07-01,6,0.148784,2020-02-01,0.561219,0.306631,0.769929
11,2021-04-01,2023-01-01,22,0.148784,2022-06-01,0.630279,0.367376,4.159454
12,2024-02-01,2024-09-01,8,0.148784,2024-04-01,0.385778,0.303737,1.003417
13,2024-12-01,2025-02-01,3,0.148784,2024-12-01,0.282531,0.246126,0.203447
14,2025-04-01,2025-10-01,7,0.148784,2025-04-01,0.494024,0.293667,0.8075
