hy_year,status,status_reason,hy_start,hy_end,cycle_months,peak_month,peak_extent_pct,peak_invalid_pct,temporal_mid_dry_month,temporal_mid_dry_extent_pct,temporal_mid_dry_invalid_pct,mid_dry_invalid_pct,half_loss_month,half_loss_extent_pct,half_loss_target_pct,trough_month,trough_extent_pct,trough_invalid_pct,boundary_status,drawdown_pct,persistence_ratio,recession_months,half_loss_months,n_rewetting_pulses,n_usable_months,confidence,secondary_peak_month,secondary_peak_extent_pct,secondary_trough_month,secondary_trough_extent_pct,raw_trough_month,raw_trough_extent_pct,low_run_start_month,low_run_end_month,window_status,selection_status,selection_support,selection_quality,window_n_expected,window_n_usable,phase_shift_months,raw_peak_month,raw_peak_extent_pct,peak_selection_status,peak_selection_support,peak_quality,detectability_floor_pp,amplitude_to_floor_ratio,peak_n_water,peak_timing_status,peak_interval_start,peak_interval_end,trough_timing_status,trough_interval_start,trough_interval_end,timing_status,trough_search_radius_used,boundary_at_search_edge,boundary_search_edge_side,outside_window_observed,outside_window_lower,retry_outcome,pass1_trough_month,pass1_trough_interval_start,pass1_trough_interval_end,pass1_trough_timing_status,trough_challenger_month,trough_challenger_interval_start,trough_challenger_interval_end,trough_challenger_timing_status,trough_challenger_low_state_start,trough_challenger_low_state_end,trough_refinement_status,trough_refinement_reason,trough_refinement_applied,recovery_start_month,trough_local_scale_pp,trough_profile_best_loss,trough_profile_cutoff,trough_effective_support,trough_pulse_months,trough_refinement_policy_version,baseline_mode,baseline_n,baseline_uncertain,peak_percentile,trough_percentile,recharge_condition,refuge_condition,annual_condition,peak_change_from_previous_pct,trough_change_from_previous_pct,consecutive_dry_cycles,consecutive_wet_cycles,noise_floor_pp,recharge_condition_qualified,refuge_condition_qualified,annual_condition_qualified,timing_confidence,boundary_basis,catchment,regime,route
2005,partial,record_start_boundary,2005-01-01,2005-11-01,11,2005-01-01,1.6335917284756745,15.308459892911445,2005-06-01,0.15343656246168666,3.055444145898775,3.055444145898775,2005-02-01,0.5080882421698583,0.8647087575892096,2005-11-01,0.09582578670274478,3.2397882825005198,provisional,1.5377659417729297,0.05865956899289705,10,1,0,11,medium,,,,,2005-11-01,0.09582578670274478,2005-09-01,2005-11-01,full,raw,1.0,1.0,7,7,0,2005-01-01,1.6335917284756745,ambiguous,0.6,normal,0.026513209316778603,57.999992509385535,338846,point,2005-01-01,2005-01-01,interval,2005-09-01,2005-11-01,interval,3,False,none,True,False,not_attempted,2005-11-01,2005-09-01,2005-11-01,interval,,,,,,,unavailable,not_requested,False,,,,,,,,full,0,False,100.0,0.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,,,0,0,0.026513209316778603,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,gilbert_river_qld,seasonal,per_year_detection
2006,complete,ok,2005-12-01,2006-10-01,11,2006-02-01,0.7821019886651127,3.2472030414557294,2006-06-01,0.24221488990682147,3.052006245546194,3.052006245546194,2006-05-01,0.3005197609501327,0.4498907910317417,2006-10-01,0.11767959339837063,3.041888529306651,confirmed,0.6644223952667421,0.1504657897612887,8,3,0,11,high,,,,,2006-10-01,0.11767959339837063,2006-10-01,2006-12-01,full,raw,1.0,1.0,7,7,-1,2006-02-01,0.7821019886651127,ambiguous,0.6,normal,0.026513209316778603,25.060051664370537,185330,point,2006-02-01,2006-02-01,point,2006-10-01,2006-10-01,point,3,False,none,True,False,not_attempted,2006-10-01,2006-10-01,2006-10-01,point,,,,,,,unavailable,not_requested,False,,,,,,,,full,0,False,,,insufficient_baseline,insufficient_baseline,insufficient_baseline,-0.8514897398105618,0.021853806695625852,0,0,0.026513209316778603,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,gilbert_river_qld,seasonal,per_year_detection
2007,partial,peak_quality_anomalous,2006-11-01,2007-10-01,12,2007-02-01,3.5798427755609183,42.755753961149196,2007-06-01,0.23381211192108886,39.16305418331024,39.16305418331024,2007-03-01,0.7773153155368516,1.8437944155678507,2007-10-01,0.10774605557478328,3.2507430172344556,provisional,3.4720967199861352,0.030097985394875553,8,1,1,12,medium,,,,,2007-10-01,0.10774605557478328,2007-09-01,2007-10-01,full,raw,1.0,1.0,7,7,-1,2007-02-01,3.5798427755609183,low_quality,1.0,anomalous,0.026513209316778603,130.95724016288196,501897,point,2007-02-01,2007-02-01,interval,2007-09-01,2007-10-01,interval,3,False,none,True,False,not_attempted,2007-10-01,2007-09-01,2007-10-01,interval,,,,,,,unavailable,not_requested,False,,,,,,,,full,0,False,100.0,0.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,2.7977407868958055,-0.009933537823587343,0,0,0.026513209316778603,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,gilbert_river_qld,seasonal,per_year_detection
2008,complete,ok,2007-11-01,2008-11-01,13,2008-01-01,1.4550254762954522,21.089991614707895,2008-06-01,0.1520764494194944,7.912499148180569,7.912499148180569,2008-03-01,0.5823829443736838,0.78313492463998,2008-11-01,0.11124437298450778,7.922849596391724,confirmed,1.3437811033109444,0.07645527504283979,10,2,0,13,high,,,,,2008-11-01,0.11124437298450778,2008-09-01,2008-11-01,full,raw,1.0,1.0,7,7,0,2008-01-01,1.4550254762954522,low_quality,1.0,normal,0.026513209316778603,50.683456961226746,281204,point,2008-01-01,2008-01-01,interval,2008-09-01,2008-11-01,interval,3,False,none,True,False,not_attempted,2008-11-01,2008-09-01,2008-11-01,interval,,,,,,,unavailable,not_requested,False,,,,,,,,full,0,False,100.0,0.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,-2.124817299265466,0.0034983174097244912,0,0,0.026513209316778603,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,gilbert_river_qld,seasonal,per_year_detection
2009,partial,peak_quality_anomalous,2008-12-01,2009-11-01,12,2009-01-01,7.618662933013934,50.468491500363,2009-06-01,0.18185369615669417,3.008705849775269,3.008705849775269,2009-03-01,0.44361366066412705,3.865851837093896,2009-11-01,0.11304074117385779,3.0759368084517473,provisional,7.505622191840076,0.014837346417311444,10,2,0,12,medium,,,,,2009-11-01,0.11304074117385779,2009-09-01,2009-12-01,full,raw,1.0,1.0,7,7,0,2009-01-01,7.618662933013934,low_quality,1.0,anomalous,0.026513209316778603,283.0899157534363,924228,point,2009-01-01,2009-01-01,interval,2009-09-01,2009-11-01,interval,3,False,none,True,False,not_attempted,2009-11-01,2009-09-01,2009-11-01,interval,,,,,,,unavailable,not_requested,False,,,,,,,,full,0,False,100.0,0.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,6.163637456718482,0.0017963681893500144,0,0,0.026513209316778603,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,gilbert_river_qld,seasonal,per_year_detection
2010,complete,ok,2009-12-01,2010-10-01,11,2010-02-01,2.845988886063619,10.222339468325035,2010-06-01,0.22014515825320707,3.0533373091031315,3.0533373091031315,2010-03-01,0.4438574185096169,1.4880664906040417,2010-10-01,0.13014409514446448,6.363998601485002,confirmed,2.7158447909191548,0.045728954101599134,8,1,0,11,high,,,,,2010-10-01,0.13014409514446448,2010-09-01,2010-11-01,full,raw,1.0,1.0,7,7,-1,2010-02-01,2.845988886063619,ambiguous,0.6,normal,0.026513209316778603,102.43364952429434,625778,point,2010-02-01,2010-02-01,interval,2010-09-01,2010-10-01,interval,3,False,none,True,False,not_attempted,2010-10-01,2010-09-01,2010-10-01,interval,,,,,,,unavailable,not_requested,False,,,,,,,,full,0,False,100.0,100.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,-4.772674046950315,0.017103353970606694,0,0,0.026513209316778603,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,gilbert_river_qld,seasonal,per_year_detection
2011,complete,ok,2010-11-01,2011-11-01,13,2011-02-01,6.458520365982146,17.312416908051233,2011-07-01,0.18597713690631723,3.040573797817897,3.040573797817897,2011-03-01,2.889890894640916,3.294486369350504,2011-11-01,0.1304523727188617,7.868529137614129,confirmed,6.328067993263284,0.020198492119955377,9,1,0,13,high,,,,,2011-11-01,0.1304523727188617,2011-09-01,2011-11-01,full,raw,1.0,1.0,7,7,0,2011-02-01,6.458520365982146,ambiguous,0.6,normal,0.026513209316778603,238.67604700946683,1307953,point,2011-02-01,2011-02-01,interval,2011-09-01,2011-11-01,interval,3,False,none,True,False,not_attempted,2011-11-01,2011-09-01,2011-11-01,interval,,,,,,,unavailable,not_requested,False,,,,,,,,full,0,False,100.0,100.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,3.612531479918527,0.0003082775743972199,0,0,0.026513209316778603,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,gilbert_river_qld,seasonal,per_year_detection
2012,partial,peak_quality_anomalous,2011-12-01,2012-11-01,12,2012-03-01,3.8716012503678288,55.11308671066553,2012-07-01,0.2018307464848455,9.55411289860607,9.55411289860607,2012-04-01,0.25398843449313047,1.9932951164975508,2012-11-01,0.11498898262727278,16.52093221975304,provisional,3.756612267740556,0.029700626482737094,8,1,0,12,low,,,,,2012-11-01,0.11498898262727278,2012-09-01,2012-11-01,full,raw,1.0,1.0,7,7,0,2012-03-01,3.8716012503678288,low_quality,1.0,anomalous,0.026513209316778603,141.68832685838692,425627,point,2012-03-01,2012-03-01,interval,2012-09-01,2012-11-01,interval,3,False,none,True,False,not_attempted,2012-11-01,2012-09-01,2012-11-01,interval,,,,,,,unavailable,not_requested,False,,,,,,,,full,0,False,100.0,0.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,-2.586919115614317,-0.015463390091588924,0,0,0.026513209316778603,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,gilbert_river_qld,seasonal,per_year_detection
2013,complete,ok,2012-12-01,2013-11-01,12,2013-01-01,0.4439155076546166,14.597194240512486,2013-06-01,0.1560917956545129,3.048752080960675,3.048752080960675,2013-02-01,0.2348545947617717,0.2680482934717498,2013-11-01,0.09218107928888301,3.4713075980496733,confirmed,0.3517344283657336,0.2076545597064463,10,1,1,12,high,,,,,2013-11-01,0.09218107928888301,2013-10-01,2013-11-01,full,raw,1.0,1.0,7,7,0,2013-01-01,0.4439155076546166,ambiguous,0.6,normal,0.026513209316778603,13.26638447134886,92852,point,2013-01-01,2013-01-01,interval,2013-10-01,2013-11-01,interval,3,False,none,True,False,not_attempted,2013-11-01,2013-10-01,2013-11-01,interval,,,,,,,unavailable,not_requested,False,,,,,,,,full,0,False,0.0,0.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,-3.427685742713212,-0.022807903338389765,0,0,0.026513209316778603,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,gilbert_river_qld,seasonal,per_year_detection
2014,complete,ok,2013-12-01,2014-11-01,12,2014-02-01,1.5395124894101406,27.881163625560717,2014-07-01,0.16446561622289513,3.029794632816931,3.029794632816931,2014-03-01,0.29668912567595507,0.8220583984346225,2014-11-01,0.1046043074591044,3.030386670288575,confirmed,1.4349081819510363,0.06794638444224847,9,1,0,12,high,,,,,2014-11-01,0.1046043074591044,2014-10-01,2014-12-01,full,raw,1.0,1.0,7,7,0,2014-02-01,1.5395124894101406,low_quality,1.0,normal,0.026513209316778603,54.12050140014434,271926,point,2014-02-01,2014-02-01,interval,2014-10-01,2014-11-01,interval,3,False,none,True,False,not_attempted,2014-11-01,2014-10-01,2014-11-01,interval,,,,,,,unavailable,not_requested,False,,,,,,,,full,0,False,100.0,0.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,1.095596981755524,0.012423228170221387,0,0,0.026513209316778603,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,gilbert_river_qld,seasonal,per_year_detection
