hy_year,status,status_reason,hy_start,hy_end,cycle_months,peak_month,peak_extent_pct,peak_invalid_pct,temporal_mid_dry_month,temporal_mid_dry_extent_pct,temporal_mid_dry_invalid_pct,mid_dry_invalid_pct,half_loss_month,half_loss_extent_pct,half_loss_target_pct,trough_month,trough_extent_pct,trough_invalid_pct,boundary_status,drawdown_pct,persistence_ratio,recession_months,half_loss_months,n_rewetting_pulses,n_usable_months,confidence,secondary_peak_month,secondary_peak_extent_pct,secondary_trough_month,secondary_trough_extent_pct,raw_trough_month,raw_trough_extent_pct,low_run_start_month,low_run_end_month,window_status,selection_status,selection_support,selection_quality,window_n_expected,window_n_usable,phase_shift_months,raw_peak_month,raw_peak_extent_pct,peak_selection_status,peak_selection_support,peak_quality,detectability_floor_pp,amplitude_to_floor_ratio,peak_n_water,peak_timing_status,peak_interval_start,peak_interval_end,trough_timing_status,trough_interval_start,trough_interval_end,timing_status,trough_search_radius_used,boundary_at_search_edge,boundary_search_edge_side,outside_window_observed,outside_window_lower,retry_outcome,pass1_trough_month,pass1_trough_interval_start,pass1_trough_interval_end,pass1_trough_timing_status,trough_challenger_month,trough_challenger_interval_start,trough_challenger_interval_end,trough_challenger_timing_status,trough_challenger_low_state_start,trough_challenger_low_state_end,trough_refinement_status,trough_refinement_reason,trough_refinement_applied,recovery_start_month,trough_local_scale_pp,trough_profile_best_loss,trough_profile_cutoff,trough_effective_support,trough_pulse_months,trough_refinement_policy_version,baseline_mode,baseline_n,baseline_uncertain,peak_percentile,trough_percentile,recharge_condition,refuge_condition,annual_condition,peak_change_from_previous_pct,trough_change_from_previous_pct,consecutive_dry_cycles,consecutive_wet_cycles,noise_floor_pp,recharge_condition_qualified,refuge_condition_qualified,annual_condition_qualified,timing_confidence,boundary_basis,catchment,regime,route
2005,partial,record_start_boundary,2005-01-01,2005-09-01,9,2005-01-01,0.7144900900834145,2.3143246328936504,2005-05-01,0.1627170767459537,1.9336132214219675,1.9336132214219675,2005-02-01,0.29249374095038644,0.41663485921488247,2005-09-01,0.11877962834635046,2.063142621187046,provisional,0.595710461737064,0.16624391295963714,8,1,0,9,low,,,,,2006-01-01,0.016761867043436893,2005-08-01,2005-11-01,full,quality_adjusted,1.0,1.0,7,7,-2,2005-01-01,0.7144900900834145,ambiguous,0.6,normal,0.022260103976285747,26.761351266449136,424260,point,2005-01-01,2005-01-01,interval,2005-08-01,2005-09-01,interval,3,False,none,True,False,not_attempted,2005-09-01,2005-08-01,2005-09-01,interval,,2006-01-01 00:00:00,2006-01-01 00:00:00,point,2006-01-01 00:00:00,2006-01-01 00:00:00,unresolved,unstable_quality_sensitivity,False,,0.00062574057352811,160.98599683045293,0.05,14.188425711756944,"(Timestamp('2005-12-01 00:00:00'),)",trough_refinement_candidate_0_1,full,0,False,50.0,50.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,,,0,0,0.022260103976285747,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,daly_river_nt,seasonal,per_year_detection
2006,partial,boundary_provisional,2005-10-01,2006-12-01,15,2006-04-01,0.9383397513796209,3.2972829359295366,2006-08-01,0.18318352216936315,1.9338089895403892,1.9338089895403892,2006-05-01,0.30602795594582355,0.5261795112980976,2006-12-01,0.1140192712165744,5.309608101838904,provisional,0.8243204801630465,0.12151171369318449,8,1,1,15,medium,2006-11-01 00:00:00,0.12852209356390873,,,2006-12-01,0.1140192712165744,2006-12-01,2006-12-01,full,raw,1.0,1.0,7,7,1,2006-04-01,0.9383397513796209,ambiguous,0.6,normal,0.022260103976285747,41.40043035369306,551574,point,2006-04-01,2006-04-01,point,2006-12-01,2006-12-01,point,3,False,none,True,False,not_attempted,2006-12-01,2006-10-01,2006-12-01,interval,2006-12-01 00:00:00,2006-12-01 00:00:00,2006-12-01 00:00:00,point,2006-12-01 00:00:00,2006-12-01 00:00:00,provisional,essential_low_quality_recovery,True,2007-01-01 00:00:00,1.6820564338648596e-06,110539.10022307101,0.05,10.50597300045076,"(Timestamp('2006-11-01 00:00:00'),)",trough_refinement_candidate_0_1,full,0,False,50.0,50.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,0.22384966129620643,-0.004760357129776058,0,0,0.022260103976285747,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,daly_river_nt,seasonal,per_year_detection
2007,partial,trough_refinement_fallback,2007-01-01,2007-10-01,10,2007-03-01,0.43774238011263084,18.360899348865367,2007-06-01,0.19508239144474307,8.698681608654596,8.698681608654596,2007-05-01,0.21202951643445603,0.2752651836088616,2007-10-01,0.11278798710509237,9.325517962958697,provisional,0.3249543930075385,0.2576583676363986,7,2,0,10,low,,,,,2008-02-01,0.08067032490080203,2007-10-01,2007-11-01,full,quality_adjusted,1.0,1.0,7,7,-1,2007-03-01,0.43774238011263084,ambiguous,0.6,normal,0.022260103976285747,14.598062675435866,217231,point,2007-03-01,2007-03-01,point,2007-10-01,2007-10-01,point,3,False,none,True,False,not_attempted,2007-10-01,2007-10-01,2007-10-01,point,,2007-10-01 00:00:00,2007-10-01 00:00:00,point,2007-10-01 00:00:00,2007-10-01 00:00:00,unresolved,unstable_quality_sensitivity,False,,1.8018471888715322e-06,85632.38891966613,0.05,11.369217059135133,(),trough_refinement_candidate_0_1,full,0,False,0.0,50.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,-0.50059737126699,-0.001231284111482031,0,0,0.022260103976285747,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,daly_river_nt,seasonal,per_year_detection
2008,complete,ok,2007-11-01,2008-10-01,12,2008-03-01,1.084287751430856,2.143738216897914,2008-06-01,0.22782100416365206,2.696873632502114,2.696873632502114,2008-04-01,0.30529664620553126,0.5981197063091427,2008-10-01,0.11195166118742948,2.2073990478101937,confirmed,0.9723360902434265,0.10324903240832056,7,1,0,12,high,,,,,2008-10-01,0.11195166118742948,2008-10-01,2008-10-01,full,raw,1.0,1.0,7,7,-1,2008-03-01,1.084287751430856,ambiguous,0.6,normal,0.022260103976285747,45.08592716364816,644968,point,2008-03-01,2008-03-01,point,2008-10-01,2008-10-01,point,3,False,none,True,False,not_attempted,2008-10-01,2008-10-01,2008-10-01,point,2008-10-01 00:00:00,2008-10-01 00:00:00,2008-10-01 00:00:00,point,2008-10-01 00:00:00,2008-10-01 00:00:00,confirmed,accepted,True,2008-11-01 00:00:00,1.681696882887145e-06,0.0,0.05,11.427547420302634,(),trough_refinement_candidate_0_1,full,0,False,100.0,0.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,0.6465453713182252,-0.000836325917662889,0,0,0.022260103976285747,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,daly_river_nt,seasonal,per_year_detection
2009,partial,boundary_provisional,2008-11-01,2009-11-01,13,2009-02-01,1.587771388693991,8.972103865680038,2009-07-01,0.18369189147995094,1.9311603620558613,1.9311603620558613,2009-03-01,0.33897909873249377,0.842655295803815,2009-11-01,0.09753920291363906,4.051880196491967,provisional,1.490232185780352,0.06143151565029092,9,1,0,13,medium,,,,,2009-11-01,0.09753920291363906,2009-11-01,2009-11-01,full,raw,1.0,1.0,7,7,0,2009-02-01,1.587771388693991,ambiguous,0.6,normal,0.022260103976285747,66.94632636792416,878552,point,2009-02-01,2009-02-01,point,2009-11-01,2009-11-01,point,3,False,none,True,False,not_attempted,2009-11-01,2009-10-01,2009-11-01,interval,2009-11-01 00:00:00,2009-11-01 00:00:00,2009-11-01 00:00:00,point,2009-11-01 00:00:00,2009-11-01 00:00:00,provisional,essential_low_quality_recovery,True,2009-12-01 00:00:00,1.6778745371780793e-06,0.0,0.05,11.14241852591542,(),trough_refinement_candidate_0_1,full,0,False,100.0,0.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,0.503483637263135,-0.014412458273790424,0,0,0.022260103976285747,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,daly_river_nt,seasonal,per_year_detection
2010,partial,trough_refinement_fallback,2009-12-01,2010-11-01,12,2010-01-01,0.760123932392482,47.85872451312962,2010-06-01,0.22964723232930226,8.387782095278205,8.387782095278205,2010-03-01,0.2702446558489255,0.4416918497636196,2010-11-01,0.12325976713475716,3.4593674222109625,provisional,0.6368641652577248,0.1621574612797657,10,2,2,12,low,,,,,2010-11-01,0.12325976713475716,2010-11-01,2010-11-01,full,raw,1.0,1.0,7,7,0,2010-01-01,0.760123932392482,low_quality,1.0,normal,0.022260103976285747,28.610116373948316,240919,point,2010-01-01,2010-01-01,broad,2010-07-01,2010-11-01,broad,3,False,none,True,False,not_attempted,2010-11-01,2010-07-01,2010-11-01,broad,,2010-11-01 00:00:00,2010-11-01 00:00:00,point,2010-11-01 00:00:00,2010-11-01 00:00:00,unresolved,unstable_quality_sensitivity,False,,1.797938727974172e-06,67832.83112981883,0.05,11.34917501011743,"(Timestamp('2010-06-01 00:00:00'), Timestamp('2010-08-01 00:00:00'), Timestamp('2010-10-01 00:00:00'))",trough_refinement_candidate_0_1,full,0,False,50.0,50.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,-0.827647456301509,0.025720564221118097,0,0,0.022260103976285747,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,daly_river_nt,seasonal,per_year_detection
2011,partial,peak_quality_anomalous,2010-12-01,2011-09-01,10,2011-03-01,5.2072032029114,87.22335990734739,2011-06-01,0.2825236949641679,2.274090171782411,2.274090171782411,2011-04-01,0.6579768115802843,2.68804240201055,2011-09-01,0.1688816011096999,1.9284738970358404,provisional,5.038321601801701,0.03243230473803605,6,1,0,10,low,,,,,2012-01-01,0.05821624126856786,2011-09-01,2011-11-01,full,quality_adjusted,1.0,1.0,7,7,-2,2011-03-01,5.2072032029114,low_quality,1.0,anomalous,0.022260103976285747,226.5612121471259,404414,point,2011-03-01,2011-03-01,point,2011-09-01,2011-09-01,point,3,False,none,True,False,not_attempted,2011-09-01,2011-09-01,2011-09-01,point,,2012-01-01 00:00:00,2012-01-01 00:00:00,point,2012-01-01 00:00:00,2012-01-01 00:00:00,unresolved,unstable_quality_sensitivity,False,,1.9334524984556547e-06,78622.22106115925,0.05,9.178854641349517,"(Timestamp('2011-10-01 00:00:00'), Timestamp('2011-12-01 00:00:00'))",trough_refinement_candidate_0_1,full,0,False,100.0,100.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,4.447079270518918,0.04562183397494275,0,0,0.022260103976285747,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,daly_river_nt,seasonal,per_year_detection
2012,partial,boundary_provisional,2011-10-01,2013-01-01,16,2012-03-01,1.0994226113282024,58.33635265899168,2012-08-01,0.19065851527633604,8.12903257647295,8.12903257647295,2012-04-01,0.2722422468614347,0.6337000889876427,2013-01-01,0.16797756664708308,39.163925364638686,provisional,0.9314450446811193,0.15278707652205817,10,1,1,16,low,2012-10-01 00:00:00,0.19126520619723378,,,2012-11-01,0.12507192492917293,2013-01-01,2013-01-01,full,raw,1.0,1.0,7,7,2,2012-03-01,1.0994226113282024,low_quality,1.0,anomalous,0.022260103976285747,46.77455106089613,278437,point,2012-03-01,2012-03-01,broad,2012-09-01,2013-01-01,broad,3,False,none,True,False,not_attempted,2012-11-01,2012-11-01,2012-11-01,point,2013-01-01 00:00:00,2012-09-01 00:00:00,2013-01-01 00:00:00,broad,2013-01-01 00:00:00,2013-01-01 00:00:00,provisional,low_quality_peak,True,2013-02-01 00:00:00,0.03893803944165536,4.048225660015006,0.05,9.639514774735055,"(Timestamp('2012-10-01 00:00:00'),)",trough_refinement_candidate_0_1,full,0,False,100.0,100.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,-4.107780591583198,-0.0009040344626168317,0,0,0.022260103976285747,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,daly_river_nt,seasonal,per_year_detection
2013,partial,boundary_provisional,2013-02-01,2013-11-01,10,2013-04-01,0.4160011568588932,1.9354886470942418,2013-08-01,0.17109014376949885,1.926165807370752,1.926165807370752,2013-05-01,0.20257991921828922,0.2564732493445739,2013-11-01,0.09694534183025454,7.265287186894394,provisional,0.31905581502863867,0.23304103902561552,7,1,1,10,medium,2013-06-01 00:00:00,0.22421455788669217,,,2013-11-01,0.09694534183025454,2013-11-01,2013-11-01,full,raw,1.0,1.0,7,7,0,2013-04-01,0.4160011568588932,ambiguous,0.6,normal,0.022260103976285747,14.333078379532141,247977,point,2013-04-01,2013-04-01,point,2013-11-01,2013-11-01,point,3,False,none,True,False,not_attempted,2013-11-01,2013-11-01,2013-11-01,point,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,point,2013-11-01 00:00:00,2013-11-01 00:00:00,provisional,essential_low_quality_recovery,True,2013-12-01 00:00:00,1.6863672018038192e-06,16823.141253231464,0.05,10.463443906676185,"(Timestamp('2013-06-01 00:00:00'),)",trough_refinement_candidate_0_1,full,0,False,0.0,0.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,-0.6834214544693091,-0.07103222481682854,0,0,0.022260103976285747,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,daly_river_nt,seasonal,per_year_detection
2014,partial,boundary_provisional,2013-12-01,2014-12-01,13,2014-02-01,0.5550569139168234,22.652477042486616,2014-07-01,0.18607816420188988,1.9263089319615307,1.9263089319615307,2014-03-01,0.27873218844404274,0.3589481545329628,2014-12-01,0.16283939514910217,23.733036445772232,provisional,0.39221751876772126,0.2933742307613234,10,1,1,13,medium,2014-06-01 00:00:00,0.1991876226093535,,,2014-10-01,0.12730039862674672,2014-12-01,2014-12-01,full,raw,1.0,1.0,7,7,1,2014-02-01,0.5550569139168234,low_quality,1.0,normal,0.022260103976285747,19.216285590838957,260969,point,2014-02-01,2014-02-01,interval,2014-10-01,2014-12-01,interval,3,False,none,True,False,not_attempted,2014-10-01,2014-09-01,2014-10-01,interval,2014-12-01 00:00:00,2014-10-01 00:00:00,2014-12-01 00:00:00,interval,2014-12-01 00:00:00,2014-12-01 00:00:00,provisional,essential_low_quality_recovery,True,2015-01-01 00:00:00,0.004451815337515917,8.966543925073266,0.05,10.34912149468136,"(Timestamp('2014-06-01 00:00:00'),)",trough_refinement_candidate_0_1,full,0,False,0.0,100.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,0.13905575705793022,0.06589405331884764,0,0,0.022260103976285747,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,daly_river_nt,seasonal,per_year_detection
