hy_year,status,status_reason,hy_start,hy_end,cycle_months,peak_month,peak_extent_pct,peak_invalid_pct,temporal_mid_dry_month,temporal_mid_dry_extent_pct,temporal_mid_dry_invalid_pct,mid_dry_invalid_pct,half_loss_month,half_loss_extent_pct,half_loss_target_pct,trough_month,trough_extent_pct,trough_invalid_pct,boundary_status,drawdown_pct,persistence_ratio,recession_months,half_loss_months,n_rewetting_pulses,n_usable_months,confidence,secondary_peak_month,secondary_peak_extent_pct,secondary_trough_month,secondary_trough_extent_pct,raw_trough_month,raw_trough_extent_pct,low_run_start_month,low_run_end_month,window_status,selection_status,selection_support,selection_quality,window_n_expected,window_n_usable,phase_shift_months,raw_peak_month,raw_peak_extent_pct,peak_selection_status,peak_selection_support,peak_quality,detectability_floor_pp,amplitude_to_floor_ratio,peak_n_water,peak_timing_status,peak_interval_start,peak_interval_end,trough_timing_status,trough_interval_start,trough_interval_end,timing_status,trough_search_radius_used,boundary_at_search_edge,boundary_search_edge_side,outside_window_observed,outside_window_lower,retry_outcome,pass1_trough_month,pass1_trough_interval_start,pass1_trough_interval_end,pass1_trough_timing_status,trough_challenger_month,trough_challenger_interval_start,trough_challenger_interval_end,trough_challenger_timing_status,trough_challenger_low_state_start,trough_challenger_low_state_end,trough_refinement_status,trough_refinement_reason,trough_refinement_applied,recovery_start_month,trough_local_scale_pp,trough_profile_best_loss,trough_profile_cutoff,trough_effective_support,trough_pulse_months,trough_refinement_policy_version,baseline_mode,baseline_n,baseline_uncertain,peak_percentile,trough_percentile,recharge_condition,refuge_condition,annual_condition,peak_change_from_previous_pct,trough_change_from_previous_pct,consecutive_dry_cycles,consecutive_wet_cycles,noise_floor_pp,recharge_condition_qualified,refuge_condition_qualified,annual_condition_qualified,timing_confidence,boundary_basis,catchment,regime,route
2005,partial,boundary_provisional,2005-01-01,2005-10-01,10,2005-03-01,0.1193405802163906,5.260772627816955,2005-06-01,0.04469802414740542,2.794684066296864,2.794684066296864,2005-04-01,0.05956490464354107,0.07210634065541865,2005-10-01,0.02487210109444671,2.799176094944939,provisional,0.0944684791219439,0.2084127716603032,7,1,0,10,medium,,,,,2005-10-01,0.02487210109444671,2005-10-01,2005-10-01,full,raw,1.0,1.0,7,7,-1,2005-03-01,0.1193405802163906,raw,1.0,normal,0.01482534381733716,6.372093644902177,122173,point,2005-03-01,2005-03-01,point,2005-10-01,2005-10-01,point,3,False,none,True,False,not_attempted,2005-10-01,2005-07-01,2005-10-01,broad,2005-10-01 00:00:00,2005-10-01 00:00:00,2005-10-01 00:00:00,point,2005-10-01 00:00:00,2005-10-01 00:00:00,provisional,low_quality_peak,True,2005-11-01 00:00:00,9.520978800798064e-07,0.0,0.05,9.126108244268115,(),trough_refinement_candidate_0_1,full,0,False,12.5,0.0,low,low,dry_low_refuge,,,1,0,0.01482534381733716,low,typical_uncertain,typical_or_mixed,high,detected_per_year,fitzroy_river_wa,seasonal,per_year_detection
2006,partial,boundary_provisional,2005-11-01,2006-10-01,12,2006-01-01,0.7029518145170444,58.41869930654516,2006-06-01,0.06845899908929214,2.8029305572904764,2.8029305572904764,2006-02-01,0.2759548088178454,0.36103543537458394,2006-10-01,0.01911905623212349,2.801037131123612,provisional,0.6838327582849208,0.027198245793360724,9,1,1,12,medium,2006-03-01 00:00:00,0.6101999769847499,,,2006-10-01,0.01911905623212349,2006-10-01,2006-10-01,full,raw,1.0,1.0,7,7,-1,2006-01-01,0.7029518145170444,low_quality,1.0,anomalous,0.01482534381733716,46.12592913259983,315850,point,2006-01-01,2006-01-01,point,2006-10-01,2006-10-01,point,3,False,none,True,False,not_attempted,2006-10-01,2006-09-01,2006-10-01,interval,2006-10-01 00:00:00,2006-10-01 00:00:00,2006-10-01 00:00:00,point,2006-10-01 00:00:00,2006-10-01 00:00:00,provisional,low_quality_peak,True,2006-11-01 00:00:00,9.526924555941472e-07,466647.5775862839,0.05,13.523912954516444,"(Timestamp('2006-03-01 00:00:00'),)",trough_refinement_candidate_0_1,full,0,False,37.5,0.0,typical,low,typical_or_mixed,0.5836112343006538,-0.005753044862323222,0,0,0.01482534381733716,typical,low,typical_or_mixed,high,detected_per_year,fitzroy_river_wa,seasonal,per_year_detection
2007,partial,boundary_provisional,2006-11-01,2007-10-01,12,2007-03-01,0.2858799995626491,34.4890815293205,2007-06-01,0.06687114268551016,2.839307290314481,2.839307290314481,2007-05-01,0.08987607976315287,0.15604227063324255,2007-10-01,0.02620454170383599,4.065263716229944,provisional,0.2596754578588131,0.09166273171933947,7,2,0,12,medium,,,,,2007-10-01,0.02620454170383599,2007-10-01,2007-10-01,full,raw,1.0,1.0,7,7,-1,2007-03-01,0.2858799995626491,low_quality,1.0,anomalous,0.01482534381733716,17.515644902288308,202374,point,2007-03-01,2007-03-01,point,2007-10-01,2007-10-01,point,3,False,none,True,False,not_attempted,2007-10-01,2007-10-01,2007-10-01,point,2007-10-01 00:00:00,2007-10-01 00:00:00,2007-10-01 00:00:00,point,2007-10-01 00:00:00,2007-10-01 00:00:00,provisional,low_quality_peak,True,2007-11-01 00:00:00,9.58557687059008e-07,0.0,0.05,10.00210048147995,(),trough_refinement_candidate_0_1,full,0,False,12.5,0.0,low,low,dry_low_refuge,-0.41707181495439527,0.007085485471712501,1,0,0.01482534381733716,low,typical_uncertain,typical_or_mixed,high,detected_per_year,fitzroy_river_wa,seasonal,per_year_detection
2008,partial,boundary_provisional,2007-11-01,2008-11-01,13,2008-02-01,0.2751062888417283,29.08542648387929,2008-07-01,0.056446664794548636,10.112574457873498,10.112574457873498,2008-04-01,0.13589784342805644,0.15002723492746045,2008-11-01,0.024948181013192648,2.8062583972201174,provisional,0.25015810782853565,0.09068560779992062,9,2,1,13,medium,2008-06-01 00:00:00,0.10048650500590049,,,2008-11-01,0.024948181013192648,2008-11-01,2008-11-01,full,raw,1.0,1.0,7,7,0,2008-02-01,0.2751062888417283,low_quality,1.0,anomalous,0.01482534381733716,16.873680024607186,210811,point,2008-02-01,2008-02-01,point,2008-11-01,2008-11-01,point,3,False,none,True,False,not_attempted,2008-11-01,2008-08-01,2008-11-01,broad,2008-11-01 00:00:00,2008-11-01 00:00:00,2008-11-01 00:00:00,point,2008-11-01 00:00:00,2008-11-01 00:00:00,provisional,low_quality_peak,True,2008-12-01 00:00:00,9.536353097739829e-07,28588.07939732552,0.05,12.163784981858182,"(Timestamp('2008-06-01 00:00:00'),)",trough_refinement_candidate_0_1,full,0,False,12.5,0.0,low,low,dry_low_refuge,-0.010773710720920815,-0.0012563606906433426,2,0,0.01482534381733716,low,typical_uncertain,typical_or_mixed,high,detected_per_year,fitzroy_river_wa,seasonal,per_year_detection
2009,complete,ok,2008-12-01,2009-11-01,12,2009-02-01,1.1675291954089002,7.186664667988462,2009-07-01,0.0617420038422222,2.861667487305577,2.861667487305577,2009-03-01,0.26018644104274125,0.5979487917897274,2009-11-01,0.028368388170554433,2.7837371757162965,confirmed,1.1391608072383457,0.024297797675730978,9,1,0,12,high,,,,,2009-11-01,0.028368388170554433,2009-11-01,2009-11-01,full,raw,1.0,1.0,7,7,0,2009-02-01,1.1675291954089002,ambiguous,0.6,normal,0.01482534381733716,76.83874460342567,1170942,point,2009-02-01,2009-02-01,point,2009-11-01,2009-11-01,point,3,False,none,True,False,not_attempted,2009-11-01,2009-09-01,2009-11-01,interval,2009-11-01 00:00:00,2009-11-01 00:00:00,2009-11-01 00:00:00,point,2009-11-01 00:00:00,2009-11-01 00:00:00,confirmed,accepted,True,2009-12-01 00:00:00,9.523857441758698e-07,17192.933838562807,0.05,11.51796919734333,(),trough_refinement_candidate_0_1,full,0,False,71.42857142857143,0.0,typical,low,typical_or_mixed,0.8924229065671719,0.003420207157361785,0,0,0.01482534381733716,typical,typical_uncertain,typical_or_mixed,high,detected_per_year,fitzroy_river_wa,seasonal,per_year_detection
2010,partial,trough_refinement_fallback,2009-12-01,2010-08-01,9,2010-01-01,0.1615174357272246,9.554455167916084,2010-05-01,0.06704675683999202,9.335392423493136,9.335392423493136,2010-03-01,0.10121700883866794,0.10341898381842285,2010-08-01,0.045320531909621084,11.717796360664629,provisional,0.11619690381760352,0.2805921955457473,7,2,1,9,low,,,,,2010-09-01,0.03703579386604272,2010-08-01,2010-09-01,full,quality_adjusted,1.0,1.0,7,7,-3,2010-01-01,0.1615174357272246,raw,1.0,normal,0.01482534381733716,7.837720679483986,157857,point,2010-01-01,2010-01-01,interval,2010-06-01,2010-08-01,interval,3,True,left,True,False,not_attempted,2010-08-01,2010-06-01,2010-08-01,interval,,2010-09-01 00:00:00,2010-09-01 00:00:00,point,2010-09-01 00:00:00,2010-09-01 00:00:00,unresolved,unstable_quality_sensitivity,False,,1.0231883016098405e-06,88217.96902394173,0.05,12.652618033697838,"(Timestamp('2010-07-01 00:00:00'),)",trough_refinement_candidate_0_1,full,0,False,12.5,75.0,low,typical,typical_or_mixed,-1.0060117596816756,0.01695214373906665,0,0,0.01482534381733716,low,typical,typical_or_mixed,high,detected_per_year,fitzroy_river_wa,seasonal,per_year_detection
2011,partial,boundary_provisional,2010-09-01,2011-09-01,13,2011-03-01,3.728342680952061,63.35971149293581,2011-06-01,0.13472885120141517,2.7945193400712034,2.7945193400712034,2011-04-01,0.4141980197681991,1.8902426272856545,2011-09-01,0.05214257361924784,3.965381321500783,provisional,3.676200107332813,0.013985456295539022,6,1,0,13,medium,,,,,2011-09-01,0.05214257361924784,2011-09-01,2011-09-01,full,raw,1.0,1.0,7,7,-2,2011-03-01,3.728342680952061,low_quality,1.0,anomalous,0.01482534381733716,248.98625843464782,1476155,point,2011-03-01,2011-03-01,point,2011-09-01,2011-09-01,point,3,False,none,True,False,not_attempted,2011-09-01,2011-09-01,2011-09-01,point,2011-09-01 00:00:00,2011-09-01 00:00:00,2011-09-01 00:00:00,point,2011-09-01 00:00:00,2011-09-01 00:00:00,provisional,low_quality_peak,True,2011-10-01 00:00:00,1.0349598251364999e-06,64976.91372043384,0.05,10.3015559354459,(),trough_refinement_candidate_0_1,full,0,False,100.0,100.0,high,high,wet_persistent,3.5668252452248366,0.006822041709626754,0,1,0.01482534381733716,high,typical_uncertain,typical_or_mixed,high,detected_per_year,fitzroy_river_wa,seasonal,per_year_detection
2012,partial,trough_refinement_fallback,2011-10-01,2012-10-01,13,2012-03-01,0.3019034221144441,22.074247070200634,2012-06-01,0.07623050592949325,9.27148697679087,9.27148697679087,2012-05-01,0.08982800215587206,0.1673112044656173,2012-10-01,0.032718986816790536,6.300318193691426,provisional,0.26918443529765357,0.10837567387489758,7,2,0,13,low,,,,,2012-12-01,0.01968934533764871,2012-09-01,2013-01-01,full,quality_adjusted,1.0,1.0,7,7,-1,2012-03-01,0.3019034221144441,low_quality,1.0,normal,0.01482534381733716,18.157045031418562,254218,point,2012-03-01,2012-03-01,interval,2012-09-01,2012-10-01,interval,3,False,none,True,False,not_attempted,2012-10-01,2012-09-01,2012-10-01,interval,,2012-12-01 00:00:00,2012-12-01 00:00:00,point,2012-12-01 00:00:00,2012-12-01 00:00:00,unresolved,unstable_quality_sensitivity,False,,1.0199971356440437e-06,0.0,0.05,11.054085977576394,(),trough_refinement_candidate_0_1,full,0,False,12.5,25.0,low,typical,typical_or_mixed,-3.426439258837617,-0.0194235868024573,0,0,0.01482534381733716,low,typical,typical_or_mixed,high,detected_per_year,fitzroy_river_wa,seasonal,per_year_detection
2013,partial,boundary_provisional,2012-11-01,2013-11-01,13,2013-03-01,0.1945817754905184,8.452022126396802,2013-07-01,0.05134274177780298,2.782953338002057,2.782953338002057,2013-04-01,0.08318414154018573,0.11225815668007774,2013-11-01,0.02993453786963711,2.793755861778113,provisional,0.1646472376208813,0.15384039843492828,8,1,1,13,medium,2013-05-01 00:00:00,0.08490281952007007,,,2013-11-01,0.02993453786963711,2013-11-01,2013-11-01,full,raw,1.0,1.0,7,7,0,2013-03-01,0.1945817754905184,ambiguous,0.6,normal,0.01482534381733716,11.796854920042106,192490,point,2013-03-01,2013-03-01,point,2013-11-01,2013-11-01,point,3,False,none,True,False,not_attempted,2013-11-01,2013-08-01,2013-11-01,broad,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,point,2013-11-01 00:00:00,2013-11-01 00:00:00,provisional,essential_low_quality_recovery,True,2013-12-01 00:00:00,9.60775441380504e-07,2306.988762067554,0.05,10.467675902298543,"(Timestamp('2013-05-01 00:00:00'),)",trough_refinement_candidate_0_1,full,0,False,12.5,25.0,low,typical,typical_or_mixed,-0.10732164662392571,-0.002784448947153427,0,0,0.01482534381733716,low,typical,typical_or_mixed,high,detected_per_year,fitzroy_river_wa,seasonal,per_year_detection
2014,partial,boundary_provisional,2013-12-01,2014-11-01,12,2014-02-01,0.8168978959305887,10.035773168729758,2014-07-01,0.06862636698109431,2.785110511215626,2.785110511215626,2014-03-01,0.1885772904191177,0.4229041145685832,2014-11-01,0.028910333206577616,3.67462657721428,provisional,0.787987562724011,0.03539038764892854,9,1,0,12,medium,,,,,2014-11-01,0.028910333206577616,2014-11-01,2014-11-01,full,raw,1.0,1.0,7,7,0,2014-02-01,0.8168978959305887,ambiguous,0.6,normal,0.01482534381733716,53.15138538659164,794136,point,2014-02-01,2014-02-01,point,2014-11-01,2014-11-01,point,3,False,none,True,False,not_attempted,2014-11-01,2014-09-01,2014-11-01,interval,2014-11-01 00:00:00,2014-11-01 00:00:00,2014-11-01 00:00:00,point,2014-11-01 00:00:00,2014-11-01 00:00:00,provisional,essential_low_quality_recovery,True,2014-12-01 00:00:00,9.533116647813782e-07,158.66463640171202,0.05,11.257622109191239,(),trough_refinement_candidate_0_1,full,0,False,50.0,12.5,typical,low,typical_or_mixed,0.6223161204400703,-0.0010242046630594935,0,0,0.01482534381733716,typical,typical_uncertain,typical_or_mixed,high,detected_per_year,fitzroy_river_wa,seasonal,per_year_detection
