catchment,comparison,hy_year,change,peak_month_before,peak_month_after,peak_extent_pct_before,peak_extent_pct_after,peak_quality_before,peak_quality_after,raw_trough_month_before,raw_trough_month_after,raw_trough_extent_pct_before,raw_trough_extent_pct_after,trough_interval_start_before,trough_interval_start_after,trough_interval_end_before,trough_interval_end_after,trough_timing_status_before,trough_timing_status_after,recovery_start_month_before,recovery_start_month_after,status_before,status_after,status_reason_before,status_reason_after,boundary_status_before,boundary_status_after,cycle_months_before,cycle_months_after,n_usable_months_before,n_usable_months_after,trough_refinement_applied_before,trough_refinement_applied_after,trough_refinement_reason_before,trough_refinement_reason_after,annual_condition_before,annual_condition_after,confidence_before,confidence_after,trough_month_before,trough_month_after
daly_river_nt,old_refinement_vs_corrected_refinement,2006,value_changed,2006-04-01,2006-04-01,0.9383397513796208,0.9383397513796208,normal,normal,2006-12-01,2006-12-01,0.1140192712165744,0.1140192712165744,2006-12-01,2006-12-01,2006-12-01,2006-12-01,point,point,2007-01-01 00:00:00,,partial,partial,boundary_provisional,boundary_provisional,provisional,provisional,15.0,15.0,15.0,15.0,True,True,essential_low_quality_recovery,essential_low_quality_recovery,insufficient_baseline,insufficient_baseline,medium,medium,2006-12-01,2006-12-01
daly_river_nt,old_refinement_vs_corrected_refinement,2012,"boundary_shifted,interval_width_changed,value_changed",2012-03-01,2012-03-01,1.0994226113282024,1.0994226113282024,anomalous,anomalous,2012-11-01,2012-11-01,0.1250719249291729,0.1250719249291729,2012-09-01,2012-09-01,2013-01-01,2013-02-01,broad,broad,2013-02-01 00:00:00,,partial,partial,boundary_provisional,boundary_provisional,provisional,provisional,16.0,17.0,16.0,17.0,True,True,low_quality_peak,low_quality_peak,insufficient_baseline,insufficient_baseline,low,low,2013-01-01,2013-02-01
daly_river_nt,old_refinement_vs_corrected_refinement,2013,value_changed,2013-04-01,2013-04-01,0.4160011568588932,0.4160011568588932,normal,normal,2013-11-01,2013-11-01,0.0969453418302545,0.0969453418302545,2013-11-01,2013-11-01,2013-11-01,2013-11-01,point,point,2013-12-01 00:00:00,2013-12-01 00:00:00,partial,partial,boundary_provisional,boundary_provisional,provisional,provisional,10.0,9.0,10.0,9.0,True,True,essential_low_quality_recovery,essential_low_quality_recovery,insufficient_baseline,insufficient_baseline,medium,medium,2013-11-01,2013-11-01
daly_river_nt,old_refinement_vs_corrected_refinement,2014,value_changed,2014-02-01,2014-02-01,0.5550569139168234,0.5550569139168234,normal,normal,2014-10-01,2014-10-01,0.1273003986267467,0.1273003986267467,2014-10-01,2014-10-01,2014-12-01,2014-12-01,interval,interval,2015-01-01 00:00:00,,partial,partial,boundary_provisional,boundary_provisional,provisional,provisional,13.0,13.0,13.0,13.0,True,True,essential_low_quality_recovery,essential_low_quality_recovery,insufficient_baseline,insufficient_baseline,medium,medium,2014-12-01,2014-12-01
daly_river_nt,old_refinement_vs_corrected_refinement,2016,"boundary_shifted,interval_width_changed,value_changed",2016-01-01,2016-01-01,0.5638438177669607,0.5638438177669607,normal,normal,2016-11-01,2016-11-01,0.1275782362069293,0.1275782362069293,2016-11-01,2016-11-01,2016-11-01,2016-12-01,point,interval,2016-12-01 00:00:00,,partial,partial,boundary_provisional,boundary_provisional,provisional,provisional,13.0,14.0,13.0,14.0,True,True,essential_low_quality_recovery,essential_low_quality_recovery,insufficient_baseline,insufficient_baseline,medium,medium,2016-11-01,2016-12-01
daly_river_nt,old_refinement_vs_corrected_refinement,2017,value_changed,2017-02-01,2017-02-01,0.5090450615894012,0.5090450615894012,normal,normal,2017-12-01,2017-12-01,0.0250573492913856,0.0250573492913856,2017-12-01,2017-12-01,2017-12-01,2017-12-01,point,point,2018-01-01 00:00:00,,partial,partial,boundary_provisional,boundary_provisional,provisional,provisional,13.0,12.0,13.0,12.0,True,True,essential_low_quality_recovery,essential_low_quality_recovery,insufficient_baseline,insufficient_baseline,medium,medium,2017-12-01,2017-12-01
daly_river_nt,old_refinement_vs_corrected_refinement,2022,value_changed,2022-02-01,2022-02-01,0.2697533188600884,0.2697533188600884,normal,normal,2022-12-01,2022-12-01,0.1331352734973323,0.1331352734973323,2022-11-01,2022-11-01,2022-12-01,2022-12-01,interval,interval,2023-01-01 00:00:00,,partial,partial,boundary_provisional,boundary_provisional,provisional,provisional,13.0,13.0,13.0,13.0,True,True,interval_peak,interval_peak,insufficient_baseline,insufficient_baseline,medium,medium,2022-12-01,2022-12-01
daly_river_nt,old_refinement_vs_corrected_refinement,2024,"boundary_shifted,interval_width_changed,value_changed",2024-03-01,2024-03-01,1.2728859747306895,1.2728859747306895,normal,normal,2024-09-01,2024-09-01,0.1481431414539679,0.1481431414539679,2024-09-01,2024-09-01,2024-09-01,2024-12-01,point,broad,2024-10-01 00:00:00,,partial,partial,boundary_provisional,boundary_provisional,provisional,provisional,10.0,13.0,10.0,13.0,True,True,essential_low_quality_recovery,essential_low_quality_recovery,insufficient_baseline,insufficient_baseline,medium,medium,2024-09-01,2024-12-01
daly_river_nt,old_refinement_vs_corrected_refinement,2025,value_changed,2025-02-01,2025-02-01,0.4067364466514648,0.4067364466514648,normal,normal,2025-12-01,2025-12-01,0.0811461680341347,0.0811461680341347,2025-12-01,2025-12-01,2025-12-01,2025-12-01,point,point,,,partial,partial,boundary_provisional,boundary_provisional,provisional,provisional,15.0,12.0,15.0,12.0,False,False,open_span,open_span,insufficient_baseline,insufficient_baseline,low,low,2025-12-01,2025-12-01
daly_river_nt,current_default_vs_corrected_refinement,2005,value_changed,2005-01-01,2005-01-01,0.7144900900834145,0.7144900900834145,normal,normal,2006-01-01,2006-01-01,0.0167618670434368,0.0167618670434368,2005-08-01,2005-08-01,2005-09-01,2005-09-01,interval,interval,,,partial,partial,record_start_boundary,record_start_boundary,provisional,provisional,9.0,9.0,9.0,9.0,False,False,not_requested,unstable_quality_sensitivity,insufficient_baseline,insufficient_baseline,medium,low,2005-09-01,2005-09-01
daly_river_nt,current_default_vs_corrected_refinement,2006,"interval_width_changed,status_changed,value_changed",2006-04-01,2006-04-01,0.9383397513796208,0.9383397513796208,normal,normal,2006-12-01,2006-12-01,0.1140192712165744,0.1140192712165744,2006-10-01,2006-12-01,2006-12-01,2006-12-01,interval,point,,,complete,partial,ok,boundary_provisional,confirmed,provisional,15.0,15.0,15.0,15.0,False,True,not_requested,essential_low_quality_recovery,insufficient_baseline,insufficient_baseline,high,medium,2006-12-01,2006-12-01
daly_river_nt,current_default_vs_corrected_refinement,2007,"status_changed,value_changed",2007-03-01,2007-03-01,0.4377423801126308,0.4377423801126308,normal,normal,2008-02-01,2008-02-01,0.080670324900802,0.080670324900802,2007-10-01,2007-10-01,2007-10-01,2007-10-01,point,point,,,complete,partial,ok,trough_refinement_fallback,confirmed,provisional,10.0,10.0,10.0,10.0,False,False,not_requested,unstable_quality_sensitivity,insufficient_baseline,insufficient_baseline,high,low,2007-10-01,2007-10-01
daly_river_nt,current_default_vs_corrected_refinement,2008,value_changed,2008-03-01,2008-03-01,1.084287751430856,1.084287751430856,normal,normal,2008-10-01,2008-10-01,0.1119516611874294,0.1119516611874294,2008-10-01,2008-10-01,2008-10-01,2008-10-01,point,point,,2008-11-01 00:00:00,complete,complete,ok,ok,confirmed,confirmed,12.0,12.0,12.0,12.0,False,True,not_requested,accepted,insufficient_baseline,insufficient_baseline,high,high,2008-10-01,2008-10-01
