partition,seed,family,n_errors_off,n_errors_on,wrong_cycle_off,wrong_cycle_on,mean_abs_error_off,mean_abs_error_on,diff_matched_rows,diff_added_rows,diff_dropped_rows,diff_peak_changes,diff_boundary_shifted,diff_interval_width_changed,diff_interval_widened,diff_interval_narrowed,diff_status_changed,diff_newly_uncomputable,diff_newly_computable,diff_quality_upgraded,diff_quality_downgraded,diff_before_duplicate_or_nonmonotonic_boundaries,diff_after_duplicate_or_nonmonotonic_boundaries
calibration,30000,stationary_trough,11,11,0,0,0.0,0.0,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30001,wide_phase_excursion,10,10,1,1,0.5555555555555556,0.0,12,0,0,0,2,0,0,0,4,0,0,2,2,0,0
calibration,30002,abrupt_phase_shift,10,10,5,5,0.0,0.0,12,0,0,0,0,0,0,0,5,0,0,0,5,0,0
calibration,30003,competing_secondary_minimum,11,11,0,0,0.0,0.0,12,0,0,0,0,0,0,0,3,0,0,0,3,0,0
calibration,30004,tied_low_plateau_wide,0,0,0,0,,,12,0,0,0,10,10,10,0,10,0,0,10,0,0,0
calibration,30005,missing_outer_months,5,5,0,0,0.0,0.0,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30006,quality_loss_outer_months,5,5,0,0,0.0,0.0,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30007,zero_dominated_wide_excursion,0,0,0,0,,,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30008,short_cycle_stress,11,11,0,0,0.9090909090909091,0.9090909090909091,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calibration,30009,long_cycle_stress,11,11,0,0,0.9090909090909091,0.9090909090909091,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30010,stationary_trough,11,11,0,0,0.0,0.0,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30011,wide_phase_excursion,10,10,1,1,0.5555555555555556,0.0,12,0,0,0,2,0,0,0,4,0,0,2,2,0,0
calibration,30012,abrupt_phase_shift,10,10,5,5,0.0,0.0,12,0,0,0,0,0,0,0,5,0,0,0,5,0,0
calibration,30013,competing_secondary_minimum,11,11,0,0,0.0,0.0,12,0,0,0,0,0,0,0,3,0,0,0,3,0,0
calibration,30014,tied_low_plateau_wide,0,0,0,0,,,12,0,0,0,10,10,10,0,10,0,0,10,0,0,0
calibration,30015,missing_outer_months,5,5,0,0,0.0,0.0,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30016,quality_loss_outer_months,5,5,0,0,0.0,0.0,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30017,zero_dominated_wide_excursion,0,0,0,0,,,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30018,short_cycle_stress,11,11,0,0,0.9090909090909091,0.9090909090909091,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calibration,30019,long_cycle_stress,11,11,0,0,0.9090909090909091,0.9090909090909091,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30020,stationary_trough,11,11,0,0,0.0,0.0,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30021,wide_phase_excursion,10,10,1,1,0.5555555555555556,0.0,12,0,0,0,2,0,0,0,4,0,0,2,2,0,0
calibration,30022,abrupt_phase_shift,10,10,5,5,0.0,0.0,12,0,0,0,0,0,0,0,5,0,0,0,5,0,0
calibration,30023,competing_secondary_minimum,11,11,0,0,0.0,0.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calibration,30024,tied_low_plateau_wide,0,0,0,0,,,12,0,0,0,10,10,10,0,10,0,0,10,0,0,0
calibration,30025,missing_outer_months,5,5,0,0,0.0,0.0,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30026,quality_loss_outer_months,5,5,0,0,0.0,0.0,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30027,zero_dominated_wide_excursion,0,0,0,0,,,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30028,short_cycle_stress,11,11,0,0,0.9090909090909091,0.9090909090909091,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calibration,30029,long_cycle_stress,11,11,0,0,0.9090909090909091,0.9090909090909091,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30030,stationary_trough,11,11,0,0,0.0,0.0,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30031,wide_phase_excursion,10,10,1,1,0.5555555555555556,0.0,12,0,0,0,2,0,0,0,4,0,0,2,2,0,0
calibration,30032,abrupt_phase_shift,10,10,5,5,0.0,0.0,12,0,0,0,0,0,0,0,5,0,0,0,5,0,0
calibration,30033,competing_secondary_minimum,11,11,0,0,0.0,0.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calibration,30034,tied_low_plateau_wide,0,0,0,0,,,12,0,0,0,10,10,10,0,10,0,0,10,0,0,0
calibration,30035,missing_outer_months,5,5,0,0,0.0,0.0,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30036,quality_loss_outer_months,5,5,0,0,0.0,0.0,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30037,zero_dominated_wide_excursion,0,0,0,0,,,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30038,short_cycle_stress,11,11,0,0,0.9090909090909091,0.9090909090909091,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calibration,30039,long_cycle_stress,11,11,0,0,0.9090909090909091,0.9090909090909091,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30040,stationary_trough,11,11,0,0,0.0,0.0,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30041,wide_phase_excursion,10,10,1,1,0.5555555555555556,0.0,12,0,0,0,2,0,0,0,4,0,0,2,2,0,0
calibration,30042,abrupt_phase_shift,10,10,5,5,0.0,0.0,12,0,0,0,0,0,0,0,5,0,0,0,5,0,0
calibration,30043,competing_secondary_minimum,12,12,0,0,0.0,0.0,12,0,0,0,0,0,0,0,4,0,0,0,3,0,0
calibration,30044,tied_low_plateau_wide,0,0,0,0,,,12,0,0,0,10,10,10,0,10,0,0,10,0,0,0
calibration,30045,missing_outer_months,5,5,0,0,0.0,0.0,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30046,quality_loss_outer_months,5,5,0,0,0.0,0.0,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30047,zero_dominated_wide_excursion,0,0,0,0,,,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30048,short_cycle_stress,11,11,0,0,0.9090909090909091,0.9090909090909091,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calibration,30049,long_cycle_stress,11,11,0,0,0.9090909090909091,0.9090909090909091,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30050,stationary_trough,11,11,0,0,0.0,0.0,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30051,wide_phase_excursion,10,10,1,1,0.5555555555555556,0.0,12,0,0,0,2,0,0,0,4,0,0,2,2,0,0
calibration,30052,abrupt_phase_shift,10,10,5,5,0.0,0.0,12,0,0,0,0,0,0,0,5,0,0,0,5,0,0
calibration,30053,competing_secondary_minimum,12,12,0,0,0.0,0.0,12,0,0,0,0,0,0,0,2,0,0,0,1,0,0
calibration,30054,tied_low_plateau_wide,0,0,0,0,,,12,0,0,0,10,10,10,0,10,0,0,10,0,0,0
calibration,30055,missing_outer_months,5,5,0,0,0.0,0.0,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30056,quality_loss_outer_months,5,5,0,0,0.0,0.0,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30057,zero_dominated_wide_excursion,0,0,0,0,,,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30058,short_cycle_stress,11,11,0,0,0.9090909090909091,0.9090909090909091,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calibration,30059,long_cycle_stress,11,11,0,0,0.9090909090909091,0.9090909090909091,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
calibration,30060,stationary_trough,11,11,0,0,0.0,0.0,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
