hy_year,status,status_reason,hy_start,hy_end,cycle_months,peak_month,peak_extent_pct,peak_invalid_pct,temporal_mid_dry_month,temporal_mid_dry_extent_pct,temporal_mid_dry_invalid_pct,mid_dry_invalid_pct,half_loss_month,half_loss_extent_pct,half_loss_target_pct,trough_month,trough_extent_pct,trough_invalid_pct,boundary_status,drawdown_pct,persistence_ratio,recession_months,half_loss_months,n_rewetting_pulses,n_usable_months,confidence,secondary_peak_month,secondary_peak_extent_pct,secondary_trough_month,secondary_trough_extent_pct,raw_trough_month,raw_trough_extent_pct,low_run_start_month,low_run_end_month,window_status,selection_status,selection_support,selection_quality,window_n_expected,window_n_usable,phase_shift_months,raw_peak_month,raw_peak_extent_pct,peak_selection_status,peak_selection_support,peak_quality,detectability_floor_pp,amplitude_to_floor_ratio,peak_n_water,peak_timing_status,peak_interval_start,peak_interval_end,trough_timing_status,trough_interval_start,trough_interval_end,timing_status,trough_search_radius_used,boundary_at_search_edge,boundary_search_edge_side,outside_window_observed,outside_window_lower,retry_outcome,pass1_trough_month,pass1_trough_interval_start,pass1_trough_interval_end,pass1_trough_timing_status,trough_challenger_month,trough_challenger_interval_start,trough_challenger_interval_end,trough_challenger_timing_status,trough_challenger_low_state_start,trough_challenger_low_state_end,trough_refinement_status,trough_refinement_reason,trough_refinement_applied,recovery_start_month,trough_local_scale_pp,trough_profile_best_loss,trough_profile_cutoff,trough_effective_support,trough_pulse_months,trough_refinement_policy_version,trough_loss_basis,baseline_mode,baseline_n,baseline_uncertain,peak_percentile,trough_percentile,recharge_condition,refuge_condition,annual_condition,peak_change_from_previous_pct,trough_change_from_previous_pct,consecutive_dry_cycles,consecutive_wet_cycles,noise_floor_pp,recharge_condition_qualified,refuge_condition_qualified,annual_condition_qualified,timing_confidence,boundary_basis,catchment,regime,route
2005,partial,insufficient_cycle_coverage,2005-01-01,2005-07-01,7,,,,,,,,,,,2005-07-01,2.0,0.0,confirmed,,,,,,7,low,,,,,2005-07-01,2.0,2005-07-01,2005-09-01,full,raw,1.0,1.0,7,7,0,,,,,,,,,,,,,,,,3,False,none,True,False,not_attempted,2005-07-01,,,,,,,unresolved,,,unavailable,missing_or_unresolved_peak,False,,0.0,,0.05,0.0,(),trough_refinement_candidate_0_2,unavailable,full,0,False,,,insufficient_baseline,insufficient_baseline,insufficient_baseline,,,0,0,0.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,unknown,detected_per_year,clean-seasonal,seasonal,per_year_detection
2006,complete,ok,2005-08-01,2006-09-01,14,2006-02-01,80.0,0.0,2006-06-01,8.0,0.0,0.0,2006-04-01,35.0,41.0,2006-09-01,2.0,0.0,confirmed,78.0,0.025,7.0,2.0,0.0,14,high,,,,,2006-07-01,2.0,2006-07-01,2006-09-01,full,raw,1.0,1.0,7,7,2,2006-02-01,80.0,raw,1.0,normal,2.220446049250313e-16,3.512807709348987e+17,,point,2006-02-01,2006-02-01,interval,2006-07-01,2006-09-01,interval,3,False,none,True,False,not_attempted,2006-07-01,2006-07-01,2006-07-01,point,2006-09-01 00:00:00,2006-07-01 00:00:00,2006-09-01 00:00:00,interval,2006-07-01 00:00:00,2006-09-01 00:00:00,confirmed,accepted,True,2006-10-01 00:00:00,0.0,0.0,0.05,13.0,(),trough_refinement_candidate_0_2,exact_l1,full,0,False,,,insufficient_baseline,insufficient_baseline,insufficient_baseline,,0.0,0,0,0.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,clean-seasonal,seasonal,per_year_detection
2007,complete,ok,2006-10-01,2007-09-01,12,2007-02-01,80.0,0.0,2007-06-01,8.0,0.0,0.0,2007-04-01,35.0,41.0,2007-09-01,2.0,0.0,confirmed,78.0,0.025,7.0,2.0,0.0,12,high,,,,,2007-07-01,2.0,2007-07-01,2007-09-01,full,raw,1.0,1.0,7,7,2,2007-02-01,80.0,raw,1.0,normal,2.220446049250313e-16,3.512807709348987e+17,,point,2007-02-01,2007-02-01,interval,2007-07-01,2007-09-01,interval,3,False,none,True,False,not_attempted,2007-07-01,2007-07-01,2007-07-01,point,2007-09-01 00:00:00,2007-07-01 00:00:00,2007-09-01 00:00:00,interval,2007-07-01 00:00:00,2007-09-01 00:00:00,confirmed,accepted,True,2007-10-01 00:00:00,0.0,0.0,0.05,13.0,(),trough_refinement_candidate_0_2,exact_l1,full,0,False,,,insufficient_baseline,insufficient_baseline,insufficient_baseline,0.0,0.0,0,0,0.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,clean-seasonal,seasonal,per_year_detection
2008,complete,ok,2007-10-01,2008-09-01,12,2008-02-01,80.0,0.0,2008-06-01,8.0,0.0,0.0,2008-04-01,35.0,41.0,2008-09-01,2.0,0.0,confirmed,78.0,0.025,7.0,2.0,0.0,12,high,,,,,2008-07-01,2.0,2008-07-01,2008-09-01,full,raw,1.0,1.0,7,7,2,2008-02-01,80.0,raw,1.0,normal,2.220446049250313e-16,3.512807709348987e+17,,point,2008-02-01,2008-02-01,interval,2008-07-01,2008-09-01,interval,3,False,none,True,False,not_attempted,2008-07-01,2008-07-01,2008-07-01,point,2008-09-01 00:00:00,2008-07-01 00:00:00,2008-09-01 00:00:00,interval,2008-07-01 00:00:00,2008-09-01 00:00:00,confirmed,accepted,True,2008-10-01 00:00:00,0.0,0.0,0.05,13.0,(),trough_refinement_candidate_0_2,exact_l1,full,0,False,,,insufficient_baseline,insufficient_baseline,insufficient_baseline,0.0,0.0,0,0,0.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,clean-seasonal,seasonal,per_year_detection
2009,complete,ok,2008-10-01,2009-09-01,12,2009-02-01,80.0,0.0,2009-06-01,8.0,0.0,0.0,2009-04-01,35.0,41.0,2009-09-01,2.0,0.0,confirmed,78.0,0.025,7.0,2.0,0.0,12,high,,,,,2009-07-01,2.0,2009-07-01,2009-09-01,full,raw,1.0,1.0,7,7,2,2009-02-01,80.0,raw,1.0,normal,2.220446049250313e-16,3.512807709348987e+17,,point,2009-02-01,2009-02-01,interval,2009-07-01,2009-09-01,interval,3,False,none,True,False,not_attempted,2009-07-01,2009-07-01,2009-07-01,point,2009-09-01 00:00:00,2009-07-01 00:00:00,2009-09-01 00:00:00,interval,2009-07-01 00:00:00,2009-09-01 00:00:00,confirmed,accepted,True,2009-10-01 00:00:00,0.0,0.0,0.05,13.0,(),trough_refinement_candidate_0_2,exact_l1,full,0,False,,,insufficient_baseline,insufficient_baseline,insufficient_baseline,0.0,0.0,0,0,0.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,clean-seasonal,seasonal,per_year_detection
2010,complete,ok,2009-10-01,2010-09-01,12,2010-02-01,80.0,0.0,2010-06-01,8.0,0.0,0.0,2010-04-01,35.0,41.0,2010-09-01,2.0,0.0,confirmed,78.0,0.025,7.0,2.0,0.0,12,high,,,,,2010-07-01,2.0,2010-07-01,2010-09-01,full,raw,1.0,1.0,7,7,2,2010-02-01,80.0,raw,1.0,normal,2.220446049250313e-16,3.512807709348987e+17,,point,2010-02-01,2010-02-01,interval,2010-07-01,2010-09-01,interval,3,False,none,True,False,not_attempted,2010-07-01,2010-07-01,2010-07-01,point,2010-09-01 00:00:00,2010-07-01 00:00:00,2010-09-01 00:00:00,interval,2010-07-01 00:00:00,2010-09-01 00:00:00,confirmed,accepted,True,2010-10-01 00:00:00,0.0,0.0,0.05,13.0,(),trough_refinement_candidate_0_2,exact_l1,full,0,False,,,insufficient_baseline,insufficient_baseline,insufficient_baseline,0.0,0.0,0,0,0.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,clean-seasonal,seasonal,per_year_detection
2011,complete,ok,2010-10-01,2011-09-01,12,2011-02-01,80.0,0.0,2011-06-01,8.0,0.0,0.0,2011-04-01,35.0,41.0,2011-09-01,2.0,0.0,confirmed,78.0,0.025,7.0,2.0,0.0,12,high,,,,,2011-07-01,2.0,2011-07-01,2011-09-01,full,raw,1.0,1.0,7,7,2,2011-02-01,80.0,raw,1.0,normal,2.220446049250313e-16,3.512807709348987e+17,,point,2011-02-01,2011-02-01,interval,2011-07-01,2011-09-01,interval,3,False,none,True,False,not_attempted,2011-07-01,2011-07-01,2011-07-01,point,2011-09-01 00:00:00,2011-07-01 00:00:00,2011-09-01 00:00:00,interval,2011-07-01 00:00:00,2011-09-01 00:00:00,confirmed,accepted,True,2011-10-01 00:00:00,0.0,0.0,0.05,13.0,(),trough_refinement_candidate_0_2,exact_l1,full,0,False,,,insufficient_baseline,insufficient_baseline,insufficient_baseline,0.0,0.0,0,0,0.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,clean-seasonal,seasonal,per_year_detection
2012,complete,ok,2011-10-01,2012-09-01,12,2012-02-01,80.0,0.0,2012-06-01,8.0,0.0,0.0,2012-04-01,35.0,41.0,2012-09-01,2.0,0.0,confirmed,78.0,0.025,7.0,2.0,0.0,12,high,,,,,2012-07-01,2.0,2012-07-01,2012-09-01,full,raw,1.0,1.0,7,7,2,2012-02-01,80.0,raw,1.0,normal,2.220446049250313e-16,3.512807709348987e+17,,point,2012-02-01,2012-02-01,interval,2012-07-01,2012-09-01,interval,3,False,none,True,False,not_attempted,2012-07-01,2012-07-01,2012-07-01,point,2012-09-01 00:00:00,2012-07-01 00:00:00,2012-09-01 00:00:00,interval,2012-07-01 00:00:00,2012-09-01 00:00:00,confirmed,accepted,True,2012-10-01 00:00:00,0.0,0.0,0.05,13.0,(),trough_refinement_candidate_0_2,exact_l1,full,0,False,,,insufficient_baseline,insufficient_baseline,insufficient_baseline,0.0,0.0,0,0,0.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,clean-seasonal,seasonal,per_year_detection
2013,complete,ok,2012-10-01,2013-09-01,12,2013-02-01,80.0,0.0,2013-06-01,8.0,0.0,0.0,2013-04-01,35.0,41.0,2013-09-01,2.0,0.0,confirmed,78.0,0.025,7.0,2.0,0.0,12,high,,,,,2013-07-01,2.0,2013-07-01,2013-09-01,full,raw,1.0,1.0,7,7,2,2013-02-01,80.0,raw,1.0,normal,2.220446049250313e-16,3.512807709348987e+17,,point,2013-02-01,2013-02-01,interval,2013-07-01,2013-09-01,interval,3,False,none,True,False,not_attempted,2013-07-01,2013-07-01,2013-07-01,point,2013-09-01 00:00:00,2013-07-01 00:00:00,2013-09-01 00:00:00,interval,2013-07-01 00:00:00,2013-09-01 00:00:00,confirmed,accepted,True,2013-10-01 00:00:00,0.0,0.0,0.05,13.0,(),trough_refinement_candidate_0_2,exact_l1,full,0,False,,,insufficient_baseline,insufficient_baseline,insufficient_baseline,0.0,0.0,0,0,0.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,clean-seasonal,seasonal,per_year_detection
2014,complete,ok,2013-10-01,2014-09-01,12,2014-02-01,80.0,0.0,2014-06-01,8.0,0.0,0.0,2014-04-01,35.0,41.0,2014-09-01,2.0,0.0,confirmed,78.0,0.025,7.0,2.0,0.0,12,high,,,,,2014-07-01,2.0,2014-07-01,2014-09-01,full,raw,1.0,1.0,7,7,2,2014-02-01,80.0,raw,1.0,normal,2.220446049250313e-16,3.512807709348987e+17,,point,2014-02-01,2014-02-01,interval,2014-07-01,2014-09-01,interval,3,False,none,True,False,not_attempted,2014-07-01,2014-07-01,2014-07-01,point,2014-09-01 00:00:00,2014-07-01 00:00:00,2014-09-01 00:00:00,interval,2014-07-01 00:00:00,2014-09-01 00:00:00,confirmed,accepted,True,2014-10-01 00:00:00,0.0,0.0,0.05,13.0,(),trough_refinement_candidate_0_2,exact_l1,full,0,False,,,insufficient_baseline,insufficient_baseline,insufficient_baseline,0.0,0.0,0,0,0.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,clean-seasonal,seasonal,per_year_detection
2015,complete,ok,2014-10-01,2015-09-01,12,2015-02-01,80.0,0.0,2015-06-01,8.0,0.0,0.0,2015-04-01,35.0,41.0,2015-09-01,2.0,0.0,confirmed,78.0,0.025,7.0,2.0,0.0,12,high,,,,,2015-07-01,2.0,2015-07-01,2015-09-01,full,raw,1.0,1.0,7,7,2,2015-02-01,80.0,raw,1.0,normal,2.220446049250313e-16,3.512807709348987e+17,,point,2015-02-01,2015-02-01,interval,2015-07-01,2015-09-01,interval,3,False,none,True,False,not_attempted,2015-07-01,2015-07-01,2015-07-01,point,2015-09-01 00:00:00,2015-07-01 00:00:00,2015-09-01 00:00:00,interval,2015-07-01 00:00:00,2015-09-01 00:00:00,confirmed,accepted,True,2015-10-01 00:00:00,0.0,0.0,0.05,13.0,(),trough_refinement_candidate_0_2,exact_l1,full,0,False,,,insufficient_baseline,insufficient_baseline,insufficient_baseline,0.0,0.0,0,0,0.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,clean-seasonal,seasonal,per_year_detection
2016,complete,ok,2015-10-01,2016-09-01,12,2016-02-01,80.0,0.0,2016-06-01,8.0,0.0,0.0,2016-04-01,35.0,41.0,2016-09-01,2.0,0.0,confirmed,78.0,0.025,7.0,2.0,0.0,12,high,,,,,2016-07-01,2.0,2016-07-01,2016-09-01,full,raw,1.0,1.0,7,7,2,2016-02-01,80.0,raw,1.0,normal,2.220446049250313e-16,3.512807709348987e+17,,point,2016-02-01,2016-02-01,interval,2016-07-01,2016-09-01,interval,3,False,none,True,False,not_attempted,2016-07-01,2016-07-01,2016-07-01,point,2016-09-01 00:00:00,2016-07-01 00:00:00,2016-09-01 00:00:00,interval,2016-07-01 00:00:00,2016-09-01 00:00:00,confirmed,accepted,True,2016-10-01 00:00:00,0.0,0.0,0.05,13.0,(),trough_refinement_candidate_0_2,exact_l1,full,0,False,,,insufficient_baseline,insufficient_baseline,insufficient_baseline,0.0,0.0,0,0,0.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,clean-seasonal,seasonal,per_year_detection
2017,complete,ok,2016-10-01,2017-09-01,12,2017-02-01,80.0,0.0,2017-06-01,8.0,0.0,0.0,2017-04-01,35.0,41.0,2017-09-01,2.0,0.0,confirmed,78.0,0.025,7.0,2.0,0.0,12,high,,,,,2017-07-01,2.0,2017-07-01,2017-09-01,full,raw,1.0,1.0,7,7,2,2017-02-01,80.0,raw,1.0,normal,2.220446049250313e-16,3.512807709348987e+17,,point,2017-02-01,2017-02-01,interval,2017-07-01,2017-09-01,interval,3,False,none,True,False,not_attempted,2017-07-01,2017-07-01,2017-07-01,point,2017-09-01 00:00:00,2017-07-01 00:00:00,2017-09-01 00:00:00,interval,2017-07-01 00:00:00,2017-09-01 00:00:00,confirmed,accepted,True,2017-10-01 00:00:00,0.0,0.0,0.05,13.0,(),trough_refinement_candidate_0_2,exact_l1,full,0,False,,,insufficient_baseline,insufficient_baseline,insufficient_baseline,0.0,0.0,0,0,0.0,insufficient_baseline,insufficient_baseline,insufficient_baseline,high,detected_per_year,clean-seasonal,seasonal,per_year_detection
