date,extent_pct,invalid_pct,usable_month,reference_median_pct,anomaly_pct,condition_percentile,quality_state,hy_year,confidence,phase,is_hy_peak,is_hy_trough,in_wet_event,wet_event_id,in_low_spell,low_spell_id,regime,route
2005-01-01,60.0,0.0,True,60.0,0.0,50.0,usable,2005,low,unspecified,False,False,False,,False,,seasonal,per_year_detection
2005-02-01,80.0,0.0,True,80.0,0.0,50.0,usable,2005,low,unspecified,False,False,False,,False,,seasonal,per_year_detection
2005-03-01,60.0,0.0,True,60.0,0.0,50.0,usable,2005,low,unspecified,False,False,False,,False,,seasonal,per_year_detection
2005-04-01,35.0,0.0,True,35.0,0.0,50.0,usable,2005,low,unspecified,False,False,False,,False,,seasonal,per_year_detection
2005-05-01,15.0,0.0,True,15.0,0.0,50.0,usable,2005,low,unspecified,False,False,False,,False,,seasonal,per_year_detection
2005-06-01,8.0,0.0,True,8.0,0.0,50.0,usable,2005,low,unspecified,False,False,False,,False,,seasonal,per_year_detection
2005-07-01,2.0,0.0,True,2.0,0.0,50.0,usable,2005,low,unspecified,False,True,False,,False,,seasonal,per_year_detection
2005-08-01,2.0,0.0,True,2.0,0.0,50.0,usable,2006,high,rising,False,False,False,,False,,seasonal,per_year_detection
2005-09-01,2.0,0.0,True,2.0,0.0,50.0,usable,2006,high,rising,False,False,False,,False,,seasonal,per_year_detection
2005-10-01,8.0,0.0,True,8.0,0.0,50.0,usable,2006,high,rising,False,False,False,,False,,seasonal,per_year_detection
2005-11-01,20.0,0.0,True,20.0,0.0,50.0,usable,2006,high,rising,False,False,False,,False,,seasonal,per_year_detection
2005-12-01,40.0,0.0,True,40.0,0.0,50.0,usable,2006,high,rising,False,False,False,,False,,seasonal,per_year_detection
2006-01-01,60.0,0.0,True,60.0,0.0,50.0,usable,2006,high,rising,False,False,False,,False,,seasonal,per_year_detection
2006-02-01,80.0,0.0,True,80.0,0.0,50.0,usable,2006,high,rising,True,False,False,,False,,seasonal,per_year_detection
2006-03-01,60.0,0.0,True,60.0,0.0,50.0,usable,2006,high,receding,False,False,False,,False,,seasonal,per_year_detection
2006-04-01,35.0,0.0,True,35.0,0.0,50.0,usable,2006,high,receding,False,False,False,,False,,seasonal,per_year_detection
2006-05-01,15.0,0.0,True,15.0,0.0,50.0,usable,2006,high,receding,False,False,False,,False,,seasonal,per_year_detection
2006-06-01,8.0,0.0,True,8.0,0.0,50.0,usable,2006,high,receding,False,False,False,,False,,seasonal,per_year_detection
2006-07-01,2.0,0.0,True,2.0,0.0,50.0,usable,2006,high,receding,False,False,False,,False,,seasonal,per_year_detection
2006-08-01,2.0,0.0,True,2.0,0.0,50.0,usable,2006,high,receding,False,False,False,,False,,seasonal,per_year_detection
2006-09-01,2.0,0.0,True,2.0,0.0,50.0,usable,2006,high,receding,False,True,False,,False,,seasonal,per_year_detection
2006-10-01,8.0,0.0,True,8.0,0.0,50.0,usable,2007,high,rising,False,False,False,,False,,seasonal,per_year_detection
2006-11-01,20.0,0.0,True,20.0,0.0,50.0,usable,2007,high,rising,False,False,False,,False,,seasonal,per_year_detection
2006-12-01,40.0,0.0,True,40.0,0.0,50.0,usable,2007,high,rising,False,False,False,,False,,seasonal,per_year_detection
2007-01-01,60.0,0.0,True,60.0,0.0,50.0,usable,2007,high,rising,False,False,False,,False,,seasonal,per_year_detection
2007-02-01,80.0,0.0,True,80.0,0.0,50.0,usable,2007,high,rising,True,False,False,,False,,seasonal,per_year_detection
