candidate,family,n,resolvable_n,all_case_application_rate,applied_only_coverage,unconditional_support_coverage,unresolvable_n,false_precise_unresolvable_n,point_predictions_n,incorrect_point_predictions_n,median_error_months,p90_error_months,early_n,late_n,mean_support_width_months
existing,all,384,288,0.9166666666666666,0.9444444444444444,0.5381944444444444,48,24,288,169,0.0,4.0,120,1,0.4375
existing,plateau,48,48,1.0,1.0,0.5,0,0,32,24,0.5,3.0,24,0,1.0
existing,point,48,48,1.0,1.0,1.0,0,0,48,0,0.0,0.0,0,0,0.0
existing,gradual,48,48,1.0,1.0,0.0,0,0,48,48,2.0,2.0,47,1,0.0
existing,curved_recession,48,48,1.0,1.0,0.9375,0,0,48,3,0.0,0.0,3,0,0.0
existing,pulse,48,48,1.0,1.0,0.6666666666666666,0,0,30,16,0.0,4.0,18,0,1.4166666666666667
existing,long_plateau,48,48,0.6666666666666666,0.6666666666666666,0.125,0,0,28,24,4.0,8.0,28,0,0.125
existing,no_recovery,48,0,0.6666666666666666,,,48,24,24,24,,,0,0,0.5
existing,gap_at_endpoint,48,0,1.0,,,0,0,30,30,,,0,0,0.375
existing_oracle_scale,all,384,288,0.8697916666666666,0.9097222222222222,0.6666666666666666,48,6,165,76,0.0,3.0,112,1,1.158682634730539
existing_oracle_scale,plateau,48,48,1.0,1.0,0.8333333333333334,0,0,2,2,0.5,3.0,24,0,2.375
existing_oracle_scale,point,48,48,1.0,1.0,1.0,0,0,48,0,0.0,0.0,0,0,0.0
existing_oracle_scale,gradual,48,48,1.0,1.0,0.20833333333333334,0,0,28,28,2.0,2.0,47,1,0.75
existing_oracle_scale,curved_recession,48,48,1.0,1.0,0.9583333333333334,0,0,41,2,0.0,0.0,3,0,0.1875
existing_oracle_scale,pulse,48,48,1.0,1.0,0.7916666666666666,0,0,10,8,0.0,4.0,18,0,2.3333333333333335
existing_oracle_scale,long_plateau,48,48,0.4583333333333333,0.4583333333333333,0.20833333333333334,0,0,0,0,4.0,8.0,20,0,2.5454545454545454
existing_oracle_scale,no_recovery,48,0,0.5,,,48,6,6,6,,,0,0,1.75
existing_oracle_scale,gap_at_endpoint,48,0,1.0,,,0,0,30,30,,,0,0,0.375
direct_profile_residual,all,384,288,0.8984375,1.0,0.8506944444444444,48,8,324,80,0.0,1.0,37,7,0.06376811594202898
direct_profile_residual,plateau,48,48,1.0,1.0,0.875,0,0,48,6,0.0,1.0,6,0,0.0
direct_profile_residual,point,48,48,1.0,1.0,1.0,0,0,48,0,0.0,0.0,0,0,0.0
direct_profile_residual,gradual,48,48,1.0,1.0,0.5833333333333334,0,0,48,20,0.0,1.0,13,7,0.0
direct_profile_residual,curved_recession,48,48,1.0,1.0,0.9583333333333334,0,0,48,2,0.0,0.0,2,0,0.0
direct_profile_residual,pulse,48,48,1.0,1.0,0.9166666666666666,0,0,48,4,0.0,0.0,4,0,0.0
direct_profile_residual,long_plateau,48,48,1.0,1.0,0.7708333333333334,0,0,46,10,0.0,5.300000000000004,12,0,0.0625
direct_profile_residual,no_recovery,48,0,0.1875,,,48,8,8,8,,,0,0,0.1111111111111111
direct_profile_residual,gap_at_endpoint,48,0,1.0,,,0,0,30,30,,,0,0,0.375
direct_profile_combined,all,384,288,0.9088541666666666,1.0,0.9861111111111112,48,12,146,43,0.0,1.0,33,7,1.2550143266475644
direct_profile_combined,plateau,48,48,1.0,1.0,0.9375,0,0,8,1,0.0,1.0,6,0,2.2916666666666665
direct_profile_combined,point,48,48,1.0,1.0,1.0,0,0,48,0,0.0,0.0,0,0,0.0
direct_profile_combined,gradual,48,48,1.0,1.0,1.0,0,0,0,0,0.0,1.0,13,7,3.0208333333333335
direct_profile_combined,curved_recession,48,48,1.0,1.0,1.0,0,0,13,0,0.0,0.0,2,0,0.7916666666666666
direct_profile_combined,pulse,48,48,1.0,1.0,1.0,0,0,0,0,0.0,0.0,3,0,2.0
direct_profile_combined,long_plateau,48,48,1.0,1.0,0.9791666666666666,0,0,35,0,0.0,1.3000000000000043,9,0,0.625
direct_profile_combined,no_recovery,48,0,0.2708333333333333,,,48,12,12,12,,,0,0,0.07692307692307693
direct_profile_combined,gap_at_endpoint,48,0,1.0,,,0,0,30,30,,,0,0,0.375
direct_profile_oracle_scale,all,384,288,0.9140625,1.0,0.9305555555555556,48,13,283,54,0.0,1.0,31,8,0.23646723646723647
direct_profile_oracle_scale,plateau,48,48,1.0,1.0,0.9375,0,0,39,1,0.0,1.0,6,0,0.25
direct_profile_oracle_scale,point,48,48,1.0,1.0,1.0,0,0,48,0,0.0,0.0,0,0,0.0
direct_profile_oracle_scale,gradual,48,48,1.0,1.0,0.7291666666666666,0,0,24,7,0.0,1.0,12,8,0.625
direct_profile_oracle_scale,curved_recession,48,48,1.0,1.0,1.0,0,0,45,0,0.0,0.0,2,0,0.0625
direct_profile_oracle_scale,pulse,48,48,1.0,1.0,0.9791666666666666,0,0,44,1,0.0,0.0,3,0,0.125
direct_profile_oracle_scale,long_plateau,48,48,1.0,1.0,0.9375,0,0,40,2,0.0,1.0,8,0,0.25
direct_profile_oracle_scale,no_recovery,48,0,0.3125,,,48,13,13,13,,,0,0,0.13333333333333333
direct_profile_oracle_scale,gap_at_endpoint,48,0,1.0,,,0,0,30,30,,,0,0,0.375
