catchment,hy_year,left_peak,right_peak,is_nine_daly_example,baseline_boundary,baseline_support,baseline_support_width_months,baseline_status,baseline_reason,candidate_boundary,candidate_support,candidate_support_width_months,candidate_status,candidate_reason,dates_agree
daly_river_nt,2005,2005-01,2006-04,True,,2006-01,0,unresolved,unstable_quality_sensitivity,,"2005-09,2005-10,2005-11",2,unresolved,unstable_quality_sensitivity,True
daly_river_nt,2006,2006-04,2007-03,False,2006-12,2006-12,0,provisional,essential_low_quality_recovery,2006-12,2006-12,0,provisional,essential_low_quality_recovery,True
daly_river_nt,2007,2007-03,2008-03,False,,2007-10,0,unresolved,unstable_quality_sensitivity,,"2007-10,2007-11",1,unresolved,unstable_quality_sensitivity,True
daly_river_nt,2008,2008-03,2009-02,True,2008-10,2008-10,0,confirmed,accepted,2008-11,"2008-10,2008-11",1,confirmed,accepted,False
daly_river_nt,2009,2009-02,2010-01,False,2009-11,2009-11,0,provisional,essential_low_quality_recovery,2009-11,2009-11,0,provisional,essential_low_quality_recovery,True
daly_river_nt,2010,2010-01,2011-03,False,,2010-11,0,unresolved,unstable_quality_sensitivity,,"2010-09,2010-10,2010-11,2010-12",3,unresolved,unstable_quality_sensitivity,True
daly_river_nt,2011,2011-03,2012-03,True,,2012-01,0,unresolved,unstable_quality_sensitivity,,"2011-07,2011-08,2011-09,2011-10",3,unresolved,unstable_quality_sensitivity,True
daly_river_nt,2012,2012-03,2013-04,True,2013-02,"2012-09,2012-10,2012-11,2012-12,2013-01,2013-02",5,provisional,low_quality_peak,,"2012-11,2012-12",1,unresolved,unstable_quality_sensitivity,False
daly_river_nt,2013,2013-04,2014-02,False,2013-11,2013-11,0,provisional,essential_low_quality_recovery,2013-11,2013-11,0,provisional,essential_low_quality_recovery,True
daly_river_nt,2014,2014-02,2015-01,True,2014-12,"2014-10,2014-11,2014-12",2,provisional,essential_low_quality_recovery,2014-11,"2014-10,2014-11",1,provisional,essential_low_quality_recovery,False
daly_river_nt,2015,2015-01,2016-01,False,2015-10,2015-10,0,confirmed,accepted,2015-11,"2015-10,2015-11",1,confirmed,accepted,False
daly_river_nt,2016,2016-01,2017-02,True,2016-12,"2016-11,2016-12",1,provisional,essential_low_quality_recovery,2016-11,"2016-10,2016-11,2016-12",2,provisional,essential_low_quality_recovery,False
daly_river_nt,2017,2017-02,2018-02,False,2017-12,2017-12,0,provisional,essential_low_quality_recovery,2017-12,2017-12,0,provisional,essential_low_quality_recovery,True
daly_river_nt,2018,2018-02,2019-04,True,,2018-11,0,unresolved,unstable_quality_sensitivity,2018-11,"2018-11,2018-12",1,provisional,interval_peak,False
daly_river_nt,2019,2019-04,2020-01,True,2019-11,2019-11,0,provisional,interval_peak,2019-12,"2019-11,2019-12",1,provisional,interval_peak,False
daly_river_nt,2020,2020-01,2021-02,True,,2021-01,0,unresolved,unstable_quality_sensitivity,2020-11,"2020-11,2020-12",1,provisional,low_quality_peak,False
daly_river_nt,2021,2021-02,2022-02,False,2021-11,2021-11,0,provisional,low_quality_peak,2021-11,2021-11,0,provisional,low_quality_peak,True
daly_river_nt,2022,2022-02,2023-01,False,2022-12,"2022-11,2022-12",1,provisional,interval_peak,2022-12,2022-12,0,provisional,interval_peak,True
daly_river_nt,2023,2023-01,2024-03,False,,2023-11,0,unresolved,unstable_quality_sensitivity,2023-11,"2023-10,2023-11,2023-12",2,provisional,interval_peak,False
daly_river_nt,2024,2024-03,2025-02,False,2024-12,"2024-09,2024-10,2024-11,2024-12",3,provisional,essential_low_quality_recovery,2024-11,"2024-09,2024-10,2024-11,2024-12",3,provisional,essential_low_quality_recovery,False
fitzroy_river_wa,2005,2005-03,2006-01,False,2005-11,"2005-10,2005-11",1,provisional,low_quality_peak,2005-10,"2005-10,2005-11",1,provisional,low_quality_peak,False
fitzroy_river_wa,2006,2006-01,2007-03,False,2006-10,2006-10,0,provisional,low_quality_peak,2006-10,"2006-10,2006-11,2006-12",2,provisional,low_quality_peak,True
fitzroy_river_wa,2007,2007-03,2008-02,False,2007-11,"2007-10,2007-11",1,provisional,low_quality_peak,2007-10,"2007-07,2007-08,2007-09,2007-10,2007-11",4,provisional,low_quality_peak,False
fitzroy_river_wa,2008,2008-02,2009-02,False,2008-11,2008-11,0,provisional,low_quality_peak,2008-11,"2008-08,2008-09,2008-10,2008-11,2008-12",4,provisional,low_quality_peak,True
fitzroy_river_wa,2009,2009-02,2010-01,False,2009-11,2009-11,0,confirmed,accepted,2009-11,"2009-09,2009-10,2009-11,2009-12",3,confirmed,accepted,True
fitzroy_river_wa,2010,2010-01,2011-03,False,,2010-09,0,unresolved,unstable_quality_sensitivity,,"2010-11,2010-12",1,unresolved,unstable_quality_sensitivity,True
fitzroy_river_wa,2011,2011-03,2012-03,False,2011-12,"2011-09,2011-10,2011-11,2011-12",3,provisional,low_quality_peak,2011-09,"2011-09,2011-10,2011-11,2011-12",3,provisional,low_quality_peak,False
fitzroy_river_wa,2012,2012-03,2013-03,False,,2012-12,0,unresolved,unstable_quality_sensitivity,,"2012-09,2012-10",1,unresolved,unstable_quality_sensitivity,True
fitzroy_river_wa,2013,2013-03,2014-02,False,2013-11,2013-11,0,provisional,essential_low_quality_recovery,2013-11,"2013-08,2013-09,2013-10,2013-11",3,provisional,essential_low_quality_recovery,True
fitzroy_river_wa,2014,2014-02,2015-01,False,2014-11,2014-11,0,provisional,essential_low_quality_recovery,2014-11,2014-11,0,provisional,essential_low_quality_recovery,True
fitzroy_river_wa,2015,2015-01,2016-02,False,2015-10,2015-10,0,provisional,interval_peak,2015-11,"2015-09,2015-10,2015-11,2015-12",3,provisional,interval_peak,False
fitzroy_river_wa,2016,2016-02,2017-02,False,2016-11,2016-11,0,provisional,interval_peak,2016-11,"2016-09,2016-10,2016-11",2,provisional,interval_peak,True
fitzroy_river_wa,2017,2017-02,2018-02,False,2017-11,2017-11,0,confirmed,accepted,2017-11,"2017-09,2017-10,2017-11",2,confirmed,accepted,True
fitzroy_river_wa,2018,2018-02,2019-02,False,2018-11,2018-11,0,confirmed,accepted,2018-12,"2018-11,2018-12",1,confirmed,accepted,False
fitzroy_river_wa,2019,2019-02,2020-03,False,2019-12,2019-12,0,confirmed,accepted,2019-12,"2019-11,2019-12",1,confirmed,accepted,True
fitzroy_river_wa,2020,2020-03,2021-03,False,2020-10,2020-10,0,confirmed,accepted,2020-10,"2020-09,2020-10,2020-11",2,provisional,recovery_within_noise,True
fitzroy_river_wa,2021,2021-03,2022-02,False,2021-10,2021-10,0,confirmed,accepted,2021-10,"2021-09,2021-10,2021-11,2021-12,2022-01",4,provisional,recovery_within_noise,True
fitzroy_river_wa,2022,2022-02,2023-01,False,2022-11,2022-11,0,confirmed,accepted,2022-11,"2022-07,2022-08,2022-09,2022-10,2022-11",4,confirmed,accepted,True
