catchment,hy_year,start_date,end_date,peak_date,mid_dry_date,trough_date,trough_boundary_date,peak_extent_pct,mid_dry_extent_pct,trough_extent_pct,peak_invalid_pct,mid_dry_invalid_pct,trough_invalid_pct,drawdown_pct,annual_condition,confidence,status,peak_quality,boundary_status,boundary_basis,regime,route,timing_status,peak_timing_status,peak_interval_start_date,peak_interval_end_date,trough_timing_status,trough_interval_start_date,trough_interval_end_date,detectability_floor_pp,amplitude_to_floor_ratio
fitzroy_river_wa,2005,2005-01-01,2005-11-01,2005-03-01,2005-07-01,,2005-11-01,0.1193405802163906,0.03739269214225432,0.028002823309308235,5.260772627816955,2.8011454062269956,2.823308487004239,0.09133775690708237,dry_low_refuge,medium,partial,normal,provisional,detected_per_year,seasonal,per_year_detection,interval,point,2005-03-01,2005-03-01,interval,2005-10-01,2005-11-01,0.01482534381733716,6.372093644902177
fitzroy_river_wa,2006,2005-12-01,2006-12-01,2006-01-01,2006-07-01,2006-12-01,2006-12-01,0.7029518145170444,0.055282291968354325,0.027187617526025158,58.41869930654516,2.788865898989397,3.0853194303411753,0.6757641969910192,typical_or_mixed,medium,partial,anomalous,provisional,detected_per_year,seasonal,per_year_detection,point,point,2006-01-01,2006-01-01,point,2006-12-01,2006-12-01,0.01482534381733716,46.12592913259983
fitzroy_river_wa,2007,2007-01-01,2007-11-01,2007-03-01,2007-07-01,,2007-11-01,0.2858799995626491,0.058767972913943034,0.03232922169595448,34.4890815293205,2.7755054915744295,6.264143204022444,0.2535507778666946,typical_or_mixed,medium,partial,anomalous,provisional,detected_per_year,seasonal,per_year_detection,broad,point,2007-03-01,2007-03-01,broad,2007-08-01,2007-11-01,0.01482534381733716,17.515644902288308
fitzroy_river_wa,2008,2007-12-01,2008-12-01,2008-02-01,2008-07-01,,2008-12-01,0.2751062888417283,0.056446664794548636,0.03911999912451731,29.08542648387929,10.112574457873498,4.01993716675445,0.23598628971721097,typical_or_mixed,medium,partial,anomalous,provisional,detected_per_year,seasonal,per_year_detection,interval,point,2008-02-01,2008-02-01,interval,2008-11-01,2008-12-01,0.01482534381733716,16.873680024607186
fitzroy_river_wa,2009,2009-01-01,2009-11-01,2009-02-01,2009-07-01,2009-11-01,2009-11-01,1.1675291954089002,0.0617420038422222,0.028368388170554433,7.186664667988462,2.861667487305577,2.7837371757162965,1.1391608072383457,recharged_then_contracting,high,complete,normal,confirmed,detected_per_year,seasonal,per_year_detection,point,point,2009-02-01,2009-02-01,point,2009-11-01,2009-11-01,0.01482534381733716,76.83874460342567
fitzroy_river_wa,2010,2009-12-01,2010-08-01,2010-01-01,2010-05-01,,2010-08-01,0.1615174357272246,0.06704675683999202,0.045320531909621084,9.554455167916084,9.335392423493136,11.717796360664629,0.11619690381760352,typical_or_mixed,low,partial,normal,provisional,detected_per_year,seasonal,per_year_detection,interval,point,2010-01-01,2010-01-01,interval,2010-06-01,2010-08-01,0.01482534381733716,7.837720679483986
fitzroy_river_wa,2011,2010-09-01,2011-12-01,2011-03-01,2011-07-01,,2011-12-01,3.728342680952061,0.12479338579530888,0.0906619060501945,63.35971149293581,10.58317322345218,16.86428045243298,3.6376807749018667,wet_persistent,medium,partial,anomalous,provisional,detected_per_year,seasonal,per_year_detection,broad,point,2011-03-01,2011-03-01,broad,2011-09-01,2011-12-01,0.01482534381733716,248.98625843464782
fitzroy_river_wa,2012,2012-01-01,2012-10-01,2012-03-01,2012-06-01,,2012-10-01,0.3019034221144441,0.07623050592949325,0.032718986816790536,22.074247070200634,9.27148697679087,6.300318193691426,0.26918443529765357,typical_or_mixed,low,partial,normal,provisional,detected_per_year,seasonal,per_year_detection,interval,point,2012-03-01,2012-03-01,interval,2012-09-01,2012-10-01,0.01482534381733716,18.157045031418562
fitzroy_river_wa,2013,2012-11-01,2013-11-01,2013-03-01,2013-07-01,2013-11-01,2013-11-01,0.1945817754905184,0.05134274177780298,0.02993453786963711,8.452022126396802,2.782953338002057,2.793755861778113,0.1646472376208813,typical_or_mixed,medium,partial,normal,provisional,detected_per_year,seasonal,per_year_detection,point,point,2013-03-01,2013-03-01,point,2013-11-01,2013-11-01,0.01482534381733716,11.796854920042106
fitzroy_river_wa,2014,2013-12-01,2014-11-01,2014-02-01,2014-07-01,2014-11-01,2014-11-01,0.8168978959305887,0.06862636698109431,0.028910333206577616,10.035773168729758,2.785110511215626,3.67462657721428,0.787987562724011,typical_or_mixed,medium,partial,normal,provisional,detected_per_year,seasonal,per_year_detection,point,point,2014-02-01,2014-02-01,point,2014-11-01,2014-11-01,0.01482534381733716,53.15138538659164
