low_spell_id,start_date,end_date,duration_months,baseline_extent_pct,min_extent_pct
1,2005-05-01,2005-11-01,7,0.073039,0.024872
2,2006-08-01,2006-12-01,5,0.073039,0.019119
3,2007-08-01,2007-11-01,4,0.073039,0.026205
4,2008-08-01,2008-12-01,5,0.073039,0.024948
5,2009-09-01,2009-12-01,4,0.073039,0.028368
6,2010-08-01,2010-09-01,2,0.073039,0.037036
7,2012-09-01,2013-01-01,5,0.073039,0.019689
8,2013-07-01,2013-11-01,5,0.073039,0.029935
9,2014-09-01,2014-11-01,3,0.073039,0.02891
10,2015-07-01,2015-12-01,6,0.073039,0.034037
11,2016-07-01,2016-11-01,5,0.073039,0.030794
12,2018-10-01,2018-12-01,3,0.073039,0.035106
13,2019-05-01,2019-12-01,8,0.073039,0.029464
14,2020-09-01,2020-11-01,3,0.073039,0.034602
15,2023-11-01,2024-01-01,3,0.073039,0.0414
16,2024-09-01,2024-11-01,3,0.073039,0.03726
17,2025-09-01,2025-11-01,3,0.073039,0.031899
