event_id,start_date,end_date,duration_months,baseline_extent_pct,peak_date,peak_extent_pct,mean_extent_pct,magnitude_pp_months
1,2006-01-01,2006-04-01,4,0.073039,2006-01-01,0.702952,0.430247,1.3431
2,2007-03-01,2007-04-01,2,0.073039,2007-03-01,0.28588,0.264037,0.339129
3,2008-02-01,2008-04-01,3,0.073039,2008-02-01,0.275106,0.204182,0.329129
4,2009-01-01,2009-05-01,5,0.073039,2009-02-01,1.167529,0.374449,1.399884
5,2010-01-01,2010-03-01,3,0.073039,2010-01-01,0.161517,0.128177,0.101114
6,2011-01-01,2011-08-01,8,0.073039,2011-03-01,3.728343,0.688411,4.751508
7,2012-01-01,2012-04-01,4,0.073039,2012-03-01,0.301903,0.206602,0.448518
8,2013-03-01,2013-03-01,1,0.073039,2013-03-01,0.194582,0.194582,0.100109
9,2014-02-01,2014-04-01,3,0.073039,2014-02-01,0.816898,0.371227,0.830264
10,2015-01-01,2015-04-01,4,0.073039,2015-01-01,0.318457,0.199314,0.419368
11,2017-01-01,2017-07-01,7,0.073039,2017-02-01,2.371211,0.720772,4.384094
12,2018-01-01,2018-06-01,6,0.073039,2018-02-01,0.734573,0.267309,1.037019
13,2020-01-01,2020-06-01,6,0.073039,2020-03-01,0.381114,0.186296,0.550944
14,2020-12-01,2021-07-01,8,0.073039,2021-03-01,1.019776,0.409475,2.520022
15,2022-02-01,2022-04-01,3,0.073039,2022-02-01,0.554731,0.327786,0.699941
16,2022-12-01,2023-08-01,9,0.073039,2023-01-01,1.360908,0.42295,2.956295
17,2024-02-01,2024-05-01,4,0.073039,2024-03-01,0.443091,0.229713,0.540963
18,2025-01-01,2025-06-01,6,0.073039,2025-02-01,0.266664,0.204494,0.660131
