catchment,hy_year,start_date,end_date,peak_date,mid_dry_date,trough_date,trough_boundary_date,peak_extent_pct,mid_dry_extent_pct,trough_extent_pct,peak_invalid_pct,mid_dry_invalid_pct,trough_invalid_pct,drawdown_pct,annual_condition,confidence,status,peak_quality,boundary_status,boundary_basis,regime,route,timing_status,peak_timing_status,peak_interval_start_date,peak_interval_end_date,trough_timing_status,trough_interval_start_date,trough_interval_end_date,detectability_floor_pp,amplitude_to_floor_ratio
kakadu_national_park,2005,2005-01-01,2005-10-01,2005-01-01,2005-06-01,2005-10-01,2005-10-01,13.019050244902086,5.102010990571402,4.096397221848703,12.751185916131288,0.0269402138400682,3.541290166652276,8.922653023053384,insufficient_baseline,low,partial,normal,provisional,detected_per_year,seasonal,per_year_detection,point,point,2005-01-01,2005-01-01,point,2005-10-01,2005-10-01,0.3872158106848358,23.04310097067742
kakadu_national_park,2006,2005-11-01,2006-12-01,2006-03-01,2006-07-01,2006-12-01,2006-12-01,11.019898370143496,6.112365788493075,4.353404885084816,52.60435892282882,0.0285426758249568,5.893534688023275,6.6664934850586794,insufficient_baseline,medium,partial,normal,provisional,detected_per_year,seasonal,per_year_detection,point,point,2006-03-01,2006-03-01,point,2006-12-01,2006-12-01,0.3872158106848358,17.2164805803467
kakadu_national_park,2007,2007-01-01,2007-10-01,2007-03-01,2007-06-01,,2007-10-01,16.752382834309632,6.623297949116579,5.572030269322734,14.706905932465087,2.406370031472353,7.7670766832732,11.180352564986897,insufficient_baseline,low,partial,normal,provisional,detected_per_year,seasonal,per_year_detection,interval,point,2007-03-01,2007-03-01,interval,2007-09-01,2007-10-01,0.3872158106848358,28.873698481508683
kakadu_national_park,2008,2007-11-01,2008-10-01,,2008-06-01,2008-10-01,2008-10-01,8.768806084427299,5.521187634639998,4.876822305607679,0.746916957403544,0.0421541764495399,0.1241436725940164,3.891983778819619,insufficient_baseline,medium,partial,normal,provisional,detected_per_year,seasonal,per_year_detection,interval,interval,2008-02-01,2008-03-01,point,2008-10-01,2008-10-01,0.3872158106848358,17.68810076314442
kakadu_national_park,2009,2008-11-01,2009-11-01,2009-02-01,2009-07-01,2009-11-01,2009-11-01,11.028270706874796,5.71114723431218,4.3967972886971305,16.406250883710655,0.028241035921919,0.8515482987697993,6.631473418177666,insufficient_baseline,medium,partial,normal,provisional,detected_per_year,seasonal,per_year_detection,point,point,2009-02-01,2009-02-01,point,2009-11-01,2009-11-01,0.3872158106848358,17.12603988574005
kakadu_national_park,2010,2009-12-01,2010-10-01,2010-01-01,2010-06-01,2010-10-01,2010-10-01,10.610653014440782,5.536139341356439,5.153079352886861,77.61452984330938,9.915883942539107,18.02492601338753,5.457573661553921,insufficient_baseline,low,partial,anomalous,provisional,detected_per_year,seasonal,per_year_detection,point,point,2010-01-01,2010-01-01,point,2010-04-01,2010-04-01,0.3872158106848358,18.485456459366763
kakadu_national_park,2011,2010-11-01,2011-11-01,2011-02-01,2011-07-01,2011-11-01,2011-11-01,14.262133345044548,6.427759760770007,5.033304032647695,32.60382351200093,0.0249607019763823,14.66175420947911,9.228829312396853,insufficient_baseline,low,partial,normal,provisional,detected_per_year,seasonal,per_year_detection,point,point,2011-02-01,2011-02-01,point,2011-11-01,2011-11-01,0.3872158106848358,23.83381323214722
kakadu_national_park,2012,2011-12-01,2012-10-01,2012-01-01,2012-06-01,2012-10-01,2012-10-01,12.605251219342318,6.042813030574578,4.604077828152052,19.88006797455215,0.7207496958150102,6.799660956748985,8.001173391190266,insufficient_baseline,low,partial,normal,provisional,detected_per_year,seasonal,per_year_detection,point,point,2012-01-01,2012-01-01,point,2012-10-01,2012-10-01,0.3872158106848358,20.663343723075947
kakadu_national_park,2013,2012-11-01,2013-11-01,,2013-08-01,2013-11-01,2013-11-01,8.867688567262716,5.4521266816450025,4.480678639710827,0.2196504068933767,0.0211713506944693,4.53962398323787,4.3870099275518895,insufficient_baseline,medium,partial,normal,provisional,detected_per_year,seasonal,per_year_detection,interval,interval,2013-03-01,2013-04-01,point,2013-11-01,2013-11-01,0.3872158106848358,11.329624995923997
kakadu_national_park,2014,2013-12-01,2014-11-01,2014-02-01,2014-07-01,,2014-11-01,13.64666383152392,5.898005479886027,4.790451686785935,24.15051604931661,0.0246590620733444,0.040042697128275,8.856212144737984,insufficient_baseline,low,partial,normal,provisional,detected_per_year,seasonal,per_year_detection,interval,point,2014-02-01,2014-02-01,interval,2014-10-01,2014-11-01,0.3872158106848358,22.871514799653333
kakadu_national_park,2015,2014-12-01,2015-10-01,2015-01-01,2015-06-01,2015-10-01,2015-10-01,14.290701413668222,5.141047138664296,4.318139470609523,32.87390434018345,0.0269590663340081,0.1369633684731252,9.972561943058698,insufficient_baseline,high,complete,normal,confirmed,detected_per_year,seasonal,per_year_detection,point,point,2015-01-01,2015-01-01,point,2015-10-01,2015-10-01,0.3872158106848358,28.14746951014381
kakadu_national_park,2016,2015-11-01,2016-05-01,2016-02-01,2016-04-01,2016-05-01,2016-05-01,8.789349635148561,5.193904955288096,4.757732192184033,0.1676929335951065,0.0240557822672687,0.0832903182263272,4.031617442964528,insufficient_baseline,low,partial,normal,provisional,detected_per_year,seasonal,per_year_detection,point,point,2016-02-01,2016-02-01,point,2016-05-01,2016-05-01,0.3872158106848358,11.069306180188656
kakadu_national_park,2017,2016-06-01,2017-10-01,,2017-06-01,,2017-10-01,12.076366718396928,5.24305310905518,5.12061351297627,11.405023586355169,0.1978569238988918,0.2273987819026615,6.955753205420658,insufficient_baseline,low,partial,normal,provisional,detected_per_year,seasonal,per_year_detection,broad,interval,2017-01-01,2017-03-01,broad,2017-06-01,2017-10-01,0.3872158106848358,18.527813177150843
kakadu_national_park,2018,2017-11-01,2018-12-01,2018-02-01,2018-07-01,2018-12-01,2018-12-01,20.90736599627558,6.084278200390072,4.552287384391316,19.64805033163422,0.0228303701611775,8.510713306731208,16.355078611884263,insufficient_baseline,high,complete,normal,confirmed,detected_per_year,seasonal,per_year_detection,point,point,2018-02-01,2018-02-01,point,2018-12-01,2018-12-01,0.3872158106848358,42.23763121386604
kakadu_national_park,2019,2019-01-01,2019-12-01,2019-01-01,2019-07-01,,2019-12-01,8.586992899118217,5.165606471970997,4.429772919214244,5.7014466272699815,0.0230754525823957,0.3290325767324782,4.157219979903973,insufficient_baseline,low,partial,normal,provisional,detected_per_year,seasonal,per_year_detection,interval,point,2019-01-01,2019-01-01,interval,2019-11-01,2019-12-01,0.3872158106848358,10.736183454264044
kakadu_national_park,2020,2020-01-01,2020-06-01,2020-02-01,2020-04-01,,2020-06-01,9.836263214205765,5.658957397912955,4.640567626129764,29.006428323383616,0.0233959449793734,0.0212844656581085,5.195695588076001,insufficient_baseline,low,partial,normal,provisional,detected_per_year,seasonal,per_year_detection,interval,point,2020-02-01,2020-02-01,interval,2020-05-01,2020-06-01,0.3872158106848358,13.418087393918173
kakadu_national_park,2021,2020-07-01,2021-10-01,2021-02-01,2021-06-01,,2021-10-01,15.846393431913636,5.08711748802349,5.031915508337737,73.16138224977368,0.0196065936974604,1.1433849049589222,10.8144779235759,insufficient_baseline,low,partial,anomalous,provisional,detected_per_year,seasonal,per_year_detection,broad,point,2021-02-01,2021-02-01,broad,2021-05-01,2021-10-01,0.3872158106848358,28.360555196292918
kakadu_national_park,2022,2021-11-01,2022-10-01,2022-01-01,2022-06-01,,2022-10-01,20.34317830871442,5.201916973155813,5.371610611885263,39.33420155352091,0.0341607190190368,0.0359328534493842,14.971567696829158,insufficient_baseline,low,partial,normal,provisional,detected_per_year,seasonal,per_year_detection,broad,point,2022-01-01,2022-01-01,broad,2022-05-01,2022-10-01,0.3872158106848358,39.26990704322163
kakadu_national_park,2023,2022-11-01,2023-10-01,2023-01-01,2023-06-01,,2023-10-01,17.009012877899455,5.1079997238755945,4.733148350485797,31.51680756392221,0.0448689355768806,0.0283541508855581,12.275864527413658,insufficient_baseline,low,partial,normal,provisional,detected_per_year,seasonal,per_year_detection,broad,point,2023-01-01,2023-01-01,broad,2023-06-01,2023-10-01,0.3872158106848358,37.96082312459289
kakadu_national_park,2024,2023-11-01,2024-11-01,2024-03-01,2024-07-01,,2024-11-01,14.104700975296256,6.250055399598483,5.166869606279529,17.159276049150716,0.0368189206645579,0.1511404439159043,8.937831369016727,insufficient_baseline,low,partial,normal,provisional,detected_per_year,seasonal,per_year_detection,interval,point,2024-03-01,2024-03-01,interval,2024-10-01,2024-11-01,0.3872158106848358,23.358323145099437
kakadu_national_park,2025,2024-12-01,2025-10-01,2025-03-01,2025-06-01,,2025-10-01,10.289888810636258,5.860002553410888,5.342094420801836,10.431914406661114,0.0306730076401616,0.1573052094342404,4.947794389834422,insufficient_baseline,low,partial,normal,provisional,detected_per_year,seasonal,per_year_detection,broad,point,2025-03-01,2025-03-01,broad,2025-07-01,2025-10-01,0.3872158106848358,12.777872838104614
