date,extent_pct,invalid_pct,max_invalid_pct,baseline_extent_pct,usable_month,quality_state,hy_year,confidence,phase,phase_status,is_hy_peak,is_hy_mid_dry,is_hy_trough,in_wet_event,wet_event_id,in_low_spell,low_spell_id,regime,route
2005-01-01,13.019050244902086,12.751185916131288,20.0,5.72079,True,usable,2005,medium,rising,interval_boundary,True,False,False,True,1,False,,seasonal,per_year_detection
2005-02-01,7.253177304178506,1.3409401889547763,20.0,5.72079,True,usable,2005,medium,receding,interval_boundary,False,False,False,True,1,False,,seasonal,per_year_detection
2005-03-01,6.163045757422754,5.235337567100739,20.0,5.72079,True,usable,2005,medium,receding,interval_boundary,False,False,False,False,,False,,seasonal,per_year_detection
2005-04-01,5.078661034837325,0.039477122310079,20.0,5.72079,True,usable,2005,medium,receding,interval_boundary,False,False,False,False,,False,,seasonal,per_year_detection
2005-05-01,5.154348155674178,0.0237918473521106,20.0,5.72079,True,usable,2005,medium,receding,interval_boundary,False,False,False,False,,False,,seasonal,per_year_detection
2005-06-01,5.102010990571402,0.0269402138400682,20.0,5.72079,True,usable,2005,medium,receding,interval_boundary,False,True,False,False,,False,,seasonal,per_year_detection
2005-07-01,5.586279493503216,0.0294098905461906,20.0,5.72079,True,usable,2005,medium,receding,interval_boundary,False,False,False,False,,False,,seasonal,per_year_detection
2005-08-01,5.482732738396083,0.034273833982676,20.0,5.72079,True,usable,2005,medium,receding,interval_boundary,False,False,False,False,,False,,seasonal,per_year_detection
2005-09-01,5.1890799923132,0.0328221919493064,20.0,5.72079,True,usable,2005,medium,receding,interval_boundary,False,False,False,False,,False,,seasonal,per_year_detection
2005-10-01,4.096397221848703,3.541290166652276,20.0,5.72079,True,usable,2005,medium,receding,interval_boundary,False,False,True,False,,False,,seasonal,per_year_detection
2005-11-01,5.47113213201153,2.359465026549968,20.0,5.72079,True,usable,2006,medium,rising,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2005-12-01,5.419304056219733,30.82959645482622,20.0,5.72079,True,low,2006,medium,rising,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2006-01-01,8.29970024510113,46.188723267634906,20.0,5.72079,True,low,2006,medium,rising,provisional,False,False,False,True,2,False,,seasonal,per_year_detection
2006-02-01,8.40893034960753,3.690960116040871,20.0,5.72079,True,usable,2006,medium,rising,provisional,False,False,False,True,2,False,,seasonal,per_year_detection
2006-03-01,11.019898370143496,52.60435892282882,20.0,5.72079,True,low,2006,medium,rising,provisional,True,False,False,True,2,False,,seasonal,per_year_detection
2006-04-01,9.355909649422903,0.1473133876461115,20.0,5.72079,True,usable,2006,medium,receding,provisional,False,False,False,True,2,False,,seasonal,per_year_detection
2006-05-01,6.574373845137608,0.0229434851248167,20.0,5.72079,True,usable,2006,medium,receding,provisional,False,False,False,True,2,False,,seasonal,per_year_detection
2006-06-01,6.24488612909838,0.0256205392642776,20.0,5.72079,True,usable,2006,medium,receding,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2006-07-01,6.112365788493075,0.0285426758249568,20.0,5.72079,True,usable,2006,medium,receding,provisional,False,True,False,False,,False,,seasonal,per_year_detection
2006-08-01,5.949948075121072,0.0279959535007007,20.0,5.72079,True,usable,2006,medium,receding,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2006-09-01,5.88066127266607,0.0289008732098143,20.0,5.72079,True,usable,2006,medium,receding,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2006-10-01,5.242118080744899,0.4170548709377117,20.0,5.72079,True,usable,2006,medium,receding,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2006-11-01,5.024098927160224,0.355049018369493,20.0,5.72079,True,usable,2006,medium,receding,provisional,False,False,False,False,,True,1,seasonal,per_year_detection
2006-12-01,4.353404885084816,5.893534688023275,20.0,5.72079,True,usable,2006,medium,receding,provisional,False,False,True,False,,True,1,seasonal,per_year_detection
2007-01-01,7.413015151502805,30.59610831738098,20.0,5.72079,True,low,2007,medium,rising,interval_boundary,False,False,False,False,,False,,seasonal,per_year_detection
2007-02-01,10.93096295496371,16.203303786447997,20.0,5.72079,True,usable,2007,medium,rising,interval_boundary,False,False,False,True,3,False,,seasonal,per_year_detection
2007-03-01,16.752382834309632,14.706905932465087,20.0,5.72079,True,usable,2007,medium,rising,interval_boundary,True,False,False,True,3,False,,seasonal,per_year_detection
2007-04-01,8.791488004763561,0.2039839844293482,20.0,5.72079,True,usable,2007,medium,receding,interval_boundary,False,False,False,True,3,False,,seasonal,per_year_detection
2007-05-01,6.935294762041617,0.3570473827271188,20.0,5.72079,True,usable,2007,medium,receding,interval_boundary,False,False,False,True,3,False,,seasonal,per_year_detection
2007-06-01,6.623297949116579,2.406370031472353,20.0,5.72079,True,usable,2007,medium,receding,interval_boundary,False,False,False,True,3,False,,seasonal,per_year_detection
2007-07-01,6.781731394032831,0.0211147932126497,20.0,5.72079,True,usable,2007,medium,receding,interval_boundary,False,True,False,True,3,False,,seasonal,per_year_detection
2007-08-01,6.200601884849925,0.018814788951986,20.0,5.72079,True,usable,2007,medium,receding,interval_boundary,False,False,False,False,,False,,seasonal,per_year_detection
2007-09-01,5.858657891442044,0.0173819994125562,20.0,5.72079,True,usable,2007,medium,receding,interval_boundary,False,False,False,False,,False,,seasonal,per_year_detection
2007-10-01,5.572030269322734,7.7670766832732,20.0,5.72079,True,usable,2007,medium,receding,interval_boundary,False,False,False,False,,False,,seasonal,per_year_detection
2007-11-01,5.663819058722025,11.592492786093194,20.0,5.72079,True,usable,2007,medium,receding,interval_boundary,False,False,True,False,,False,,seasonal,per_year_detection
2007-12-01,1.9196938079512689,77.6670340389319,20.0,5.72079,True,low,2008,medium,rising,interval_boundary,False,False,False,False,,False,,seasonal,per_year_detection
2008-01-01,7.647077022282689,26.26670849406656,20.0,5.72079,True,low,2008,medium,rising,interval_boundary,False,False,False,False,,False,,seasonal,per_year_detection
2008-02-01,8.699884247654536,13.695601600048866,20.0,5.72079,True,usable,2008,medium,rising,interval_boundary,False,False,False,True,4,False,,seasonal,per_year_detection
2008-03-01,8.768806084427299,0.746916957403544,20.0,5.72079,True,usable,2008,medium,rising,interval_boundary,True,False,False,True,4,False,,seasonal,per_year_detection
2008-04-01,5.919467544538328,0.0227926651732977,20.0,5.72079,True,usable,2008,medium,receding,interval_boundary,False,False,False,False,,False,,seasonal,per_year_detection
2008-05-01,5.909693503280324,0.0284295608613176,20.0,5.72079,True,usable,2008,medium,receding,interval_boundary,False,False,False,False,,False,,seasonal,per_year_detection
2008-06-01,5.521187634639998,0.0421541764495399,20.0,5.72079,True,usable,2008,medium,receding,interval_boundary,False,False,False,False,,False,,seasonal,per_year_detection
2008-07-01,5.577677598456919,0.0222647953429815,20.0,5.72079,True,usable,2008,medium,receding,interval_boundary,False,True,False,False,,False,,seasonal,per_year_detection
2008-08-01,5.79120481475608,0.0215106955853869,20.0,5.72079,True,usable,2008,medium,receding,interval_boundary,False,False,False,False,,False,,seasonal,per_year_detection
2008-09-01,5.585463610469716,0.0232451250278545,20.0,5.72079,True,usable,2008,medium,receding,interval_boundary,False,False,False,False,,False,,seasonal,per_year_detection
2008-10-01,4.876822305607679,0.1241436725940164,20.0,5.72079,True,usable,2008,medium,receding,interval_boundary,False,False,False,False,,True,2,seasonal,per_year_detection
2008-11-01,5.001157953883078,1.256537573585997,20.0,5.72079,True,usable,2008,medium,receding,interval_boundary,False,False,True,False,,True,2,seasonal,per_year_detection
2008-12-01,6.284238495512469,6.548998197324529,20.0,5.72079,True,usable,2009,medium,rising,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2009-01-01,7.497100414526232,6.55303263102766,20.0,5.72079,True,usable,2009,medium,rising,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2009-02-01,11.028270706874796,16.406250883710655,20.0,5.72079,True,usable,2009,medium,rising,provisional,True,False,False,True,5,False,,seasonal,per_year_detection
2009-03-01,6.436553066753941,0.5756986074416827,20.0,5.72079,True,usable,2009,medium,receding,provisional,False,False,False,True,5,False,,seasonal,per_year_detection
2009-04-01,5.841823178644851,0.0251869319036607,20.0,5.72079,True,usable,2009,medium,receding,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2009-05-01,5.115632595960315,0.0488091068103126,20.0,5.72079,True,usable,2009,medium,receding,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2009-06-01,5.2384507447820186,0.0259598841551952,20.0,5.72079,True,usable,2009,medium,receding,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2009-07-01,5.71114723431218,0.028241035921919,20.0,5.72079,True,usable,2009,medium,receding,provisional,False,True,False,False,,False,,seasonal,per_year_detection
2009-08-01,5.501185079221825,0.0248287345188032,20.0,5.72079,True,usable,2009,medium,receding,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2009-09-01,5.440034656584157,0.0817255612293183,20.0,5.72079,True,usable,2009,medium,receding,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2009-10-01,4.781483159085329,0.0256393917582175,20.0,5.72079,True,usable,2009,medium,receding,provisional,False,False,False,False,,True,3,seasonal,per_year_detection
2009-11-01,4.3967972886971305,0.8515482987697993,20.0,5.72079,True,usable,2009,medium,receding,provisional,False,False,True,False,,True,3,seasonal,per_year_detection
2009-12-01,5.311478338133911,9.656379363456852,20.0,5.72079,True,usable,2010,low,rising,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2010-01-01,10.610653014440782,77.61452984330938,20.0,5.72079,True,low,2010,low,rising,provisional,True,False,False,True,6,False,,seasonal,per_year_detection
2010-02-01,8.434279038985261,8.075786271538503,20.0,5.72079,True,usable,2010,low,receding,provisional,False,False,False,True,6,False,,seasonal,per_year_detection
2010-03-01,6.544449412625503,0.2851062658525908,20.0,5.72079,True,usable,2010,low,receding,provisional,False,False,False,True,6,False,,seasonal,per_year_detection
2010-04-01,3.4527920056478463,31.984971545930897,20.0,5.72079,True,low,2010,low,receding,provisional,False,False,False,False,,True,4,seasonal,per_year_detection
2010-05-01,4.192876775593844,9.21445805301246,20.0,5.72079,True,usable,2010,low,receding,provisional,False,False,False,False,,True,4,seasonal,per_year_detection
2010-06-01,5.536139341356439,9.915883942539107,20.0,5.72079,True,usable,2010,low,receding,provisional,False,True,False,False,,False,,seasonal,per_year_detection
2010-07-01,5.536119867826352,0.7265374114545491,20.0,5.72079,True,usable,2010,low,receding,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2010-08-01,6.226736310389939,2.440040585648953,20.0,5.72079,True,usable,2010,low,receding,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2010-09-01,5.247483042804016,7.497995037269495,20.0,5.72079,True,usable,2010,low,receding,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2010-10-01,5.153079352886861,18.02492601338753,20.0,5.72079,True,usable,2010,low,receding,provisional,False,False,True,False,,False,,seasonal,per_year_detection
2010-11-01,6.721980028282882,0.1479543724400669,20.0,5.72079,True,usable,2011,low,rising,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2010-12-01,8.254898006128087,20.17337507526858,20.0,5.72079,True,low,2011,low,rising,provisional,False,False,False,True,7,False,,seasonal,per_year_detection
2011-01-01,10.456905287328718,69.22816758660552,20.0,5.72079,True,low,2011,low,rising,provisional,False,False,False,True,7,False,,seasonal,per_year_detection
2011-02-01,14.262133345044548,32.60382351200093,20.0,5.72079,True,low,2011,low,rising,provisional,True,False,False,True,7,False,,seasonal,per_year_detection
2011-03-01,,100.0,20.0,5.72079,False,missing,2011,low,receding,unusable,False,False,False,False,,False,,seasonal,per_year_detection
2011-04-01,7.114692433764626,35.60700694412762,20.0,5.72079,True,low,2011,low,receding,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2011-05-01,6.6411768169664525,1.0700487035328443,20.0,5.72079,True,usable,2011,low,receding,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2011-06-01,6.799911748233551,0.0250361119521418,20.0,5.72079,True,usable,2011,low,receding,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2011-07-01,6.427759760770007,0.0249607019763823,20.0,5.72079,True,usable,2011,low,receding,provisional,False,True,False,False,,False,,seasonal,per_year_detection
2011-08-01,6.298226399895005,0.0231131575702755,20.0,5.72079,True,usable,2011,low,receding,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2011-09-01,6.138131771114412,0.0209639732611307,20.0,5.72079,True,usable,2011,low,receding,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2011-10-01,6.093147775441541,20.397870573104505,20.0,5.72079,True,low,2011,low,receding,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2011-11-01,5.033304032647695,14.66175420947911,20.0,5.72079,True,usable,2011,low,receding,provisional,False,False,True,False,,False,,seasonal,per_year_detection
2011-12-01,10.53209885438432,79.06769892868817,20.0,5.72079,True,low,2012,medium,rising,interval_boundary,False,False,False,True,8,False,,seasonal,per_year_detection
2012-01-01,12.605251219342318,19.88006797455215,20.0,5.72079,True,usable,2012,medium,rising,interval_boundary,True,False,False,True,8,False,,seasonal,per_year_detection
2012-02-01,10.105052493207072,14.409375873106123,20.0,5.72079,True,usable,2012,medium,receding,interval_boundary,False,False,False,True,8,False,,seasonal,per_year_detection
2012-03-01,5.041129267256562,67.78105015178143,20.0,5.72079,True,low,2012,medium,receding,interval_boundary,False,False,False,False,,False,,seasonal,per_year_detection
