date,extent_pct,invalid_pct,max_invalid_pct,baseline_extent_pct,usable_month,quality_state,hy_year,confidence,phase,phase_status,is_hy_peak,is_hy_mid_dry,is_hy_trough,in_wet_event,wet_event_id,in_low_spell,low_spell_id,regime,route
2015-01-01,3.7312739381877353,11.28296598292776,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,True,1,False,,seasonal,event_characterisation
2015-02-01,0.6270283234524782,0.0074943979375416,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,True,1,False,,seasonal,event_characterisation
2015-03-01,0.7937284426864702,3.483695937286878,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,True,1,False,,seasonal,event_characterisation
2015-04-01,0.4009502896584803,0.0,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,True,1,False,,seasonal,event_characterisation
2015-05-01,0.1437425524420495,0.0,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,True,1,False,,seasonal,event_characterisation
2015-06-01,0.0876844558692377,0.0,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,True,1,False,,seasonal,event_characterisation
2015-07-01,0.0503623541402801,0.0,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2015-08-01,0.0376218776464592,0.0,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2015-09-01,0.0194854346376083,0.0,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,False,,True,1,seasonal,event_characterisation
2015-10-01,0.0118411487413158,0.0,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,False,,True,1,seasonal,event_characterisation
2015-11-01,0.0074945776730535,0.0023982073400133,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,False,,True,1,seasonal,event_characterisation
2015-12-01,5.508168934213868,3.789467373138579,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,True,2,False,,seasonal,event_characterisation
2016-01-01,1.6118183965777448,0.3858116058246461,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,True,2,False,,seasonal,event_characterisation
2016-02-01,1.4768460575719649,0.0,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,True,2,False,,seasonal,event_characterisation
2016-03-01,0.5898444819186809,0.0059955183500333,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,True,2,False,,seasonal,event_characterisation
2016-04-01,0.1953040102523363,0.0,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,True,2,False,,seasonal,event_characterisation
2016-05-01,0.1016418608555906,0.0175368911738475,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,True,2,False,,seasonal,event_characterisation
2016-06-01,0.0757080732745995,0.2173375401887089,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2016-07-01,0.0596554075828318,0.0,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2016-08-01,0.0395704211102201,0.0,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2016-09-01,0.0206503503776602,0.5602811898106166,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,False,,True,2,seasonal,event_characterisation
2016-10-01,0.0157383536183224,0.0007494397937541,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,False,,True,2,seasonal,event_characterisation
2016-11-01,0.0089954887623856,0.0245816252351367,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,False,,True,2,seasonal,event_characterisation
2016-12-01,0.007672484214992,0.3675252748570443,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,False,,True,2,seasonal,event_characterisation
2017-01-01,4.103864895534343,77.54528489953759,20.0,0.051936,True,low,,,unspecified,disabled,False,False,False,True,3,False,,seasonal,event_characterisation
2017-02-01,7.600104019884731,0.8623054266935466,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,True,3,False,,seasonal,event_characterisation
2017-03-01,0.5922073250245442,0.0,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,True,3,False,,seasonal,event_characterisation
2017-04-01,0.2542018287534512,0.0557583206553101,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,True,3,False,,seasonal,event_characterisation
2017-05-01,0.1651765305434188,0.0,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,True,3,False,,seasonal,event_characterisation
2017-06-01,0.1080692182593511,0.0,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,True,3,False,,seasonal,event_characterisation
2017-07-01,0.0723958840766527,0.0,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2017-08-01,0.0449663876252501,0.0,20.0,0.051936,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
