low_spell_id,start_date,end_date,duration_months,baseline_extent_pct,min_extent_pct
1,2006-11-01,2006-12-01,2,5.72079,4.353405
2,2008-10-01,2008-11-01,2,5.72079,4.876822
3,2009-10-01,2009-11-01,2,5.72079,4.396797
4,2010-04-01,2010-05-01,2,5.72079,3.452792
5,2012-10-01,2012-11-01,2,5.72079,4.604078
6,2013-10-01,2013-11-01,2,5.72079,4.480679
7,2014-10-01,2014-12-01,3,5.72079,3.391556
8,2015-10-01,2015-11-01,2,5.72079,4.318139
9,2016-05-01,2016-07-01,3,5.72079,4.757732
10,2019-05-01,2019-06-01,2,5.72079,4.694321
11,2019-10-01,2019-12-01,3,5.72079,4.429773
12,2020-05-01,2020-08-01,4,5.72079,4.640568
