event_id,start_date,end_date,duration_months,baseline_extent_pct,peak_date,peak_extent_pct,mean_extent_pct,magnitude_pp_months
1,2005-01-01,2005-02-01,2,5.72079,2005-01-01,13.01905,10.136114,7.438678
2,2006-01-01,2006-05-01,5,5.72079,2006-03-01,11.019898,8.731762,11.574938
3,2007-02-01,2007-07-01,6,5.72079,2007-03-01,16.752383,9.469193,18.314508
4,2008-02-01,2008-03-01,2,5.72079,2008-03-01,8.768806,8.734345,4.635141
5,2009-02-01,2009-03-01,2,5.72079,2009-02-01,11.028271,8.732412,4.631274
6,2010-01-01,2010-03-01,3,5.72079,2010-01-01,10.610653,8.529794,6.339057
7,2010-12-01,2011-02-01,3,5.72079,2011-02-01,14.262133,10.991312,13.723612
8,2011-12-01,2012-02-01,3,5.72079,2012-01-01,12.605251,11.080801,13.992078
9,2013-03-01,2013-04-01,2,5.72079,2013-04-01,8.867689,8.784992,4.736434
10,2014-01-01,2014-03-01,3,5.72079,2014-02-01,13.646664,9.942596,10.577464
11,2015-01-01,2015-02-01,2,5.72079,2015-01-01,14.290701,10.747841,8.662132
12,2016-02-01,2016-02-01,1,5.72079,2016-02-01,8.78935,8.78935,2.372575
13,2017-01-01,2017-04-01,4,5.72079,2017-03-01,12.076367,10.59868,16.727621
14,2018-01-01,2018-04-01,4,5.72079,2018-02-01,20.907366,11.685197,21.073689
15,2019-01-01,2019-02-01,2,5.72079,2019-01-01,8.586993,7.732103,2.630657
16,2020-02-01,2020-03-01,2,5.72079,2020-02-01,9.836263,8.175563,3.517576
17,2021-01-01,2021-04-01,4,5.72079,2021-02-01,15.846393,10.308954,15.568715
18,2021-12-01,2022-04-01,5,5.72079,2022-01-01,20.343178,10.37367,19.784477
19,2023-01-01,2023-04-01,4,5.72079,2023-01-01,17.009013,11.501192,20.337668
20,2024-01-01,2024-04-01,4,5.72079,2024-03-01,14.104701,10.879645,17.851481
21,2024-12-01,2025-04-01,5,5.72079,2025-03-01,10.289889,8.913429,12.483269
