event_id,start_date,end_date,duration_months,baseline_extent_pct,peak_date,peak_extent_pct,mean_extent_pct,magnitude_pp_months
1,2015-01-01,2015-06-01,6,0.051936,2015-01-01,3.731274,0.964068,5.287782
2,2015-12-01,2016-05-01,6,0.051936,2015-12-01,5.508169,1.580604,8.986997
3,2017-01-01,2017-06-01,6,0.051936,2017-02-01,7.600104,2.137271,12.326997
4,2018-02-01,2018-04-01,3,0.051936,2018-02-01,0.607336,0.368093,0.855965
5,2020-02-01,2020-04-01,3,0.051936,2020-03-01,0.258257,0.164062,0.243872
6,2021-01-01,2021-01-01,1,0.051936,2021-01-01,0.461339,0.461339,0.378568
7,2021-03-01,2021-08-01,6,0.051936,2021-03-01,2.057981,0.546765,2.783963
8,2023-01-01,2023-07-01,7,0.051936,2023-03-01,2.230615,0.639187,3.894911
9,2024-01-01,2024-08-01,8,0.051936,2024-03-01,15.494531,3.227421,25.157203
10,2024-12-01,2024-12-01,1,0.051936,2024-12-01,0.266208,0.266208,0.183437
11,2025-02-01,2025-05-01,4,0.051936,2025-02-01,0.214791,0.159407,0.306542
