candidate,family,n,resolvable_n,all_case_applied_n,resolvable_applied_n,resolvable_coverage,all_case_coverage,truth_support_coverage,unresolvable_n,false_precise_unresolvable_n,point_predictions_n,wrong_point_predictions_n,median_error_months,p90_error_months,early_n,late_n,mean_support_width_months
existing,all,384,288,352,272,0.9444444444444444,0.9166666666666666,0.6180555555555556,96,40,276,130,0.0,4.0,89,5,0.4602272727272727
existing,plateau,48,48,48,48,1.0,1.0,0.4583333333333333,0,0,32,26,1.0,3.0,26,0,1.0
existing,point,48,48,48,48,1.0,1.0,1.0,0,0,48,0,0.0,0.0,0,0,0.0
existing,gradual,48,48,48,48,1.0,1.0,0.6666666666666666,0,0,48,16,0.0,2.0,11,5,0.0
existing,curved_recession,48,48,48,48,1.0,1.0,0.9583333333333334,0,0,48,2,0.0,0.0,2,0,0.0
existing,pulse,48,48,48,48,1.0,1.0,0.5416666666666666,0,0,32,22,0.0,4.0,22,0,1.3333333333333333
existing,long_plateau,48,48,32,32,0.6666666666666666,0.6666666666666666,0.08333333333333333,0,0,28,24,6.0,8.0,28,0,0.125
existing,no_recovery,48,0,32,0,,0.6666666666666666,,48,18,18,18,,,0,0,0.625
existing,gap_at_endpoint,48,0,48,0,,1.0,,48,22,22,22,,,0,0,0.5416666666666666
existing_oracle_scale,all,384,288,334,260,0.9027777777777778,0.8697916666666666,0.7395833333333334,96,26,170,55,0.0,3.0,77,5,1.1766467065868262
existing_oracle_scale,plateau,48,48,48,48,1.0,1.0,0.7916666666666666,0,0,10,8,1.0,3.0,26,0,2.125
existing_oracle_scale,point,48,48,48,48,1.0,1.0,1.0,0,0,48,0,0.0,0.0,0,0,0.0
existing_oracle_scale,gradual,48,48,48,48,1.0,1.0,0.8333333333333334,0,0,34,6,0.0,2.0,11,5,0.6041666666666666
existing_oracle_scale,curved_recession,48,48,48,48,1.0,1.0,0.9791666666666666,0,0,38,1,0.0,0.0,2,0,0.25
existing_oracle_scale,pulse,48,48,48,48,1.0,1.0,0.75,0,0,10,10,0.0,4.0,22,0,2.4166666666666665
existing_oracle_scale,long_plateau,48,48,20,20,0.4166666666666667,0.4166666666666667,0.08333333333333333,0,0,4,4,5.0,8.0,16,0,2.2
existing_oracle_scale,no_recovery,48,0,26,0,,0.5416666666666666,,48,4,4,4,,,0,0,2.4615384615384617
existing_oracle_scale,gap_at_endpoint,48,0,48,0,,1.0,,48,22,22,22,,,0,0,0.5416666666666666
project_residual_z1,all,384,288,360,288,1.0,0.9375,0.6736111111111112,96,44,332,138,0.0,4.0,89,5,0.07777777777777778
project_residual_z1,plateau,48,48,48,48,1.0,1.0,0.4583333333333333,0,0,48,26,1.0,3.0,26,0,0.0
project_residual_z1,point,48,48,48,48,1.0,1.0,1.0,0,0,48,0,0.0,0.0,0,0,0.0
project_residual_z1,gradual,48,48,48,48,1.0,1.0,0.6666666666666666,0,0,48,16,0.0,2.0,11,5,0.0
project_residual_z1,curved_recession,48,48,48,48,1.0,1.0,0.9583333333333334,0,0,48,2,0.0,0.0,2,0,0.0
project_residual_z1,pulse,48,48,48,48,1.0,1.0,0.5416666666666666,0,0,48,22,0.0,4.0,22,0,0.0
project_residual_z1,long_plateau,48,48,48,48,1.0,1.0,0.4166666666666667,0,0,48,28,2.0,8.0,28,0,0.0
project_residual_z1,no_recovery,48,0,24,0,,0.5,,48,22,22,22,,,0,0,0.08333333333333333
project_residual_z1,gap_at_endpoint,48,0,48,0,,1.0,,48,22,22,22,,,0,0,0.5416666666666666
project_second_difference_z05,all,384,288,297,239,0.8298611111111112,0.7734375,0.6805555555555556,96,30,235,47,0.0,2.0,8,42,0.2255892255892256
project_second_difference_z05,plateau,48,48,45,45,0.9375,0.9375,0.9166666666666666,0,0,41,1,0.0,0.6000000000000014,5,0,0.08888888888888889
project_second_difference_z05,point,48,48,48,48,1.0,1.0,1.0,0,0,48,0,0.0,0.0,0,0,0.0
project_second_difference_z05,gradual,48,48,44,44,0.9166666666666666,0.9166666666666666,0.041666666666666664,0,0,16,16,2.0,3.0,1,42,0.7272727272727273
project_second_difference_z05,curved_recession,48,48,37,37,0.7708333333333334,0.7708333333333334,0.7708333333333334,0,0,36,0,0.0,0.0,1,0,0.02702702702702703
project_second_difference_z05,pulse,48,48,48,48,1.0,1.0,1.0,0,0,48,0,0.0,0.0,0,0,0.0
project_second_difference_z05,long_plateau,48,48,17,17,0.3541666666666667,0.3541666666666667,0.3541666666666667,0,0,16,0,0.0,0.0,1,0,0.11764705882352941
project_second_difference_z05,no_recovery,48,0,10,0,,0.20833333333333334,,48,8,8,8,,,0,0,0.2
project_second_difference_z05,gap_at_endpoint,48,0,48,0,,1.0,,48,22,22,22,,,0,0,0.5416666666666666
project_second_difference_z1,all,384,288,348,280,0.9722222222222222,0.90625,0.78125,96,38,307,86,0.0,3.0,11,48,0.12931034482758622
project_second_difference_z1,plateau,48,48,48,48,1.0,1.0,0.9791666666666666,0,0,48,1,0.0,0.0,1,0,0.0
project_second_difference_z1,point,48,48,48,48,1.0,1.0,1.0,0,0,48,0,0.0,0.0,0,0,0.0
project_second_difference_z1,gradual,48,48,48,48,1.0,1.0,0.0,0,0,47,47,3.0,3.0,0,48,0.020833333333333332
project_second_difference_z1,curved_recession,48,48,48,48,1.0,1.0,1.0,0,0,48,0,0.0,0.0,0,0,0.0
project_second_difference_z1,pulse,48,48,48,48,1.0,1.0,1.0,0,0,48,0,0.0,0.0,0,0,0.0
project_second_difference_z1,long_plateau,48,48,40,40,0.8333333333333334,0.8333333333333334,0.7083333333333334,0,0,30,0,0.0,7.0,10,0,0.3
project_second_difference_z1,no_recovery,48,0,20,0,,0.4166666666666667,,48,16,16,16,,,0,0,0.3
project_second_difference_z1,gap_at_endpoint,48,0,48,0,,1.0,,48,22,22,22,,,0,0,0.5416666666666666
project_second_difference_z2,all,384,288,344,286,0.9930555555555556,0.8958333333333334,0.6493055555555556,96,32,318,131,0.0,3.0,4,95,0.0755813953488372
project_second_difference_z2,plateau,48,48,48,48,1.0,1.0,1.0,0,0,48,0,0.0,0.0,0,0,0.0
project_second_difference_z2,point,48,48,48,48,1.0,1.0,1.0,0,0,48,0,0.0,0.0,0,0,0.0
project_second_difference_z2,gradual,48,48,48,48,1.0,1.0,0.0,0,0,48,48,3.0,4.0,0,48,0.0
project_second_difference_z2,curved_recession,48,48,48,48,1.0,1.0,1.0,0,0,48,0,0.0,0.0,0,0,0.0
project_second_difference_z2,pulse,48,48,48,48,1.0,1.0,0.020833333333333332,0,0,48,47,1.0,1.0,0,47,0.0
project_second_difference_z2,long_plateau,48,48,46,46,0.9583333333333334,0.9583333333333334,0.875,0,0,46,4,0.0,0.0,4,0,0.0
project_second_difference_z2,no_recovery,48,0,10,0,,0.20833333333333334,,48,10,10,10,,,0,0,0.0
