catchment,hy_year,scenario,injected_floor_pp,published_boundary,published_refinement_reason,status,reason,boundary,boundary_candidates,low_state_start,low_state_end,recovery_start,pulse_months,local_scale_pp,best_loss,effective_support,policy_version,loss_basis
daly_river_nt,2005,existing,0.0,2005-09-01,unstable_quality_sensitivity,unresolved,unstable_quality_sensitivity,,"(Timestamp('2006-01-01 00:00:00'),)",2006-01-01,2006-01-01,,"(Timestamp('2005-12-01 00:00:00'),)",0.00062574057352811,160.98599683045293,14.188425711756944,trough_refinement_candidate_0_2,standardized_huber
daly_river_nt,2005,record_floor_sensitivity_only,0.0222601039762857,2005-09-01,unstable_quality_sensitivity,unresolved,unstable_quality_sensitivity,,"(Timestamp('2006-01-01 00:00:00'),)",2006-01-01,2006-01-01,,"(Timestamp('2005-12-01 00:00:00'),)",0.0222601039762857,2.9239986369898423,14.188425711756944,trough_refinement_candidate_0_2,standardized_huber
daly_river_nt,2008,existing,0.0,2008-10-01,accepted,confirmed,accepted,2008-10-01,"(Timestamp('2008-10-01 00:00:00'),)",2008-10-01,2008-10-01,2008-11-01,(),1.681696882887145e-06,0.0,11.427547420302634,trough_refinement_candidate_0_2,standardized_huber
daly_river_nt,2008,record_floor_sensitivity_only,0.0222601039762857,2008-10-01,accepted,confirmed,accepted,2008-10-01,"(Timestamp('2008-10-01 00:00:00'), Timestamp('2008-11-01 00:00:00'))",2008-10-01,2008-10-01,2008-11-01,(),0.0222601039762857,0.0,11.427547420302634,trough_refinement_candidate_0_2,standardized_huber
daly_river_nt,2011,existing,0.0,2011-09-01,unstable_quality_sensitivity,unresolved,unstable_quality_sensitivity,,"(Timestamp('2012-01-01 00:00:00'),)",2012-01-01,2012-01-01,,"(Timestamp('2011-10-01 00:00:00'), Timestamp('2011-12-01 00:00:00'))",1.9334524984556547e-06,78622.22106115925,9.178854641349517,trough_refinement_candidate_0_2,standardized_huber
daly_river_nt,2011,record_floor_sensitivity_only,0.0222601039762857,2011-09-01,unstable_quality_sensitivity,unresolved,unstable_quality_sensitivity,,"(Timestamp('2011-12-01 00:00:00'), Timestamp('2012-01-01 00:00:00'))",2012-01-01,2012-01-01,,"(Timestamp('2011-12-01 00:00:00'),)",0.0222601039762857,6.64900299636191,9.178854641349517,trough_refinement_candidate_0_2,standardized_huber
daly_river_nt,2012,existing,0.0,2013-02-01,low_quality_peak,provisional,low_quality_peak,2013-02-01,"(Timestamp('2012-09-01 00:00:00'), Timestamp('2012-10-01 00:00:00'), Timestamp('2012-11-01 00:00:00'), Timestamp('2012-12-01 00:00:00'), Timestamp('2013-01-01 00:00:00'), Timestamp('2013-02-01 00:00:00'))",2012-11-01,2013-02-01,,"(Timestamp('2012-10-01 00:00:00'),)",0.03893803944165536,6.197784044800484,8.658869661205998,trough_refinement_candidate_0_2,standardized_huber
daly_river_nt,2012,record_floor_sensitivity_only,0.0222601039762857,2013-02-01,low_quality_peak,provisional,low_quality_peak,2013-02-01,"(Timestamp('2012-09-01 00:00:00'), Timestamp('2012-10-01 00:00:00'), Timestamp('2012-11-01 00:00:00'), Timestamp('2012-12-01 00:00:00'), Timestamp('2013-01-01 00:00:00'), Timestamp('2013-02-01 00:00:00'))",2012-11-01,2013-02-01,,(),0.03893803944165536,6.197784044800484,8.658869661205998,trough_refinement_candidate_0_2,standardized_huber
daly_river_nt,2014,existing,0.0,2014-12-01,essential_low_quality_recovery,provisional,essential_low_quality_recovery,2014-12-01,"(Timestamp('2014-10-01 00:00:00'), Timestamp('2014-11-01 00:00:00'), Timestamp('2014-12-01 00:00:00'))",2014-12-01,2014-12-01,,"(Timestamp('2014-06-01 00:00:00'),)",0.004451815337515917,8.966543925073266,9.54770168228973,trough_refinement_candidate_0_2,standardized_huber
daly_river_nt,2014,record_floor_sensitivity_only,0.0222601039762857,2014-12-01,essential_low_quality_recovery,provisional,essential_low_quality_recovery,2014-12-01,"(Timestamp('2014-09-01 00:00:00'), Timestamp('2014-10-01 00:00:00'), Timestamp('2014-11-01 00:00:00'), Timestamp('2014-12-01 00:00:00'))",2014-12-01,2014-12-01,,(),0.0222601039762857,0.7511950487259093,9.54770168228973,trough_refinement_candidate_0_2,standardized_huber
