catchment,hy_year,start_date,end_date,peak_date,mid_dry_date,trough_date,peak_extent_pct,mid_dry_extent_pct,trough_extent_pct,peak_invalid_pct,mid_dry_invalid_pct,trough_invalid_pct,drawdown_pct,confidence,status,boundary_status,boundary_basis,regime,route
fitzroy_river_wa,2005,,,,,2005-10-01,,,0.02487210109444671,,,2.799176094944939,,low,partial,confirmed,detected_per_year,seasonal,per_year_detection
fitzroy_river_wa,2006,2005-11-01,2006-10-01,2006-01-01,2006-06-01,2006-10-01,0.7029518145170444,0.06845899908929214,0.01911905623212349,58.41869930654516,,2.801037131123612,0.6838327582849208,medium,partial,provisional,detected_per_year,seasonal,per_year_detection
fitzroy_river_wa,2007,2006-11-01,2007-10-01,2007-03-01,2007-06-01,2007-10-01,0.2858799995626491,0.06687114268551016,0.02620454170383599,34.4890815293205,,4.065263716229944,0.2596754578588131,medium,partial,provisional,detected_per_year,seasonal,per_year_detection
fitzroy_river_wa,2008,2007-11-01,2008-11-01,2008-02-01,2008-07-01,2008-11-01,0.2751062888417283,0.056446664794548636,0.024948181013192648,29.08542648387929,,2.8062583972201174,0.25015810782853565,medium,partial,provisional,detected_per_year,seasonal,per_year_detection
fitzroy_river_wa,2009,2008-12-01,2009-11-01,2009-02-01,2009-07-01,2009-11-01,1.1675291954089002,0.0617420038422222,0.028368388170554433,7.186664667988462,,2.7837371757162965,1.1391608072383457,high,complete,confirmed,detected_per_year,seasonal,per_year_detection
fitzroy_river_wa,2010,2009-12-01,2010-09-01,2010-01-01,2010-05-01,2010-09-01,0.1615174357272246,0.06704675683999202,0.03703579386604272,9.554455167916084,,34.023266302283616,0.12448164186118188,medium,partial,provisional,detected_per_year,seasonal,per_year_detection
fitzroy_river_wa,2011,2010-10-01,2011-09-01,2011-03-01,2011-06-01,2011-09-01,3.728342680952061,0.13472885120141517,0.05214257361924784,63.35971149293581,,3.965381321500783,3.676200107332813,medium,partial,provisional,detected_per_year,seasonal,per_year_detection
fitzroy_river_wa,2012,2011-10-01,2012-12-01,2012-03-01,2012-07-01,2012-12-01,0.3019034221144441,0.0691283886375457,0.01968934533764871,22.074247070200634,,21.051625735870456,0.2822140767767954,medium,partial,provisional,detected_per_year,seasonal,per_year_detection
fitzroy_river_wa,2013,2013-01-01,2013-11-01,2013-03-01,2013-07-01,2013-11-01,0.1945817754905184,0.05134274177780298,0.02993453786963711,8.452022126396802,,2.793755861778113,0.1646472376208813,high,complete,confirmed,detected_per_year,seasonal,per_year_detection
fitzroy_river_wa,2014,2013-12-01,2014-11-01,2014-02-01,2014-07-01,2014-11-01,0.8168978959305887,0.06862636698109431,0.028910333206577616,10.035773168729758,,3.67462657721428,0.787987562724011,high,complete,confirmed,detected_per_year,seasonal,per_year_detection
fitzroy_river_wa,2015,2014-12-01,2015-10-01,2015-01-01,2015-06-01,2015-10-01,0.3184574854410838,0.06995579420974814,0.034036782056618774,30.107327835043378,,2.782783984635226,0.28442070338446507,medium,partial,provisional,detected_per_year,seasonal,per_year_detection
fitzroy_river_wa,2016,2015-11-01,2016-11-01,2016-02-01,2016-07-01,2016-11-01,0.13229574664402893,0.04929307733604145,0.03079362470865367,4.870893414524978,,2.7918864967453336,0.10150212193537526,high,complete,confirmed,detected_per_year,seasonal,per_year_detection
fitzroy_river_wa,2017,2016-12-01,2017-11-01,2017-02-01,2017-07-01,2017-11-01,2.371210516188255,0.11354848664995568,0.04394578372342267,15.264252978319567,,2.87019993562351,2.3272647324648323,high,complete,confirmed,detected_per_year,seasonal,per_year_detection
fitzroy_river_wa,2018,2017-12-01,2018-11-01,2018-02-01,2018-07-01,2018-11-01,0.7345733078681227,0.07886425497133179,0.03510586751664133,7.551701685765623,,2.8989983368388863,0.6994674403514813,high,complete,confirmed,detected_per_year,seasonal,per_year_detection
fitzroy_river_wa,2019,2018-12-01,2019-12-01,2019-02-01,2019-07-01,2019-12-01,0.0884686636484982,0.04424456644447522,0.029463771417477642,4.158622767337292,,3.291622370273054,0.05900489223102056,high,complete,confirmed,detected_per_year,seasonal,per_year_detection
fitzroy_river_wa,2020,2020-01-01,2020-10-01,2020-03-01,2020-06-01,2020-10-01,0.38111378863008993,0.09955959400920353,0.0346018630930831,2.804898017716065,,2.8967810107901046,0.3465119255370068,high,complete,confirmed,detected_per_year,seasonal,per_year_detection
fitzroy_river_wa,2021,2020-11-01,2021-10-01,2021-03-01,2021-06-01,2021-10-01,1.019775668890236,0.10894774675056712,0.04569112347493372,4.034396057483234,,2.76659917024994,0.9740845454153022,high,complete,confirmed,detected_per_year,seasonal,per_year_detection
fitzroy_river_wa,2022,2021-11-01,2022-11-01,2022-02-01,2022-07-01,2022-11-01,0.5547306317223554,0.06422799761672403,0.04571932990032367,2.8235565017709643,,2.8205146191656447,0.5090113018220317,high,complete,confirmed,detected_per_year,seasonal,per_year_detection
fitzroy_river_wa,2023,2022-12-01,2024-01-01,2023-01-01,2023-07-01,2024-01-01,1.3609078307255107,0.14426318666820442,0.04140042649722447,7.066092474230664,,5.464232652213834,1.3195074042282862,high,complete,confirmed,detected_per_year,seasonal,per_year_detection
fitzroy_river_wa,2024,2024-02-01,2024-11-01,2024-03-01,2024-07-01,2024-11-01,0.443090654337045,0.07413177553729873,0.037260306578010834,2.948496716793474,,5.816222982747371,0.40583034775903415,high,complete,confirmed,detected_per_year,seasonal,per_year_detection
fitzroy_river_wa,2025,2024-12-01,2025-11-01,2025-02-01,2025-07-01,2025-11-01,0.2666638136303789,0.07823198122363881,0.03189852240166859,6.23657469693012,,3.1330576457946013,0.2347652912287103,medium,partial,provisional,detected_per_year,seasonal,per_year_detection
