low_spell_id,start_date,end_date,duration_months,baseline_extent_pct,min_extent_pct
1,2005-04-01,2006-01-01,10,0.196424,0.095826
2,2006-09-01,2006-12-01,4,0.196424,0.11768
3,2007-08-01,2007-10-01,3,0.196424,0.107746
4,2008-06-01,2008-11-01,6,0.196424,0.111244
5,2009-09-01,2009-12-01,4,0.196424,0.113041
6,2010-09-01,2010-11-01,3,0.196424,0.130144
7,2011-09-01,2011-11-01,3,0.196424,0.130452
8,2012-09-01,2012-12-01,4,0.196424,0.114989
9,2013-06-01,2013-12-01,7,0.196424,0.092181
10,2014-08-01,2014-12-01,5,0.196424,0.104604
11,2015-05-01,2015-11-01,7,0.196424,0.094385
12,2016-09-01,2016-12-01,4,0.196424,0.111482
13,2017-08-01,2017-11-01,4,0.196424,0.116683
14,2018-09-01,2018-12-01,4,0.196424,0.120044
15,2019-08-01,2019-12-01,5,0.196424,0.105139
16,2020-08-01,2020-11-01,4,0.196424,0.120591
17,2021-09-01,2021-10-01,2,0.196424,0.130987
18,2022-09-01,2022-11-01,3,0.196424,0.122773
19,2023-09-01,2023-11-01,3,0.196424,0.116212
20,2024-09-01,2024-11-01,3,0.196424,0.131635
