date,extent_pct,invalid_pct,max_invalid_pct,baseline_extent_pct,usable_month,quality_state,hy_year,phase,phase_status,is_hy_peak,is_hy_mid_dry,is_hy_trough,in_wet_event,wet_event_id,in_low_spell,low_spell_id,regime,route
2005-01-01,1.6335917284756745,15.308459892911445,20.0,0.196424,True,usable,2005,wet,provisional,True,False,False,True,1,False,,seasonal,per_year_detection
2005-02-01,0.5080882421698583,3.0660804053031367,20.0,0.196424,True,usable,2005,recession,provisional,False,False,False,True,1,False,,seasonal,per_year_detection
2005-03-01,0.1992009399051713,4.816139088465628,20.0,0.196424,True,usable,2005,dry,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2005-04-01,0.15592837561645234,3.044028030238661,20.0,0.196424,True,usable,2005,dry,provisional,False,False,False,False,,True,1,seasonal,per_year_detection
2005-05-01,0.15311372364861484,3.037703436834685,20.0,0.196424,True,usable,2005,dry,provisional,False,False,False,False,,True,1,seasonal,per_year_detection
2005-06-01,0.15343656246168666,3.055444145898775,20.0,0.196424,True,usable,2005,dry,provisional,False,True,False,False,,True,1,seasonal,per_year_detection
2005-07-01,0.13224697438302327,3.042721464783998,20.0,0.196424,True,usable,2005,dry,provisional,False,False,False,False,,True,1,seasonal,per_year_detection
2005-08-01,0.1263526481565336,3.0404758054087972,20.0,0.196424,True,usable,2005,dry,provisional,False,False,False,False,,True,1,seasonal,per_year_detection
2005-09-01,0.11628274109345854,3.0113189806845937,20.0,0.196424,True,usable,2005,dry,provisional,False,False,False,False,,True,1,seasonal,per_year_detection
2005-10-01,0.10545136519533074,3.042668385562403,20.0,0.196424,True,usable,2005,dry,provisional,False,False,False,False,,True,1,seasonal,per_year_detection
2005-11-01,0.09582578670274478,3.2397882825005198,20.0,0.196424,True,usable,2005,dry,provisional,False,False,True,False,,True,1,seasonal,per_year_detection
2005-12-01,0.1442045020337076,25.873752378000166,20.0,0.196424,True,low,2006,recovery,ok,False,False,False,False,,True,1,seasonal,per_year_detection
2006-01-01,0.1297227292530157,25.558584292233288,20.0,0.196424,True,low,2006,recovery,ok,False,False,False,False,,True,1,seasonal,per_year_detection
2006-02-01,0.7821019886651127,3.2472030414557294,20.0,0.196424,True,usable,2006,wet,ok,True,False,False,True,2,False,,seasonal,per_year_detection
2006-03-01,0.6920477772458354,25.008650892365832,20.0,0.196424,True,low,2006,recession,ok,False,False,False,True,2,False,,seasonal,per_year_detection
2006-04-01,0.6383151360753598,5.6482742944720075,20.0,0.196424,True,usable,2006,recession,ok,False,False,False,True,2,False,,seasonal,per_year_detection
2006-05-01,0.3005197609501327,3.031664654623917,20.0,0.196424,True,usable,2006,recession,ok,False,False,False,True,2,False,,seasonal,per_year_detection
2006-06-01,0.24221488990682147,3.052006245546194,20.0,0.196424,True,usable,2006,recession,ok,False,True,False,True,2,False,,seasonal,per_year_detection
2006-07-01,0.22094791816768108,3.065545530070134,20.0,0.196424,True,usable,2006,recession,ok,False,False,False,False,,False,,seasonal,per_year_detection
2006-08-01,0.17217899385727192,3.764684621843006,20.0,0.196424,True,usable,2006,recession,ok,False,False,False,False,,False,,seasonal,per_year_detection
2006-09-01,0.15080009195137828,3.0392345682268678,20.0,0.196424,True,usable,2006,recession,ok,False,False,False,False,,True,2,seasonal,per_year_detection
2006-10-01,0.11767959339837063,3.041888529306651,20.0,0.196424,True,usable,2006,dry,ok,False,False,True,False,,True,2,seasonal,per_year_detection
2006-11-01,0.11808209446862321,3.036980742817575,20.0,0.196424,True,usable,2007,wet,provisional,False,False,False,False,,True,2,seasonal,per_year_detection
2006-12-01,0.1229061900723364,3.0390426664257144,20.0,0.196424,True,usable,2007,wet,provisional,False,False,False,False,,True,2,seasonal,per_year_detection
2007-01-01,0.9654957807453514,10.59274260868777,20.0,0.196424,True,usable,2007,wet,provisional,False,False,False,True,3,False,,seasonal,per_year_detection
2007-02-01,3.5798427755609183,42.755753961149196,20.0,0.196424,True,low,2007,wet,provisional,True,False,False,True,3,False,,seasonal,per_year_detection
2007-03-01,0.7773153155368516,3.696694221996005,20.0,0.196424,True,usable,2007,recession,provisional,False,False,False,True,3,False,,seasonal,per_year_detection
2007-04-01,0.19884948483082346,3.001144102206409,20.0,0.196424,True,usable,2007,dry,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2007-05-01,0.19245230876059324,2.9910549670861872,20.0,0.196424,True,usable,2007,dry,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2007-06-01,0.23381211192108886,39.16305418331024,20.0,0.196424,True,low,2007,dry,provisional,False,True,False,False,,False,,seasonal,per_year_detection
2007-07-01,0.21155250686225496,3.039385639857563,20.0,0.196424,True,usable,2007,dry,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2007-08-01,0.1465282888714537,3.235852254068349,20.0,0.196424,True,usable,2007,dry,provisional,False,False,False,False,,True,3,seasonal,per_year_detection
2007-09-01,0.13123215353665096,3.0334366840218028,20.0,0.196424,True,usable,2007,dry,provisional,False,False,False,False,,True,3,seasonal,per_year_detection
2007-10-01,0.10774605557478328,3.2507430172344556,20.0,0.196424,True,usable,2007,dry,provisional,False,False,True,False,,True,3,seasonal,per_year_detection
2007-11-01,0.1844949730834547,18.549889548264385,20.0,0.196424,True,usable,2008,wet,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2007-12-01,0.14761578536193873,17.11476621889716,20.0,0.196424,True,usable,2008,wet,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2008-01-01,1.4550254762954522,21.089991614707895,20.0,0.196424,True,low,2008,wet,provisional,True,False,False,True,4,False,,seasonal,per_year_detection
2008-02-01,1.1321416670150342,7.896930604184855,20.0,0.196424,True,usable,2008,recession,provisional,False,False,False,True,4,False,,seasonal,per_year_detection
2008-03-01,0.5823829443736838,3.096315146527437,20.0,0.196424,True,usable,2008,recession,provisional,False,False,False,True,4,False,,seasonal,per_year_detection
2008-04-01,0.21170096190814122,3.018660245332979,20.0,0.196424,True,usable,2008,dry,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2008-05-01,0.2087431906183786,3.0547663650691685,20.0,0.196424,True,usable,2008,dry,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2008-06-01,0.1520764494194944,7.912499148180569,20.0,0.196424,True,usable,2008,dry,provisional,False,True,False,False,,True,4,seasonal,per_year_detection
2008-07-01,0.15433290215683987,7.028648448271828,20.0,0.196424,True,usable,2008,dry,provisional,False,False,False,False,,True,4,seasonal,per_year_detection
2008-08-01,0.15840393905486128,3.0256013743108734,20.0,0.196424,True,usable,2008,dry,provisional,False,False,False,False,,True,4,seasonal,per_year_detection
2008-09-01,0.1364738514938485,3.0239763335266368,20.0,0.196424,True,usable,2008,dry,provisional,False,False,False,False,,True,4,seasonal,per_year_detection
2008-10-01,0.12026365276073703,3.0406268770394926,20.0,0.196424,True,usable,2008,dry,provisional,False,False,False,False,,True,4,seasonal,per_year_detection
2008-11-01,0.11124437298450778,7.922849596391724,20.0,0.196424,True,usable,2008,dry,provisional,False,False,True,False,,True,4,seasonal,per_year_detection
2008-12-01,0.20712084402029918,3.6280219583023516,20.0,0.196424,True,usable,2009,wet,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2009-01-01,7.618662933013934,50.468491500363,20.0,0.196424,True,low,2009,wet,provisional,True,False,False,True,5,False,,seasonal,per_year_detection
2009-02-01,4.583279058147541,11.795097219289822,20.0,0.196424,True,usable,2009,wet,provisional,False,False,False,True,5,False,,seasonal,per_year_detection
2009-03-01,0.44361366066412705,3.0589432915070427,20.0,0.196424,True,usable,2009,recession,provisional,False,False,False,True,5,False,,seasonal,per_year_detection
2009-04-01,0.24918901767706703,3.0388181004881942,20.0,0.196424,True,usable,2009,recession,provisional,False,False,False,True,5,False,,seasonal,per_year_detection
2009-05-01,0.19654520655713142,6.693877797667969,20.0,0.196424,True,usable,2009,dry,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2009-06-01,0.18185369615669417,3.008705849775269,20.0,0.196424,True,usable,2009,dry,provisional,False,True,False,False,,False,,seasonal,per_year_detection
2009-07-01,0.1776576140829994,3.023020907537915,20.0,0.196424,True,usable,2009,dry,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2009-08-01,0.17108237139503424,3.0380423272494883,20.0,0.196424,True,usable,2009,dry,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2009-09-01,0.1388185730510658,3.3913294601561437,20.0,0.196424,True,usable,2009,dry,provisional,False,False,False,False,,True,5,seasonal,per_year_detection
2009-10-01,0.1162270443061821,3.0210488103047837,20.0,0.196424,True,usable,2009,dry,provisional,False,False,False,False,,True,5,seasonal,per_year_detection
2009-11-01,0.11304074117385779,3.0759368084517473,20.0,0.196424,True,usable,2009,dry,provisional,False,False,True,False,,True,5,seasonal,per_year_detection
2009-12-01,0.13015861432597595,7.121038957984652,20.0,0.196424,True,usable,2010,recovery,ok,False,False,False,False,,True,5,seasonal,per_year_detection
2010-01-01,1.5660992213008738,13.093039341951576,20.0,0.196424,True,usable,2010,wet,ok,False,False,False,True,6,False,,seasonal,per_year_detection
2010-02-01,2.845988886063619,10.222339468325035,20.0,0.196424,True,usable,2010,wet,ok,True,False,False,True,6,False,,seasonal,per_year_detection
2010-03-01,0.4438574185096169,8.924070704299616,20.0,0.196424,True,usable,2010,recession,ok,False,False,False,True,6,False,,seasonal,per_year_detection
2010-04-01,0.3932857765320972,6.349871362506463,20.0,0.196424,True,usable,2010,recession,ok,False,False,False,True,6,False,,seasonal,per_year_detection
2010-05-01,0.21921534262276132,3.389018472508209,20.0,0.196424,True,usable,2010,recession,ok,False,False,False,False,,False,,seasonal,per_year_detection
2010-06-01,0.22014515825320707,3.0533373091031315,20.0,0.196424,True,usable,2010,recession,ok,False,True,False,False,,False,,seasonal,per_year_detection
2010-07-01,0.1840671631812791,4.878233611698464,20.0,0.196424,True,usable,2010,dry,ok,False,False,False,False,,False,,seasonal,per_year_detection
2010-08-01,0.16499917739013614,10.160804318427477,20.0,0.196424,True,usable,2010,dry,ok,False,False,False,False,,False,,seasonal,per_year_detection
2010-09-01,0.1416753206923909,4.290319987270786,20.0,0.196424,True,usable,2010,dry,ok,False,False,False,False,,True,6,seasonal,per_year_detection
2010-10-01,0.13014409514446448,6.363998601485002,20.0,0.196424,True,usable,2010,dry,ok,False,False,True,False,,True,6,seasonal,per_year_detection
2010-11-01,0.14829394213010483,5.387426667482726,20.0,0.196424,True,usable,2011,wet,ok,False,False,False,False,,True,6,seasonal,per_year_detection
2010-12-01,0.6213998312811302,43.86539958670885,20.0,0.196424,True,low,2011,wet,ok,False,False,False,True,7,False,,seasonal,per_year_detection
2011-01-01,2.4599337189801056,27.116679928986535,20.0,0.196424,True,low,2011,wet,ok,False,False,False,True,7,False,,seasonal,per_year_detection
2011-02-01,6.458520365982146,17.312416908051233,20.0,0.196424,True,usable,2011,wet,ok,True,False,False,True,7,False,,seasonal,per_year_detection
2011-03-01,2.889890894640916,39.007736214887224,20.0,0.196424,True,low,2011,recession,ok,False,False,False,True,7,False,,seasonal,per_year_detection
2011-04-01,0.36695252167054626,6.931885027302931,20.0,0.196424,True,usable,2011,recession,ok,False,False,False,True,7,False,,seasonal,per_year_detection
2011-05-01,0.3451079001208417,3.0415088087213897,20.0,0.196424,True,usable,2011,recession,ok,False,False,False,True,7,False,,seasonal,per_year_detection
2011-06-01,0.25741111202763134,3.0809099232135564,20.0,0.196424,True,usable,2011,recession,ok,False,False,False,True,7,False,,seasonal,per_year_detection
2011-07-01,0.18597713690631723,3.040573797817897,20.0,0.196424,True,usable,2011,recession,ok,False,True,False,False,,False,,seasonal,per_year_detection
2011-08-01,0.17948685665646957,3.0354618604765298,20.0,0.196424,True,usable,2011,recession,ok,False,False,False,False,,False,,seasonal,per_year_detection
2011-09-01,0.13623868236204129,3.381048423234768,20.0,0.196424,True,usable,2011,dry,ok,False,False,False,False,,True,7,seasonal,per_year_detection
2011-10-01,0.15375513633181412,26.526737045087085,20.0,0.196424,True,low,2011,dry,ok,False,False,False,False,,True,7,seasonal,per_year_detection
2011-11-01,0.1304523727188617,7.868529137614129,20.0,0.196424,True,usable,2011,dry,ok,False,False,True,False,,True,7,seasonal,per_year_detection
2011-12-01,0.8094203752327338,66.83577978868182,20.0,0.196424,True,low,2012,wet,provisional,False,False,False,True,8,False,,seasonal,per_year_detection
2012-01-01,0.23045711454223677,38.15868506926002,20.0,0.196424,True,low,2012,wet,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2012-02-01,1.009297999376298,9.580795415000507,20.0,0.196424,True,usable,2012,wet,provisional,False,False,False,True,9,False,,seasonal,per_year_detection
2012-03-01,3.8716012503678288,55.11308671066553,20.0,0.196424,True,low,2012,wet,provisional,True,False,False,True,9,False,,seasonal,per_year_detection
2012-04-01,0.25398843449313047,11.542391128289907,20.0,0.196424,True,usable,2012,recession,provisional,False,False,False,True,9,False,,seasonal,per_year_detection
2012-05-01,0.27417909681644786,5.739448065105177,20.0,0.196424,True,usable,2012,recession,provisional,False,False,False,True,9,False,,seasonal,per_year_detection
2012-06-01,0.23610966193898672,12.18846324751825,20.0,0.196424,True,usable,2012,recession,provisional,False,False,False,True,9,False,,seasonal,per_year_detection
2012-07-01,0.2018307464848455,9.55411289860607,20.0,0.196424,True,usable,2012,recession,provisional,False,True,False,False,,False,,seasonal,per_year_detection
2012-08-01,0.16994843685793978,6.4296984287692975,20.0,0.196424,True,usable,2012,recession,provisional,False,False,False,False,,False,,seasonal,per_year_detection
2012-09-01,0.13889587400400588,11.508485754741415,20.0,0.196424,True,usable,2012,dry,provisional,False,False,False,False,,True,8,seasonal,per_year_detection
2012-10-01,0.12434870069346186,4.748307926283414,20.0,0.196424,True,usable,2012,dry,provisional,False,False,False,False,,True,8,seasonal,per_year_detection
2012-11-01,0.11498898262727278,16.52093221975304,20.0,0.196424,True,usable,2012,dry,provisional,False,False,True,False,,True,8,seasonal,per_year_detection
2012-12-01,0.1491574819631571,15.480448819932539,20.0,0.196424,True,usable,2013,recovery,ok,False,False,False,False,,True,8,seasonal,per_year_detection
2013-01-01,0.4439155076546166,14.597194240512486,20.0,0.196424,True,usable,2013,wet,ok,True,False,False,True,10,False,,seasonal,per_year_detection
2013-02-01,0.2348545947617717,34.30791411602293,20.0,0.196424,True,low,2013,recession,ok,False,False,False,True,10,False,,seasonal,per_year_detection
2013-03-01,0.30237733184439536,11.692735981951104,20.0,0.196424,True,usable,2013,dry,ok,False,False,False,True,10,False,,seasonal,per_year_detection
2013-04-01,0.21818021386166167,3.752202838733933,20.0,0.196424,True,usable,2013,dry,ok,False,False,False,False,,False,,seasonal,per_year_detection
2013-05-01,0.1648409887690531,3.8525103184986027,20.0,0.196424,True,usable,2013,dry,ok,False,False,False,False,,False,,seasonal,per_year_detection
2013-06-01,0.1560917956545129,3.048752080960675,20.0,0.196424,True,usable,2013,dry,ok,False,True,False,False,,True,9,seasonal,per_year_detection
2013-07-01,0.14542064979122865,3.0463267688354576,20.0,0.196424,True,usable,2013,dry,ok,False,False,False,False,,True,9,seasonal,per_year_detection
2013-08-01,0.13963757984155514,3.039822522681466,20.0,0.196424,True,usable,2013,dry,ok,False,False,False,False,,True,9,seasonal,per_year_detection
2013-09-01,0.12178827275318048,3.0340940497661797,20.0,0.196424,True,usable,2013,dry,ok,False,False,False,False,,True,9,seasonal,per_year_detection
2013-10-01,0.10569347753665927,3.1141089348131223,20.0,0.196424,True,usable,2013,dry,ok,False,False,False,False,,True,9,seasonal,per_year_detection
2013-11-01,0.09218107928888301,3.4713075980496733,20.0,0.196424,True,usable,2013,dry,ok,False,False,True,False,,True,9,seasonal,per_year_detection
2013-12-01,0.14744845325877715,3.0394428020962048,20.0,0.196424,True,usable,2014,recovery,provisional,False,False,False,False,,True,9,seasonal,per_year_detection
2014-01-01,0.3109287735048439,6.543149140404463,20.0,0.196424,True,usable,2014,recovery,provisional,False,False,False,True,11,False,,seasonal,per_year_detection
2014-02-01,1.5395124894101406,27.881163625560717,20.0,0.196424,True,low,2014,wet,provisional,True,False,False,True,11,False,,seasonal,per_year_detection
