low_spell_id,start_date,end_date,duration_months,baseline_extent_pct,min_extent_pct
1,2005-04-01,2005-05-01,2,0.148784,0.111557
2,2006-02-01,2007-11-01,22,0.148784,0.029975
3,2009-03-01,2009-04-01,2,0.148784,0.10367
4,2009-10-01,2010-01-01,4,0.148784,0.074473
5,2012-11-01,2013-01-01,3,0.148784,0.080976
6,2013-11-01,2014-03-01,5,0.148784,0.035446
7,2014-08-01,2015-03-01,8,0.148784,0.054518
8,2015-09-01,2016-08-01,12,0.148784,0.041695
9,2017-01-01,2017-03-01,3,0.148784,0.084609
10,2018-01-01,2018-02-01,2,0.148784,0.102732
11,2018-08-01,2020-01-01,18,0.148784,0.013269
12,2020-11-01,2020-12-01,2,0.148784,0.081917
13,2023-08-01,2023-10-01,3,0.148784,0.084119
