catchment,hy_year,start_date,end_date,peak_date,mid_dry_date,trough_date,peak_extent_pct,mid_dry_extent_pct,trough_extent_pct,peak_invalid_pct,mid_dry_invalid_pct,trough_invalid_pct,drawdown_pct,confidence,status,boundary_status,boundary_basis,regime,route
daly_river_nt,2005,2005-01-01,2006-01-01,2005-01-01,2005-07-01,2006-01-01,0.7144900900834145,0.14757424829367274,0.016761867043436893,2.3143246328936504,,60.98696414646746,0.6977282230399776,medium,partial,provisional,detected_per_year,seasonal,per_year_detection
daly_river_nt,2006,2006-02-01,2006-12-01,2006-04-01,2006-08-01,2006-12-01,0.9383397513796209,0.18318352216936315,0.1140192712165744,3.2972829359295366,,5.309608101838904,0.8243204801630465,high,complete,confirmed,detected_per_year,seasonal,per_year_detection
daly_river_nt,2007,2007-01-01,2008-02-01,2007-03-01,2007-08-01,2008-02-01,0.43774238011263084,0.14701946103455024,0.08067032490080203,18.360899348865367,,39.18398419378082,0.35707205521182883,medium,partial,provisional,detected_per_year,seasonal,per_year_detection
daly_river_nt,2008,2008-03-01,2008-10-01,2008-03-01,2008-06-01,2008-10-01,1.084287751430856,0.22782100416365206,0.11195166118742948,2.143738216897914,,2.2073990478101937,0.9723360902434265,high,complete,confirmed,detected_per_year,seasonal,per_year_detection
daly_river_nt,2009,2008-11-01,2009-11-01,2009-02-01,2009-07-01,2009-11-01,1.587771388693991,0.18369189147995094,0.09753920291363906,8.972103865680038,,4.051880196491967,1.490232185780352,high,complete,confirmed,detected_per_year,seasonal,per_year_detection
daly_river_nt,2010,2009-12-01,2010-11-01,2010-01-01,2010-06-01,2010-11-01,0.760123932392482,0.22964723232930226,0.12325976713475716,47.85872451312962,,3.4593674222109625,0.6368641652577248,medium,partial,provisional,detected_per_year,seasonal,per_year_detection
daly_river_nt,2011,2010-12-01,2012-01-01,2011-03-01,2011-08-01,2012-01-01,5.2072032029114,0.19667271859948385,0.05821624126856786,87.22335990734739,,46.749469451947974,5.148986961642833,low,partial,provisional,detected_per_year,seasonal,per_year_detection
daly_river_nt,2012,2012-02-01,2012-11-01,2012-03-01,2012-07-01,2012-11-01,1.0994226113282024,0.22434330024863275,0.12507192492917293,58.33635265899168,,17.958837696714056,0.9743506863990294,medium,partial,provisional,detected_per_year,seasonal,per_year_detection
daly_river_nt,2013,2012-12-01,2013-11-01,2013-04-01,2013-08-01,2013-11-01,0.4160011568588932,0.17109014376949885,0.09694534183025454,1.9354886470942418,,7.265287186894394,0.31905581502863867,high,complete,confirmed,detected_per_year,seasonal,per_year_detection
daly_river_nt,2014,2013-12-01,2014-10-01,2014-02-01,2014-06-01,2014-10-01,0.5550569139168234,0.1991876226093535,0.12730039862674672,22.652477042486616,,1.9359706643942212,0.42775651529007674,medium,partial,provisional,detected_per_year,seasonal,per_year_detection
