low_spell_id,start_date,end_date,duration_months,baseline_extent_pct,min_extent_pct
1,2005-07-01,2005-11-01,5,0.180236,0.11878
2,2006-10-01,2006-12-01,3,0.180236,0.114019
3,2007-08-01,2007-11-01,4,0.180236,0.112788
4,2008-08-01,2008-11-01,4,0.180236,0.111952
5,2009-09-01,2009-12-01,4,0.180236,0.097539
6,2013-09-01,2013-11-01,3,0.180236,0.096945
7,2014-09-01,2014-11-01,3,0.180236,0.1273
8,2015-08-01,2015-11-01,4,0.180236,0.128528
9,2016-09-01,2016-11-01,3,0.180236,0.127578
10,2017-10-01,2017-12-01,3,0.180236,0.025057
11,2018-10-01,2018-12-01,3,0.180236,0.128887
12,2019-07-01,2019-12-01,6,0.180236,0.117308
13,2020-08-01,2020-11-01,4,0.180236,0.128712
14,2021-09-01,2021-11-01,3,0.180236,0.125638
15,2022-09-01,2022-12-01,4,0.180236,0.133135
16,2023-09-01,2023-12-01,4,0.180236,0.127165
17,2024-09-01,2024-10-01,2,0.180236,0.148143
18,2025-09-01,2025-12-01,4,0.180236,0.081146
