date,extent_pct,invalid_pct,max_invalid_pct,baseline_extent_pct,usable_month,quality_state,hy_year,phase,phase_status,is_hy_peak,is_hy_mid_dry,is_hy_trough,in_wet_event,wet_event_id,in_low_spell,low_spell_id,regime,route,rainfall_mm,rain_anomaly_mm
2005-01-01,0.7144900900834145,2.3143246328936504,20.0,0.180236,True,usable,2005,recovery,provisional,True,False,False,True,1,False,,seasonal,per_year_detection,296.4277144273672,52.87917699553799
2005-02-01,0.29249374095038644,3.1990797253323944,20.0,0.180236,True,usable,2005,recession,provisional,False,False,False,True,1,False,,seasonal,per_year_detection,170.2899851264252,-40.297620228061476
2005-03-01,0.16026515360502508,3.5702412718676277,20.0,0.180236,True,usable,2005,recession,provisional,False,False,False,False,,False,,seasonal,per_year_detection,140.8296479920673,-14.643827466534418
2005-04-01,0.16333032349703935,1.9311570718353837,20.0,0.180236,True,usable,2005,recession,provisional,False,False,False,False,,False,,seasonal,per_year_detection,1.9302925136339992,-24.6674268715914
2005-05-01,0.1627170767459537,1.9336132214219675,20.0,0.180236,True,usable,2005,recession,provisional,False,False,False,False,,False,,seasonal,per_year_detection,0.0299950421417735,-0.2551809618244591
2005-06-01,0.16131796833869547,2.034552250346296,20.0,0.180236,True,usable,2005,recession,provisional,False,False,False,False,,False,,seasonal,per_year_detection,0.0281606346058361,0.021814576103115102
2005-07-01,0.14757424829367274,1.9271857757188309,20.0,0.180236,True,usable,2005,recession,provisional,False,True,False,False,,True,1,seasonal,per_year_detection,0.0344075359444499,0.0
2005-08-01,0.13186201426079044,1.9261789682526627,20.0,0.180236,True,usable,2005,recession,provisional,False,False,False,False,,True,1,seasonal,per_year_detection,0.1767476450173119,0.1420426375805452
2005-09-01,0.11877962834635046,2.063142621187046,20.0,0.180236,True,usable,2005,recession,provisional,False,False,False,False,,True,1,seasonal,per_year_detection,3.830441249380099,2.5382250867624703
2005-10-01,0.11937650599751097,2.333707321727629,20.0,0.180236,True,usable,2005,recession,provisional,False,False,False,False,,True,1,seasonal,per_year_detection,45.676499752106906,22.523252354982642
2005-11-01,0.1218057520813508,3.0200637644728574,20.0,0.180236,True,usable,2005,recession,provisional,False,False,False,False,,True,1,seasonal,per_year_detection,156.0244918195338,49.94199305899855
2005-12-01,0.1745680624755694,41.03283475525695,20.0,0.180236,True,low,2005,recession,provisional,False,False,False,False,,False,,seasonal,per_year_detection,232.94709965294973,0.0
2006-01-01,0.016761867043436893,60.98696414646746,20.0,0.180236,True,low,2005,recession,provisional,False,False,True,False,,False,,seasonal,per_year_detection,346.6839365394148,103.13539910758556
2006-02-01,0.19635081635562854,2.3293691660278157,20.0,0.180236,True,usable,2006,recovery,ok,False,False,False,False,,False,,seasonal,per_year_detection,130.33817550818029,-80.24942984630638
2006-03-01,0.12278220279394078,47.257731195567416,20.0,0.180236,True,low,2006,recovery,ok,False,False,False,False,,False,,seasonal,per_year_detection,364.41819533961313,208.94471988101142
2006-04-01,0.9383397513796209,3.2972829359295366,20.0,0.180236,True,usable,2006,recovery,ok,True,False,False,True,2,False,,seasonal,per_year_detection,265.4383738225085,238.8406544372831
2006-05-01,0.30602795594582355,1.9292076162023617,20.0,0.180236,True,usable,2006,recession,ok,False,False,False,True,2,False,,seasonal,per_year_detection,0.0368864650470771,-0.2482895389191555
2006-06-01,0.2549691919075856,1.925387670227782,20.0,0.180236,True,usable,2006,recession,ok,False,False,False,True,2,False,,seasonal,per_year_detection,0.0014377788795227,-0.0049082796231983
2006-07-01,0.21496120166631627,1.9344982907304618,20.0,0.180236,True,usable,2006,recession,ok,False,False,False,True,2,False,,seasonal,per_year_detection,0.9077838373821996,0.8733763014377497
2006-08-01,0.18318352216936315,1.9338089895403892,20.0,0.180236,True,usable,2006,recession,ok,False,True,False,False,,False,,seasonal,per_year_detection,0.0,-0.0347050074367667
2006-09-01,0.15580004865165312,1.945969644425873,20.0,0.180236,True,usable,2006,recession,ok,False,False,False,False,,False,,seasonal,per_year_detection,0.1441745166087529,-1.1480416460088756
2006-10-01,0.12574842533877242,1.9410441843707946,20.0,0.180236,True,usable,2006,recession,ok,False,False,False,False,,True,2,seasonal,per_year_detection,0.5056023797718969,-22.647645017352367
2006-11-01,0.12852209356390873,2.4457327485514804,20.0,0.180236,True,usable,2006,recession,ok,False,False,False,False,,True,2,seasonal,per_year_detection,37.42944967773904,-68.65304908279622
2006-12-01,0.1140192712165744,5.309608101838904,20.0,0.180236,True,usable,2006,recession,ok,False,False,True,False,,True,2,seasonal,per_year_detection,170.18269707486348,-62.76440257808625
2007-01-01,0.4099819138364696,49.861248112236,20.0,0.180236,True,low,2007,recovery,provisional,False,False,False,True,3,False,,seasonal,per_year_detection,225.30679226574105,-18.24174516608818
2007-02-01,0.1396572761352884,8.379260424241028,20.0,0.180236,True,usable,2007,recovery,provisional,False,False,False,False,,False,,seasonal,per_year_detection,126.87838373822493,-83.70922161626174
2007-03-01,0.43774238011263084,18.360899348865367,20.0,0.180236,True,usable,2007,recovery,provisional,True,False,False,True,4,False,,seasonal,per_year_detection,418.22766484878514,262.75418939018346
2007-04-01,0.29699340537458574,1.927649696806183,20.0,0.180236,True,usable,2007,recession,provisional,False,False,False,True,4,False,,seasonal,per_year_detection,2.1415468517599,-24.456172533465498
2007-05-01,0.21202951643445603,2.1357742382317038,20.0,0.180236,True,usable,2007,recession,provisional,False,False,False,True,4,False,,seasonal,per_year_detection,3.3626673277143326,3.0774913237481
2007-06-01,0.19508239144474307,8.698681608654596,20.0,0.180236,True,usable,2007,recession,provisional,False,False,False,False,,False,,seasonal,per_year_detection,18.56643529995024,18.560089241447518
2007-07-01,0.183283196954129,1.9261049382919149,20.0,0.180236,True,usable,2007,recession,provisional,False,False,False,False,,False,,seasonal,per_year_detection,0.0269707486365719,-0.007436787307878005
2007-08-01,0.14701946103455024,1.9319582405216973,20.0,0.180236,True,usable,2007,recession,provisional,False,True,False,False,,True,3,seasonal,per_year_detection,12.466831928606677,12.43212692116991
2007-09-01,0.13917419075195897,1.9263911874734725,20.0,0.180236,True,usable,2007,recession,provisional,False,False,False,False,,True,3,seasonal,per_year_detection,0.3206742687158257,-0.9715418939018028
2007-10-01,0.11278798710509237,9.325517962958697,20.0,0.180236,True,usable,2007,recession,provisional,False,False,False,False,,True,3,seasonal,per_year_detection,23.027169062964617,-0.1260783341596472
2007-11-01,0.13349586391298898,16.836176632196125,20.0,0.180236,True,usable,2007,recession,provisional,False,False,False,False,,True,3,seasonal,per_year_detection,89.46826970748617,-16.614229053049087
2007-12-01,0.15173681677562692,38.3130348664664,20.0,0.180236,True,low,2007,recession,provisional,False,False,False,False,,False,,seasonal,per_year_detection,274.7588001983141,41.811700545364346
2008-01-01,0.2693046347204301,20.368382955341836,20.0,0.180236,True,low,2007,recession,provisional,False,False,False,False,,False,,seasonal,per_year_detection,237.8044124938025,-5.744124938026744
2008-02-01,0.08067032490080203,39.18398419378082,20.0,0.180236,True,low,2007,recession,provisional,False,False,True,False,,False,,seasonal,per_year_detection,497.08914229053033,286.50153693604364
2008-03-01,1.084287751430856,2.143738216897914,20.0,0.180236,True,usable,2008,recovery,ok,True,False,False,True,5,False,,seasonal,per_year_detection,167.26202280614757,11.788547347545858
2008-04-01,0.30529664620553126,1.9259963610161517,20.0,0.180236,True,usable,2008,recession,ok,False,False,False,True,5,False,,seasonal,per_year_detection,8.693009419930451,-17.90470996529495
2008-05-01,0.26470237714335365,1.9232243502637112,20.0,0.180236,True,usable,2008,recession,ok,False,False,False,True,5,False,,seasonal,per_year_detection,0.0071393158155611,-0.2780366881506715
2008-06-01,0.22782100416365206,2.696873632502114,20.0,0.180236,True,usable,2008,recession,ok,False,True,False,True,5,False,,seasonal,per_year_detection,0.00019831432821,-0.006147744174511
2008-07-01,0.18543179351272543,1.9260111670083013,20.0,0.180236,True,usable,2008,recession,ok,False,False,False,False,,False,,seasonal,per_year_detection,0.1069905800693819,0.072583044124932
2008-08-01,0.14402737848683794,1.9243792176513748,20.0,0.180236,True,usable,2008,recession,ok,False,False,False,False,,True,4,seasonal,per_year_detection,0.0480416460089075,0.013336638572140798
2008-09-01,0.14297452838166477,1.9719327742152002,20.0,0.180236,True,usable,2008,recession,ok,False,False,False,False,,True,4,seasonal,per_year_detection,3.674219137332525,2.3820029747148963
2008-10-01,0.11195166118742948,2.2073990478101937,20.0,0.180236,True,usable,2008,recession,ok,False,False,True,False,,True,4,seasonal,per_year_detection,10.832721864154513,-12.320525532969752
2008-11-01,0.11484580061617326,6.237463437424942,20.0,0.180236,True,usable,2009,recovery,ok,False,False,False,False,,True,4,seasonal,per_year_detection,110.39776896380744,4.315270203272178
2008-12-01,0.1928763766511032,5.720823147359105,20.0,0.180236,True,usable,2009,recovery,ok,False,False,False,False,,False,,seasonal,per_year_detection,324.95151214675235,92.00441249380262
2009-01-01,0.49887105776099555,19.595312751907507,20.0,0.180236,True,usable,2009,recovery,ok,False,False,False,True,6,False,,seasonal,per_year_detection,351.2150223103618,107.66648487853257
2009-02-01,1.587771388693991,8.972103865680038,20.0,0.180236,True,usable,2009,recovery,ok,True,False,False,True,6,False,,seasonal,per_year_detection,385.34938026772414,174.76177491323747
2009-03-01,0.33897909873249377,1.9317953746080525,20.0,0.180236,True,usable,2009,recession,ok,False,False,False,True,6,False,,seasonal,per_year_detection,50.46588993554766,-105.00758552305405
2009-04-01,0.2361402148015503,1.9378921531531828,20.0,0.180236,True,usable,2009,recession,ok,False,False,False,True,6,False,,seasonal,per_year_detection,1.097768963807559,-25.49995042141784
2009-05-01,0.18642151229941656,1.9269159776396616,20.0,0.180236,True,usable,2009,recession,ok,False,False,False,False,,False,,seasonal,per_year_detection,0.0309370352007772,-0.25423896876545543
2009-06-01,0.1854796616905452,1.9238264606111255,20.0,0.180236,True,usable,2009,recession,ok,False,False,False,False,,False,,seasonal,per_year_detection,0.00019831432821,-0.006147744174511
2009-07-01,0.18369189147995094,1.9311603620558613,20.0,0.180236,True,usable,2009,recession,ok,False,True,False,False,,False,,seasonal,per_year_detection,0.0303916707981956,-0.004015865146254304
2009-08-01,0.15450292649014466,2.1694364839387887,20.0,0.180236,True,usable,2009,recession,ok,False,False,False,False,,False,,seasonal,per_year_detection,0.0347050074367667,0.0
2009-09-01,0.14025322154237405,1.947817103224087,20.0,0.180236,True,usable,2009,recession,ok,False,False,False,False,,True,5,seasonal,per_year_detection,1.820029747149096,0.5278135845314675
2009-10-01,0.11816687458810313,1.957635121129467,20.0,0.180236,True,usable,2009,recession,ok,False,False,False,False,,True,5,seasonal,per_year_detection,4.407089737233367,-18.746157659890898
2009-11-01,0.09753920291363906,4.051880196491967,20.0,0.180236,True,usable,2009,recession,ok,False,False,True,False,,True,5,seasonal,per_year_detection,27.90624690133844,-78.17625185919681
