date,extent_pct,invalid_pct,max_invalid_pct,baseline_extent_pct,usable_month,quality_state,hy_year,confidence,phase,phase_status,is_hy_peak,is_hy_mid_dry,is_hy_trough,in_wet_event,wet_event_id,in_low_spell,low_spell_id,regime,route,rainfall_mm,rain_anomaly_mm
2005-01-01,0.03374953300400356,3.7952626255202273,20.0,0.073039,True,usable,2005,medium,rising,provisional,False,False,False,False,,False,,seasonal,per_year_detection,85.28669479606171,-101.0373277074543
2005-02-01,0.08430837702658184,2.87591352954053,20.0,0.073039,True,usable,2005,medium,rising,provisional,False,False,False,False,,False,,seasonal,per_year_detection,116.4359212376932,-2.261012658227841
2005-03-01,0.1193405802163906,5.260772627816955,20.0,0.073039,True,usable,2005,medium,rising,provisional,True,False,False,False,,False,,seasonal,per_year_detection,101.865316455696,14.2693952180028
2005-04-01,0.05956490464354107,4.1353315895427425,20.0,0.073039,True,usable,2005,medium,receding,provisional,False,False,False,False,,False,,seasonal,per_year_detection,1.0319831223627594,-7.186835443037903
2005-05-01,0.04878160267921009,2.780109497038824,20.0,0.073039,True,usable,2005,medium,receding,provisional,False,False,False,False,,True,1,seasonal,per_year_detection,0.0281856540084313,-0.7326300984528403
2005-06-01,0.04469802414740542,2.794684066296864,20.0,0.073039,True,usable,2005,medium,receding,provisional,False,True,False,False,,True,1,seasonal,per_year_detection,48.50914205344567,48.07699015471156
2005-07-01,0.03739269214225432,2.8011454062269956,20.0,0.073039,True,usable,2005,medium,receding,provisional,False,False,False,False,,True,1,seasonal,per_year_detection,0.071533052039353,0.01727144866385081
2005-08-01,0.03314900476212684,2.7838463762479146,20.0,0.073039,True,usable,2005,medium,receding,provisional,False,False,False,False,,True,1,seasonal,per_year_detection,4.57175808720098,4.561181434599016
2005-09-01,0.03242448495582534,2.7921021215238673,20.0,0.073039,True,usable,2005,medium,receding,provisional,False,False,False,False,,True,1,seasonal,per_year_detection,0.3147398030941922,0.0
2005-10-01,0.02487210109444671,2.799176094944939,20.0,0.073039,True,usable,2005,medium,receding,provisional,False,False,True,False,,True,1,seasonal,per_year_detection,2.042616033755195,-10.043234880449969
2005-11-01,0.028002823309308235,2.823308487004239,20.0,0.073039,True,usable,2006,medium,rising,provisional,False,False,False,False,,True,1,seasonal,per_year_detection,19.656146272854954,-19.194120956399438
2005-12-01,0.08307578165491161,29.118935314805977,20.0,0.073039,True,low,2006,medium,rising,provisional,False,False,False,False,,False,,seasonal,per_year_detection,170.8588748241911,57.34759493670886
2006-01-01,0.7029518145170444,58.41869930654516,20.0,0.073039,True,low,2006,medium,rising,provisional,True,False,False,True,1,False,,seasonal,per_year_detection,264.39454289732754,78.07052039381153
2006-02-01,0.2759548088178454,5.4798594333739885,20.0,0.073039,True,usable,2006,medium,receding,provisional,False,False,False,True,1,False,,seasonal,per_year_detection,128.17426160337533,9.477327707454293
2006-03-01,0.6101999769847499,8.974074701788618,20.0,0.073039,True,usable,2006,medium,receding,provisional,False,False,False,True,1,False,,seasonal,per_year_detection,116.92452883262992,29.328607594936713
2006-04-01,0.13188249827870901,2.795387391754742,20.0,0.073039,True,usable,2006,medium,receding,provisional,False,False,False,True,1,False,,seasonal,per_year_detection,12.77760900140629,4.558790436005628
2006-05-01,0.08900720287956347,2.8171044161231733,20.0,0.073039,True,usable,2006,medium,receding,provisional,False,False,False,False,,False,,seasonal,per_year_detection,0.7608157524612716,0.0
2006-06-01,0.06845899908929214,2.8029305572904764,20.0,0.073039,True,usable,2006,medium,receding,provisional,False,True,False,False,,False,,seasonal,per_year_detection,0.0001687763713078,-0.4319831223628055
2006-07-01,0.055282291968354325,2.788865898989397,20.0,0.073039,True,usable,2006,medium,receding,provisional,False,False,False,False,,False,,seasonal,per_year_detection,2.610886075949224,2.5566244725737217
2006-08-01,0.046308830045565685,2.780618482567551,20.0,0.073039,True,usable,2006,medium,receding,provisional,False,False,False,False,,True,2,seasonal,per_year_detection,0.0006469760900136,-0.0099296765119503
2006-09-01,0.03307894495976366,2.7849716969805183,20.0,0.073039,True,usable,2006,medium,receding,provisional,False,False,False,False,,True,2,seasonal,per_year_detection,0.2904641350210123,-0.02427566807317988
2006-10-01,0.01911905623212349,2.801037131123612,20.0,0.073039,True,usable,2006,medium,receding,provisional,False,False,True,False,,True,2,seasonal,per_year_detection,24.229507735583503,12.14365682137834
2006-11-01,0.026302733728016663,4.416365635658793,20.0,0.073039,True,usable,2007,medium,rising,provisional,False,False,False,False,,True,2,seasonal,per_year_detection,48.69541490857929,9.845147679324896
2006-12-01,0.027187617526025158,3.0853194303411753,20.0,0.073039,True,usable,2007,medium,rising,provisional,False,False,False,False,,True,2,seasonal,per_year_detection,84.94801687763696,-28.563263009845286
2007-01-01,0.1273648369494828,10.31258170952914,20.0,0.073039,True,usable,2007,medium,rising,provisional,False,False,False,False,,False,,seasonal,per_year_detection,161.32852320675087,-24.995499296765132
2007-02-01,0.09805301291466081,2.8618072269689185,20.0,0.073039,True,usable,2007,medium,rising,provisional,False,False,False,False,,False,,seasonal,per_year_detection,21.57859353023893,-97.1183403656821
2007-03-01,0.2858799995626491,34.4890815293205,20.0,0.073039,True,low,2007,medium,rising,provisional,True,False,False,True,2,False,,seasonal,per_year_detection,275.41907172995764,187.82315049226443
2007-04-01,0.24219360994471312,2.7728310039780273,20.0,0.073039,True,usable,2007,medium,receding,provisional,False,False,False,True,2,False,,seasonal,per_year_detection,0.1230098452883034,-8.095808720112359
2007-05-01,0.08987607976315287,2.771224460563718,20.0,0.073039,True,usable,2007,medium,receding,provisional,False,False,False,False,,False,,seasonal,per_year_detection,21.512742616033577,20.751926863572304
2007-06-01,0.06687114268551016,2.839307290314481,20.0,0.073039,True,usable,2007,medium,receding,provisional,False,True,False,False,,False,,seasonal,per_year_detection,31.43234880450053,31.00019690576642
2007-07-01,0.058767972913943034,2.7755054915744295,20.0,0.073039,True,usable,2007,medium,receding,provisional,False,False,False,False,,False,,seasonal,per_year_detection,0.0302109704641176,-0.0240506329113846
2007-08-01,0.0475254047521293,2.770985700079333,20.0,0.073039,True,usable,2007,medium,receding,provisional,False,False,False,False,,True,3,seasonal,per_year_detection,0.0006469760900136,-0.0099296765119503
2007-09-01,0.041177943751033556,2.7892249651442085,20.0,0.073039,True,usable,2007,medium,receding,provisional,False,False,False,False,,True,3,seasonal,per_year_detection,0.5628973277073713,0.24815752461317914
2007-10-01,0.02620454170383599,4.065263716229944,20.0,0.073039,True,usable,2007,medium,receding,provisional,False,False,True,False,,True,3,seasonal,per_year_detection,0.4092827004219025,-11.676568213783261
2007-11-01,0.03232922169595448,6.264143204022444,20.0,0.073039,True,usable,2008,medium,rising,provisional,False,False,False,False,,True,3,seasonal,per_year_detection,30.37679324894497,-8.473473980309421
2007-12-01,0.07527193966700543,20.542101607911196,20.0,0.073039,True,low,2008,medium,rising,provisional,False,False,False,False,,False,,seasonal,per_year_detection,112.9884388185652,-0.522841068917046
2008-01-01,0.09413520150486727,9.166958006898549,20.0,0.073039,True,usable,2008,medium,rising,provisional,False,False,False,False,,False,,seasonal,per_year_detection,135.16225035161725,-51.16177215189876
2008-02-01,0.2751062888417283,29.08542648387929,20.0,0.073039,True,low,2008,medium,rising,provisional,True,False,False,True,3,False,,seasonal,per_year_detection,231.3654289732769,112.66849507735586
2008-03-01,0.2015422400029433,2.9578472436703067,20.0,0.073039,True,usable,2008,medium,receding,provisional,False,False,False,True,3,False,,seasonal,per_year_detection,78.67428973277056,-8.921631504922644
2008-04-01,0.13589784342805644,2.77401555211761,20.0,0.073039,True,usable,2008,medium,receding,provisional,False,False,False,True,3,False,,seasonal,per_year_detection,3.598677918424616,-4.620140646976046
2008-05-01,0.07825075738375993,2.7748003152600837,20.0,0.073039,True,usable,2008,medium,receding,provisional,False,False,False,False,,False,,seasonal,per_year_detection,0.0025035161743999,-0.7583122362868717
2008-06-01,0.10048650500590049,8.837221449109194,20.0,0.073039,True,usable,2008,medium,receding,provisional,False,False,False,False,,False,,seasonal,per_year_detection,13.7057383966243,13.273586497890186
2008-07-01,0.056446664794548636,10.112574457873498,20.0,0.073039,True,usable,2008,medium,receding,provisional,False,True,False,False,,False,,seasonal,per_year_detection,0.0187060478199601,-0.0355555555555421
2008-08-01,0.039419219689064484,2.778811121226453,20.0,0.073039,True,usable,2008,medium,receding,provisional,False,False,False,False,,True,4,seasonal,per_year_detection,0.7680450070322744,0.7574683544303105
2008-09-01,0.03714444712943221,2.826720540903178,20.0,0.073039,True,usable,2008,medium,receding,provisional,False,False,False,False,,True,4,seasonal,per_year_detection,3.575274261603266,3.2605344585090736
2008-10-01,0.02839512330035867,2.7872741624268325,20.0,0.073039,True,usable,2008,medium,receding,provisional,False,False,False,False,,True,4,seasonal,per_year_detection,7.6961744022502,-4.3896765119549634
2008-11-01,0.024948181013192648,2.8062583972201174,20.0,0.073039,True,usable,2008,medium,receding,provisional,False,False,True,False,,True,4,seasonal,per_year_detection,36.744838255977314,-2.1054289732770783
2008-12-01,0.03911999912451731,4.01993716675445,20.0,0.073039,True,usable,2009,high,rising,ok,False,False,False,False,,True,4,seasonal,per_year_detection,175.63344585091403,62.12216596343178
2009-01-01,0.1997233191784742,4.673950255752272,20.0,0.073039,True,usable,2009,high,rising,ok,False,False,False,True,4,False,,seasonal,per_year_detection,286.23277074542875,99.90874824191275
2009-02-01,1.1675291954089002,7.186664667988462,20.0,0.073039,True,usable,2009,high,rising,ok,True,False,False,True,4,False,,seasonal,per_year_detection,157.89316455696184,39.1962306610408
2009-03-01,0.26018644104274125,2.777666366500934,20.0,0.073039,True,usable,2009,high,receding,ok,False,False,False,True,4,False,,seasonal,per_year_detection,46.68213783403639,-40.913783403656815
2009-04-01,0.14950234372351873,2.7777052344867643,20.0,0.073039,True,usable,2009,high,receding,ok,False,False,False,True,4,False,,seasonal,per_year_detection,0.7309985935301296,-7.4878199718705325
2009-05-01,0.09530439869203677,2.8626799057936267,20.0,0.073039,True,usable,2009,high,receding,ok,False,False,False,True,4,False,,seasonal,per_year_detection,0.6143741209563048,-0.1464416315049668
2009-06-01,0.049102676259173056,3.670244674526057,20.0,0.073039,True,usable,2009,high,receding,ok,False,False,False,False,,False,,seasonal,per_year_detection,0.4321518987341133,0.0
