date,extent_pct,invalid_pct,max_invalid_pct,baseline_extent_pct,usable_month,quality_state,hy_year,confidence,phase,phase_status,is_hy_peak,is_hy_mid_dry,is_hy_trough,in_wet_event,wet_event_id,in_low_spell,low_spell_id,regime,route,rainfall_mm,rain_anomaly_mm
2005-01-01,0.04505757466502273,3.0824198622420202,20.0,0.283671,True,usable,,,unspecified,disabled,False,False,False,False,,True,1,aseasonal,event_characterisation,23.886041473227923,-14.7860414732281
2005-02-01,0.04435566207295309,3.243582842115296,20.0,0.283671,True,usable,,,unspecified,disabled,False,False,False,False,,True,1,aseasonal,event_characterisation,41.61773444753928,0.6217579696688276
2005-03-01,0.042043153697115775,3.0831984724764494,20.0,0.283671,True,usable,,,unspecified,disabled,False,False,False,False,,True,1,aseasonal,event_characterisation,9.9036830702567,-32.50222841225628
2005-04-01,0.039795843468686656,3.083750620363833,20.0,0.283671,True,usable,,,unspecified,disabled,False,False,False,False,,True,1,aseasonal,event_characterisation,4.789445991952775,-22.392324357783966
2005-05-01,0.040163065185222516,3.3595210578172963,20.0,0.283671,True,usable,,,unspecified,disabled,False,False,False,False,,True,1,aseasonal,event_characterisation,1.3942742185080357,-29.057536366449998
2005-06-01,0.08964101919496362,10.698318242750243,20.0,0.283671,True,usable,,,unspecified,disabled,False,False,False,False,,True,1,aseasonal,event_characterisation,85.37335190343528,40.49142680284741
2005-07-01,0.1639209838350242,11.181632082617199,20.0,0.283671,True,usable,,,unspecified,disabled,False,False,False,False,,True,1,aseasonal,event_characterisation,60.36592386258106,19.41275147013308
2005-08-01,0.11800313770721037,3.616579168347381,20.0,0.283671,True,usable,,,unspecified,disabled,False,False,False,False,,True,1,aseasonal,event_characterisation,52.45852677189706,21.626493345713403
2005-09-01,0.1435893053179575,6.354490266817587,20.0,0.283671,True,usable,,,unspecified,disabled,False,False,False,False,,True,1,aseasonal,event_characterisation,84.17168059424309,57.95852677189724
2005-10-01,0.1591756741123267,10.71041296634682,20.0,0.283671,True,usable,,,unspecified,disabled,False,False,False,False,,True,1,aseasonal,event_characterisation,55.5942432683378,24.61070875889817
2005-11-01,0.3701296194522911,3.5699080802173992,20.0,0.283671,True,usable,,,unspecified,disabled,False,False,False,False,,False,,aseasonal,event_characterisation,64.20817084493946,2.7230578768183236
2005-12-01,0.11840432264855724,16.85135741122253,20.0,0.283671,True,usable,,,unspecified,disabled,False,False,False,False,,True,2,aseasonal,event_characterisation,22.861993190962373,-23.201083255957904
2006-01-01,0.12148852287155021,10.16365931868336,20.0,0.283671,True,usable,,,unspecified,disabled,False,False,False,False,,True,2,aseasonal,event_characterisation,39.01844630145448,0.34636335499845927
2006-02-01,0.092554240529563,5.388034184841486,20.0,0.283671,True,usable,,,unspecified,disabled,False,False,False,False,,True,2,aseasonal,event_characterisation,9.569359331476155,-31.426617146394292
2006-03-01,0.0807332353993267,9.621813133427004,20.0,0.283671,True,usable,,,unspecified,disabled,False,False,False,False,,True,2,aseasonal,event_characterisation,10.875766016712916,-31.53014546580006
2006-04-01,0.0742953681348758,3.2138427327561616,20.0,0.283671,True,usable,,,unspecified,disabled,False,False,False,False,,True,2,aseasonal,event_characterisation,8.516341689879114,-18.665428659857625
2006-05-01,0.07220551022028743,3.3451990653642123,20.0,0.283671,True,usable,,,unspecified,disabled,False,False,False,False,,True,2,aseasonal,event_characterisation,3.996162178891813,-26.45564840606622
2006-06-01,0.07805110176628198,3.436634988981264,20.0,0.283671,True,usable,,,unspecified,disabled,False,False,False,False,,True,2,aseasonal,event_characterisation,46.33655215103664,1.4546270504487708
2006-07-01,0.09892980738196293,3.4368322680361647,20.0,0.283671,True,usable,,,unspecified,disabled,False,False,False,False,,True,2,aseasonal,event_characterisation,49.54478489631674,8.59161250386876
2006-08-01,0.09393934096884678,3.1023403774602025,20.0,0.283671,True,usable,,,unspecified,disabled,False,False,False,False,,True,2,aseasonal,event_characterisation,8.285670071185205,-22.546363354998455
2006-09-01,0.0858315816251752,3.095439112533751,20.0,0.283671,True,usable,,,unspecified,disabled,False,False,False,False,,True,2,aseasonal,event_characterisation,17.7844630145464,-8.428690807799441
2006-10-01,0.08636075392278582,3.193147109298608,20.0,0.283671,True,usable,,,unspecified,disabled,False,False,False,False,,True,2,aseasonal,event_characterisation,0.241535128443166,-30.741999380996464
2006-11-01,0.09530930133488372,4.251399820382674,20.0,0.283671,True,usable,,,unspecified,disabled,False,False,False,False,,True,2,aseasonal,event_characterisation,14.006128133704554,-47.47898483441658
2006-12-01,0.05078266004786196,3.1266593984704802,20.0,0.283671,True,usable,,,unspecified,disabled,False,False,False,False,,True,2,aseasonal,event_characterisation,15.513525224388555,-30.549551222531722
2007-01-01,0.041641647765370736,3.676520483081541,20.0,0.283671,True,usable,,,unspecified,disabled,False,False,False,False,,True,2,aseasonal,event_characterisation,28.825502940265984,-9.846580006190038
2007-02-01,0.03611831434738728,3.1347431703946476,20.0,0.283671,True,usable,,,unspecified,disabled,False,False,False,False,,True,2,aseasonal,event_characterisation,34.613184772516064,-6.382791705354386
