hy_year,hy_start,hy_end,trough_month,trough_extent_pct,trough_invalid_pct,peak_month,peak_extent_pct,peak_invalid_pct,peak_quality,status,status_reason,boundary_status,timing_status,trough_timing_status,trough_interval_start,trough_interval_end,cycle_months,detectability_floor_pp,confidence
2005,2005-01-01,2005-11-01,2005-11-01,0.1218057520813508,3.0200637644728574,2005-01-01,0.7144900900834145,2.3143246328936504,normal,partial,record_start_boundary,provisional,broad,broad,2005-08-01,2005-11-01,11,0.022260103976285747,medium
2006,2005-12-01,2006-12-01,2006-12-01,0.1140192712165744,5.309608101838904,2006-04-01,0.9383397513796209,3.2972829359295366,normal,complete,ok,confirmed,interval,interval,2006-10-01,2006-12-01,13,0.022260103976285747,high
2007,2007-01-01,2007-11-01,2007-11-01,0.13349586391298898,16.836176632196125,2007-03-01,0.43774238011263084,18.360899348865367,normal,complete,ok,confirmed,interval,interval,2007-10-01,2007-11-01,11,0.022260103976285747,high
2008,2007-12-01,2008-11-01,2008-11-01,0.11484580061617326,6.237463437424942,2008-03-01,1.084287751430856,2.143738216897914,normal,complete,ok,confirmed,interval,interval,2008-10-01,2008-11-01,12,0.022260103976285747,high
2009,2008-12-01,2009-11-01,2009-11-01,0.09753920291363906,4.051880196491967,2009-02-01,1.587771388693991,8.972103865680038,normal,complete,ok,confirmed,interval,interval,2009-10-01,2009-11-01,12,0.022260103976285747,high
2010,2009-12-01,2010-11-01,2010-11-01,0.12325976713475716,3.4593674222109625,2010-01-01,0.760123932392482,47.85872451312962,normal,complete,ok,confirmed,broad,broad,2010-07-01,2010-11-01,12,0.022260103976285747,high
2011,2010-12-01,2011-10-01,2011-10-01,0.1691311241411557,10.90707101282857,2011-03-01,5.2072032029114,87.22335990734739,anomalous,partial,peak_quality_anomalous,provisional,interval,interval,2011-09-01,2011-10-01,11,0.022260103976285747,low
2012,2011-11-01,2012-11-01,2012-11-01,0.12507192492917293,17.958837696714056,2012-03-01,1.0994226113282024,58.33635265899168,anomalous,partial,peak_quality_anomalous,provisional,point,point,2012-11-01,2012-11-01,13,0.022260103976285747,low
2013,2012-12-01,2013-11-01,2013-11-01,0.09694534183025454,7.265287186894394,2013-04-01,0.4160011568588932,1.9354886470942418,normal,complete,ok,confirmed,point,point,2013-11-01,2013-11-01,12,0.022260103976285747,high
2014,2013-12-01,2014-11-01,2014-11-01,0.1329052668223266,3.728349526701784,2014-02-01,0.5550569139168234,22.652477042486616,normal,complete,ok,confirmed,interval,interval,2014-09-01,2014-11-01,12,0.022260103976285747,high
2015,2014-12-01,2015-11-01,2015-11-01,0.13097251775746838,2.1293155354340296,2015-01-01,0.6476532561200272,19.858018760837165,normal,complete,ok,confirmed,broad,broad,2015-08-01,2015-11-01,12,0.022260103976285747,high
2016,2015-12-01,2016-11-01,2016-11-01,0.1275782362069293,3.855529709045803,2016-01-01,0.5638438177669607,5.80535549187151,normal,complete,ok,confirmed,interval,interval,2016-09-01,2016-11-01,12,0.022260103976285747,high
2017,2016-12-01,2017-12-01,2017-12-01,0.02505734929138568,15.943437819768302,2017-02-01,0.5090450615894012,9.916050024512142,normal,partial,boundary_provisional,provisional,point,point,2017-12-01,2017-12-01,13,0.022260103976285747,medium
2018,2018-01-01,2018-12-01,2018-12-01,0.1413574473943019,4.671262556303898,2018-02-01,1.1352523474298117,11.289289345279027,normal,complete,ok,confirmed,interval,interval,2018-10-01,2018-12-01,12,0.022260103976285747,high
2019,2019-01-01,2019-12-01,2019-12-01,0.11779047092200413,2.4096966087697536,2019-04-01,0.19394112602546243,1.9360858221109396,normal,complete,ok,confirmed,broad,broad,2019-08-01,2019-12-01,12,0.022260103976285747,high
2020,2020-01-01,2020-11-01,2020-11-01,0.12871238222898537,2.1157713428376836,2020-01-01,0.5116385044371546,8.302295586827274,normal,complete,ok,confirmed,broad,broad,2020-06-01,2020-11-01,11,0.022260103976285747,high
2021,2020-12-01,2021-11-01,2021-11-01,0.12563752750184426,3.167827566125206,2021-02-01,2.7687761996866587,81.05510461256009,anomalous,partial,peak_quality_anomalous,provisional,interval,interval,2021-09-01,2021-11-01,12,0.022260103976285747,medium
2022,2021-12-01,2022-12-01,2022-12-01,0.13313527349733237,3.9811667779857927,2022-02-01,0.26975331886008846,5.204395076514078,normal,complete,ok,confirmed,broad,broad,2022-08-01,2022-12-01,13,0.022260103976285747,high
2023,2023-01-01,2023-12-01,2023-12-01,0.142760872334076,6.060123843898779,2023-01-01,0.49404864266668963,31.56216049037446,normal,complete,ok,confirmed,broad,broad,2023-09-01,2023-12-01,12,0.022260103976285747,high
2024,2024-01-01,2024-11-01,2024-11-01,0.15036834416743444,2.3250852989658837,2024-03-01,1.2728859747306895,28.33113107909361,normal,complete,ok,confirmed,interval,interval,2024-09-01,2024-11-01,11,0.022260103976285747,high
2025,2024-12-01,2025-12-01,2025-12-01,0.0811461680341347,11.607894555014132,2025-02-01,0.4067364466514648,4.25038248813053,normal,partial,boundary_provisional,provisional,point,point,2025-12-01,2025-12-01,13,0.022260103976285747,medium
