hy_year,hy_start,hy_end,trough_month,trough_extent_pct,trough_invalid_pct,peak_month,peak_extent_pct,peak_invalid_pct,peak_quality,status,status_reason,boundary_status,timing_status,trough_timing_status,trough_interval_start,trough_interval_end,cycle_months,detectability_floor_pp,confidence
2005,2005-01-01,2005-10-01,2005-10-01,0.02487210109444671,2.799176094944939,2005-03-01,0.1193405802163906,5.260772627816955,normal,partial,record_start_boundary,provisional,broad,broad,2005-07-01,2005-10-01,10,0.01482534381733716,medium
2006,2005-11-01,2006-10-01,2006-10-01,0.01911905623212349,2.801037131123612,2006-01-01,0.7029518145170444,58.41869930654516,anomalous,partial,peak_quality_anomalous,provisional,interval,interval,2006-09-01,2006-10-01,12,0.01482534381733716,medium
2007,2006-11-01,2007-10-01,2007-10-01,0.02620454170383599,4.065263716229944,2007-03-01,0.2858799995626491,34.4890815293205,anomalous,partial,peak_quality_anomalous,provisional,point,point,2007-10-01,2007-10-01,12,0.01482534381733716,medium
2008,2007-11-01,2008-11-01,2008-11-01,0.024948181013192648,2.8062583972201174,2008-02-01,0.2751062888417283,29.08542648387929,anomalous,partial,peak_quality_anomalous,provisional,broad,broad,2008-08-01,2008-11-01,13,0.01482534381733716,medium
2009,2008-12-01,2009-11-01,2009-11-01,0.028368388170554433,2.7837371757162965,2009-02-01,1.1675291954089002,7.186664667988462,normal,complete,ok,confirmed,interval,interval,2009-09-01,2009-11-01,12,0.01482534381733716,high
2010,2009-12-01,2010-08-01,2010-08-01,0.045320531909621084,11.717796360664629,2010-01-01,0.1615174357272246,9.554455167916084,normal,complete,ok,confirmed,interval,interval,2010-06-01,2010-08-01,9,0.01482534381733716,high
2011,2010-09-01,2011-09-01,2011-09-01,0.05214257361924784,3.965381321500783,2011-03-01,3.728342680952061,63.35971149293581,anomalous,partial,peak_quality_anomalous,provisional,point,point,2011-09-01,2011-09-01,13,0.01482534381733716,medium
2012,2011-10-01,2012-10-01,2012-10-01,0.032718986816790536,6.300318193691426,2012-03-01,0.3019034221144441,22.074247070200634,normal,complete,ok,confirmed,interval,interval,2012-09-01,2012-10-01,13,0.01482534381733716,high
2013,2012-11-01,2013-11-01,2013-11-01,0.02993453786963711,2.793755861778113,2013-03-01,0.1945817754905184,8.452022126396802,normal,complete,ok,confirmed,broad,broad,2013-08-01,2013-11-01,13,0.01482534381733716,high
2014,2013-12-01,2014-11-01,2014-11-01,0.028910333206577616,3.67462657721428,2014-02-01,0.8168978959305887,10.035773168729758,normal,complete,ok,confirmed,interval,interval,2014-09-01,2014-11-01,12,0.01482534381733716,high
2015,2014-12-01,2015-10-01,2015-10-01,0.034036782056618774,2.782783984635226,2015-01-01,0.3184574854410838,30.107327835043378,normal,complete,ok,confirmed,broad,broad,2015-07-01,2015-10-01,11,0.01482534381733716,high
2016,2015-11-01,2016-11-01,2016-11-01,0.03079362470865367,2.7918864967453336,2016-02-01,0.13229574664402893,4.870893414524978,normal,complete,ok,confirmed,interval,interval,2016-09-01,2016-11-01,13,0.01482534381733716,high
2017,2016-12-01,2017-11-01,2017-11-01,0.04394578372342267,2.87019993562351,2017-02-01,2.371210516188255,15.264252978319567,normal,complete,ok,confirmed,interval,interval,2017-10-01,2017-11-01,12,0.01482534381733716,high
2018,2017-12-01,2018-11-01,2018-11-01,0.03510586751664133,2.8989983368388863,2018-02-01,0.7345733078681227,7.551701685765623,normal,complete,ok,confirmed,interval,interval,2018-10-01,2018-11-01,12,0.01482534381733716,high
2019,2018-12-01,2019-12-01,2019-12-01,0.029463771417477642,3.291622370273054,2019-02-01,0.0884686636484982,4.158622767337292,normal,complete,ok,confirmed,broad,broad,2019-07-01,2019-12-01,13,0.01482534381733716,high
2020,2020-01-01,2020-10-01,2020-10-01,0.0346018630930831,2.8967810107901046,2020-03-01,0.38111378863008993,2.804898017716065,normal,complete,ok,confirmed,interval,interval,2020-09-01,2020-10-01,10,0.01482534381733716,high
2021,2020-11-01,2021-10-01,2021-10-01,0.04569112347493372,2.76659917024994,2021-03-01,1.019775668890236,4.034396057483234,normal,complete,ok,confirmed,interval,interval,2021-09-01,2021-10-01,12,0.01482534381733716,high
2022,2021-11-01,2022-11-01,2022-11-01,0.04571932990032367,2.8205146191656447,2022-02-01,0.5547306317223554,2.8235565017709643,normal,complete,ok,confirmed,broad,broad,2022-08-01,2022-11-01,13,0.01482534381733716,high
2023,2022-12-01,2024-01-01,2024-01-01,0.04140042649722447,5.464232652213834,2023-01-01,1.3609078307255107,7.066092474230664,normal,complete,ok,confirmed,broad,broad,2023-10-01,2024-01-01,14,0.01482534381733716,high
2024,2024-02-01,2024-11-01,2024-11-01,0.037260306578010834,5.816222982747371,2024-03-01,0.443090654337045,2.948496716793474,normal,complete,ok,confirmed,interval,interval,2024-09-01,2024-11-01,10,0.01482534381733716,high
2025,2024-12-01,2025-11-01,2025-11-01,0.03189852240166859,3.1330576457946013,2025-02-01,0.2666638136303789,6.23657469693012,normal,partial,boundary_provisional,provisional,interval,interval,2025-10-01,2025-11-01,12,0.01482534381733716,medium
