hy_year,hy_start,hy_end,trough_month,trough_extent_pct,trough_invalid_pct,peak_month,peak_extent_pct,peak_invalid_pct,peak_quality,status,status_reason,boundary_status,timing_status,trough_timing_status,trough_interval_start,trough_interval_end,cycle_months,detectability_floor_pp,confidence
2005,2005-01-01,2005-11-01,2005-11-01,0.09582578670274478,3.2397882825005198,2005-01-01,1.6335917284756745,15.308459892911445,normal,partial,record_start_boundary,provisional,interval,interval,2005-09-01,2005-11-01,11,0.026513209316778603,medium
2006,2005-12-01,2006-12-01,2006-12-01,0.1229061900723364,3.0390426664257144,2006-02-01,0.7821019886651127,3.2472030414557294,normal,complete,ok,confirmed,interval,interval,2006-10-01,2006-12-01,13,0.026513209316778603,high
2007,2007-01-01,2007-10-01,2007-10-01,0.10774605557478328,3.2507430172344556,2007-02-01,3.5798427755609183,42.755753961149196,anomalous,partial,peak_quality_anomalous,provisional,interval,interval,2007-09-01,2007-10-01,10,0.026513209316778603,medium
2008,2007-11-01,2008-11-01,2008-11-01,0.11124437298450778,7.922849596391724,2008-01-01,1.4550254762954522,21.089991614707895,normal,complete,ok,confirmed,interval,interval,2008-09-01,2008-11-01,13,0.026513209316778603,high
2009,2008-12-01,2009-12-01,2009-12-01,0.13015861432597595,7.121038957984652,2009-01-01,7.618662933013934,50.468491500363,anomalous,partial,peak_quality_anomalous,provisional,broad,broad,2009-09-01,2009-12-01,13,0.026513209316778603,medium
2010,2010-01-01,2010-11-01,2010-11-01,0.14829394213010483,5.387426667482726,2010-02-01,2.845988886063619,10.222339468325035,normal,complete,ok,confirmed,interval,interval,2010-09-01,2010-11-01,11,0.026513209316778603,high
2011,2010-12-01,2011-11-01,2011-11-01,0.1304523727188617,7.868529137614129,2011-02-01,6.458520365982146,17.312416908051233,normal,complete,ok,confirmed,interval,interval,2011-09-01,2011-11-01,12,0.026513209316778603,high
2012,2011-12-01,2012-11-01,2012-11-01,0.11498898262727278,16.52093221975304,2012-03-01,3.8716012503678288,55.11308671066553,anomalous,partial,peak_quality_anomalous,provisional,interval,interval,2012-09-01,2012-11-01,12,0.026513209316778603,low
2013,2012-12-01,2013-11-01,2013-11-01,0.09218107928888301,3.4713075980496733,2013-01-01,0.4439155076546166,14.597194240512486,normal,complete,ok,confirmed,interval,interval,2013-10-01,2013-11-01,12,0.026513209316778603,high
2014,2013-12-01,2014-11-01,2014-11-01,0.1046043074591044,3.030386670288575,2014-02-01,1.5395124894101406,27.881163625560717,normal,complete,ok,confirmed,interval,interval,2014-10-01,2014-11-01,12,0.026513209316778603,high
2015,2014-12-01,2015-11-01,2015-11-01,0.09438500677812657,3.1340667221330922,2015-01-01,0.5968413368268981,14.073767787306496,normal,complete,ok,confirmed,interval,interval,2015-09-01,2015-11-01,12,0.026513209316778603,high
2016,2015-12-01,2016-11-01,2016-11-01,0.11148244784271208,3.057942952330817,2016-03-01,1.123024130192286,3.0640593118654555,normal,complete,ok,confirmed,interval,interval,2016-10-01,2016-11-01,12,0.026513209316778603,high
2017,2016-12-01,2017-11-01,2017-11-01,0.11668267563140301,4.124084031267254,2017-01-01,1.5746927203573626,24.072178268770557,normal,complete,ok,confirmed,interval,interval,2017-09-01,2017-11-01,12,0.026513209316778603,high
2018,2017-12-01,2018-11-01,2018-11-01,0.12004370768727472,5.981946613490542,2018-03-01,1.1946204830792115,10.222331302290945,normal,complete,ok,confirmed,interval,interval,2018-09-01,2018-11-01,12,0.026513209316778603,high
2019,2018-12-01,2019-12-01,2019-12-01,0.11606565002831486,3.097266489499113,2019-02-01,0.7705631597434894,4.533586142860765,normal,complete,ok,confirmed,interval,interval,2019-10-01,2019-12-01,13,0.026513209316778603,high
2020,2020-01-01,2020-11-01,2020-11-01,0.12230346149766941,3.1020313703915856,2020-02-01,2.0705307961693387,9.868517460185378,normal,complete,ok,confirmed,interval,interval,2020-09-01,2020-11-01,11,0.026513209316778603,high
2021,2020-12-01,2021-10-01,2021-10-01,0.13098682539100337,3.0419701896475675,2021-01-01,8.290911300778141,17.49498901525509,normal,complete,ok,confirmed,interval,interval,2021-09-01,2021-10-01,11,0.026513209316778603,high
2022,2021-11-01,2022-11-01,2022-11-01,0.12277341400354061,5.504911399959162,2022-01-01,0.8392272249325035,11.080981620992882,normal,complete,ok,confirmed,interval,interval,2022-10-01,2022-11-01,13,0.026513209316778603,high
2023,2022-12-01,2023-11-01,2023-11-01,0.11621237185093089,3.1212337995580786,2023-01-01,6.226224073132963,34.47249236710586,normal,complete,ok,confirmed,interval,interval,2023-10-01,2023-11-01,12,0.026513209316778603,high
2024,2023-12-01,2024-11-01,2024-11-01,0.131635004159201,3.0882511878619416,2024-02-01,3.8187500288446143,42.49444087021669,anomalous,partial,peak_quality_anomalous,provisional,interval,interval,2024-09-01,2024-11-01,12,0.026513209316778603,medium
2025,2024-12-01,2025-11-01,2025-11-01,0.15483206003207928,3.2145593201743954,2025-02-01,1.8124986416840754,3.6220280892790875,normal,partial,boundary_provisional,provisional,interval,interval,2025-09-01,2025-11-01,12,0.026513209316778603,medium
