record,hy_year,pass2_off,pass2_on,delta_months
daly_river_nt,2005,2005-09,2005-11,+2
daly_river_nt,2006,2006-12,2006-12,
daly_river_nt,2007,2007-10,2007-11,+1
daly_river_nt,2008,2008-10,2008-11,+1
daly_river_nt,2009,2009-11,2009-11,
daly_river_nt,2010,2010-11,2010-11,
daly_river_nt,2011,2011-09,2011-10,+1
daly_river_nt,2012,2012-11,2012-11,
daly_river_nt,2013,2013-11,2013-11,
daly_river_nt,2014,2014-10,2014-11,+1
daly_river_nt,2015,2015-10,2015-11,+1
daly_river_nt,2016,2016-11,2016-11,
daly_river_nt,2017,2017-12,2017-12,
daly_river_nt,2018,2018-11,2018-12,+1
daly_river_nt,2019,2019-11,2019-12,+1
daly_river_nt,2020,2020-11,2020-11,
daly_river_nt,2021,2021-11,2021-11,
daly_river_nt,2022,2022-12,2022-12,
daly_river_nt,2023,2023-11,2023-12,+1
daly_river_nt,2024,2024-09,2024-11,+2
daly_river_nt,2025,2025-12,2025-12,
fitzroy_river_wa,2005,2005-10,2005-11,+1
fitzroy_river_wa,2006,2006-10,2006-10,
fitzroy_river_wa,2007,2007-10,2007-10,
fitzroy_river_wa,2008,2008-11,2008-11,
fitzroy_river_wa,2009,2009-11,2009-11,
fitzroy_river_wa,2010,2010-08,2010-08,
fitzroy_river_wa,2011,2011-09,2011-09,
fitzroy_river_wa,2012,2012-10,2012-10,
fitzroy_river_wa,2013,2013-11,2013-11,
fitzroy_river_wa,2014,2014-11,2014-11,
fitzroy_river_wa,2015,2015-10,2015-11,+1
fitzroy_river_wa,2016,2016-11,2016-11,
fitzroy_river_wa,2017,2017-11,2017-11,
fitzroy_river_wa,2018,2018-11,2018-12,+1
fitzroy_river_wa,2019,2019-12,2019-12,
fitzroy_river_wa,2020,2020-10,2020-10,
fitzroy_river_wa,2021,2021-10,2021-12,+2
fitzroy_river_wa,2022,2022-11,2022-11,
fitzroy_river_wa,2023,2024-01,2024-01,
fitzroy_river_wa,2024,2024-11,2024-11,
fitzroy_river_wa,2025,2025-11,2025-11,
gilbert_river_qld,2005,2005-11,2005-11,
gilbert_river_qld,2006,2006-10,2006-12,+2
gilbert_river_qld,2007,2007-10,2007-10,
gilbert_river_qld,2008,2008-11,2008-11,
gilbert_river_qld,2009,2009-11,2009-12,+1
gilbert_river_qld,2010,2010-10,2010-11,+1
gilbert_river_qld,2011,2011-11,2011-11,
gilbert_river_qld,2012,2012-11,2012-11,
gilbert_river_qld,2013,2013-11,2013-11,
gilbert_river_qld,2014,2014-11,2014-11,
gilbert_river_qld,2015,2015-11,2015-11,
gilbert_river_qld,2016,2016-11,2016-11,
gilbert_river_qld,2017,2017-11,2017-11,
gilbert_river_qld,2018,2018-11,2018-11,
gilbert_river_qld,2019,2019-11,2019-12,+1
gilbert_river_qld,2020,2020-10,2020-11,+1
gilbert_river_qld,2021,2021-10,2021-10,
gilbert_river_qld,2022,2022-11,2022-11,
gilbert_river_qld,2023,2023-11,2023-11,
gilbert_river_qld,2024,2024-11,2024-11,
gilbert_river_qld,2025,2025-11,2025-11,
fitzroy_kimberley_GATE,2015,2015-12,2015-12,
fitzroy_kimberley_GATE,2016,2016-11,2016-11,
fitzroy_kimberley_GATE,2017,2017-11,2017-11,
fitzroy_kimberley_GATE,2018,2018-12,2018-12,
fitzroy_kimberley_GATE,2019,2019-12,2019-12,
fitzroy_kimberley_GATE,2020,2020-11,2020-11,
fitzroy_kimberley_GATE,2021,2021-12,2022-01,+1
fitzroy_kimberley_GATE,2022,2022-11,2022-11,
fitzroy_kimberley_GATE,2023,2024-01,2024-01,
fitzroy_kimberley_GATE,2024,2024-10,2024-11,+1
fitzroy_kimberley_GATE,2025,2025-11,2025-11,
gilbert_river_GATE,2015,2015-10,2015-10,
gilbert_river_GATE,2016,2016-10,2016-10,
gilbert_river_GATE,2017,2017-09,2017-09,
gilbert_river_GATE,2018,2018-11,2018-11,
gilbert_river_GATE,2019,2019-11,2019-11,
gilbert_river_GATE,2020,2020-10,2020-11,+1
gilbert_river_GATE,2021,2021-10,2021-11,+1
gilbert_river_GATE,2022,2022-11,2022-11,
gilbert_river_GATE,2023,2023-11,2023-11,
gilbert_river_GATE,2024,2024-11,2024-11,
gilbert_river_GATE,2025,2025-10,2025-10,
