date,extent_pct,invalid_pct,max_invalid_pct,baseline_extent_pct,usable_month,quality_state,hy_year,confidence,phase,phase_status,is_hy_peak,is_hy_mid_dry,is_hy_trough,in_wet_event,wet_event_id,in_low_spell,low_spell_id,regime,route
2005-01-01,0.03325248423127648,3.645615411541356,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2005-02-01,0.0806332246716963,2.789623391555654,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2005-03-01,0.11151952906617735,5.033101512798165,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2005-04-01,0.055955230277560095,3.801091905761924,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2005-05-01,0.047434472200437484,2.6896623245006768,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,True,1,seasonal,event_characterisation
2005-06-01,0.044115038299770454,2.7059118250745704,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,True,1,seasonal,event_characterisation
2005-07-01,0.03687706865447643,2.71213118082701,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,True,1,seasonal,event_characterisation
2005-08-01,0.03355731239123819,2.701705157917804,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,True,1,seasonal,event_characterisation
2005-09-01,0.03435252805399413,2.713855285396098,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,True,1,seasonal,event_characterisation
2005-10-01,0.026683946829573632,2.7214250664011495,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,True,1,seasonal,event_characterisation
2005-11-01,0.030050897495289452,2.7247622816829464,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,True,1,seasonal,event_characterisation
2005-12-01,0.08004870362703682,27.255440484113763,20.0,0.07013,True,low,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2006-01-01,0.6869205583734074,56.99392822907859,20.0,0.07013,True,low,,,unspecified,disabled,False,False,False,True,1,False,,seasonal,event_characterisation
2006-02-01,0.25845863383553,4.777652852136981,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,True,1,False,,seasonal,event_characterisation
2006-03-01,0.5848121467079735,7.925852996110812,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,True,1,False,,seasonal,event_characterisation
2006-04-01,0.12574395814827313,2.7120423857419067,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,True,1,False,,seasonal,event_characterisation
2006-05-01,0.08458415945104847,2.724403401547321,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2006-06-01,0.06606042130812335,2.7115762115451147,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2006-07-01,0.05316781588566733,2.696329355473845,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2006-08-01,0.04460536306111718,2.688837270168259,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,True,2,seasonal,event_characterisation
2006-09-01,0.03249236847615887,2.7009984970321907,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,True,2,seasonal,event_characterisation
2006-10-01,0.018868673726590825,2.72403712182127,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,True,2,seasonal,event_characterisation
2006-11-01,0.02577616896792435,3.8455708438082246,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,True,2,seasonal,event_characterisation
2006-12-01,0.02692982088676908,2.936401667231317,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,True,2,seasonal,event_characterisation
2007-01-01,0.12045599858397502,10.140457915513919,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2007-02-01,0.09305870708711216,2.772674629686572,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2007-03-01,0.271334885863694,33.67268718309173,20.0,0.07013,True,low,,,unspecified,disabled,False,False,False,True,2,False,,seasonal,event_characterisation
2007-04-01,0.2352624867383994,2.6828584011046406,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,True,2,False,,seasonal,event_characterisation
2007-05-01,0.08578448610473804,2.6795137862324183,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2007-06-01,0.06262536673454314,2.7218024455128385,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2007-07-01,0.05563144964882386,2.682558717692417,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2007-08-01,0.045939154039070104,2.6792585003627463,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,True,3,seasonal,event_characterisation
2007-09-01,0.04189587665239319,2.7184837292071045,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,True,3,seasonal,event_characterisation
2007-10-01,0.02677421025685874,3.712666800179943,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,True,3,seasonal,event_characterisation
2007-11-01,0.03289177169073021,5.063576725964641,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,True,3,seasonal,event_characterisation
2007-12-01,0.07144478726185599,18.318925529153034,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
