event_id,start_date,end_date,duration_months,baseline_extent_pct,peak_date,peak_extent_pct,mean_extent_pct,magnitude_pp_months
1,2006-01-01,2006-04-01,4,0.07013,2006-01-01,0.686921,0.413984,1.289285
2,2007-03-01,2007-04-01,2,0.07013,2007-03-01,0.271335,0.253299,0.323272
3,2008-02-01,2008-04-01,3,0.07013,2008-02-01,0.255029,0.192786,0.303371
4,2009-01-01,2009-05-01,5,0.07013,2009-02-01,1.133607,0.361439,1.348881
5,2010-01-01,2010-03-01,3,0.07013,2010-01-01,0.159144,0.124009,0.097038
6,2011-01-01,2011-08-01,8,0.07013,2011-03-01,3.68383,0.672773,4.648887
7,2012-01-01,2012-04-01,4,0.07013,2012-03-01,0.281138,0.191206,0.398172
8,2013-03-01,2013-03-01,1,0.07013,2013-03-01,0.179689,0.179689,0.088027
9,2014-02-01,2014-04-01,3,0.07013,2014-02-01,0.794849,0.358287,0.799872
10,2015-01-01,2015-04-01,4,0.07013,2015-01-01,0.306528,0.191575,0.399648
11,2017-01-01,2017-07-01,7,0.07013,2017-02-01,2.380128,0.708832,4.320187
12,2018-01-01,2018-06-01,6,0.07013,2018-02-01,0.697581,0.257282,0.993716
13,2020-01-01,2020-06-01,6,0.07013,2020-03-01,0.364602,0.178687,0.522145
14,2020-12-01,2021-07-01,8,0.07013,2021-03-01,1.004579,0.398765,2.456817
15,2022-02-01,2022-04-01,3,0.07013,2022-02-01,0.536631,0.31578,0.672351
16,2022-12-01,2023-08-01,9,0.07013,2023-01-01,1.321639,0.41048,2.869356
17,2024-02-01,2024-05-01,4,0.07013,2024-03-01,0.424121,0.218704,0.508164
18,2025-01-01,2025-06-01,6,0.07013,2025-02-01,0.252441,0.196361,0.628189
