event_id,start_date,end_date,duration_months,baseline_extent_pct,peak_date,peak_extent_pct,mean_extent_pct,magnitude_pp_months
1,2005-01-01,2005-02-01,2,0.196424,2005-01-01,1.633592,1.07084,1.678623
2,2006-02-01,2006-06-01,5,0.196424,2006-02-01,0.782102,0.53104,1.497558
3,2007-01-01,2007-03-01,3,0.196424,2007-02-01,3.579843,1.774218,4.628069
4,2008-01-01,2008-03-01,3,0.196424,2008-01-01,1.455025,1.056517,2.474965
5,2009-01-01,2009-04-01,4,0.196424,2009-01-01,7.618663,3.223686,11.968631
6,2010-01-01,2010-04-01,4,0.196424,2010-02-01,2.845989,1.312308,4.323118
7,2010-12-01,2011-06-01,7,0.196424,2011-02-01,6.45852,1.914174,11.778518
8,2011-12-01,2011-12-01,1,0.196424,2011-12-01,0.80942,0.80942,0.577892
9,2012-02-01,2012-06-01,5,0.196424,2012-03-01,3.871601,1.129035,4.487535
10,2013-01-01,2013-03-01,3,0.196424,2013-01-01,0.443916,0.327049,0.286562
11,2014-01-01,2014-04-01,4,0.196424,2014-02-01,1.539512,0.595242,1.454853
12,2015-01-01,2015-03-01,3,0.196424,2015-01-01,0.596841,0.4059,0.523116
13,2016-01-01,2016-03-01,3,0.196424,2016-03-01,1.123024,0.646513,1.244955
14,2017-01-01,2017-03-01,3,0.196424,2017-01-01,1.574693,0.818902,1.762121
15,2018-02-01,2018-05-01,4,0.196424,2018-03-01,1.19462,0.595655,1.456508
16,2019-01-01,2019-04-01,4,0.196424,2019-02-01,0.770563,0.41089,0.717447
17,2020-01-01,2020-03-01,3,0.196424,2020-02-01,2.070531,0.92698,2.086356
18,2021-01-01,2021-05-01,5,0.196424,2021-01-01,8.290911,2.039654,9.04063
19,2021-12-01,2022-03-01,4,0.196424,2022-01-01,0.839227,0.524506,1.17191
20,2022-05-01,2022-05-01,1,0.196424,2022-05-01,0.330951,0.330951,0.099423
21,2023-01-01,2023-05-01,5,0.196424,2023-01-01,6.226224,2.222325,9.953982
22,2024-01-01,2024-06-01,6,0.196424,2024-02-01,3.81875,1.226836,5.971849
23,2024-12-01,2025-07-01,8,0.196424,2025-02-01,1.812499,0.605692,2.993306
24,2025-12-01,2025-12-01,1,0.196424,2025-12-01,0.420854,0.420854,0.189326
