family,truth_seasonal,variant,n_years,seasonal,n,rate,wilson_upper,insufficient
all_zero,False,base,7,0,200,0.0,0.013347160654775625,0
all_zero,False,base,15,0,200,0.0,0.013347160654775625,0
all_zero,False,base,30,0,200,0.0,0.013347160654775625,0
all_zero,False,low_state_gap,7,0,200,0.0,0.013347160654775625,0
all_zero,False,low_state_gap,15,0,200,0.0,0.013347160654775625,0
all_zero,False,low_state_gap,30,0,200,0.0,0.013347160654775625,0
all_zero,False,missing_10,7,0,200,0.0,0.013347160654775625,28
all_zero,False,missing_10,15,0,200,0.0,0.013347160654775625,0
all_zero,False,missing_10,30,0,200,0.0,0.013347160654775625,0
all_zero,False,missing_25,7,0,200,0.0,0.013347160654775625,166
all_zero,False,missing_25,15,0,200,0.0,0.013347160654775625,6
all_zero,False,missing_25,30,0,200,0.0,0.013347160654775625,0
all_zero,False,pixel_rounded,7,0,200,0.0,0.013347160654775625,0
all_zero,False,pixel_rounded,15,0,200,0.0,0.013347160654775625,0
all_zero,False,pixel_rounded,30,0,200,0.0,0.013347160654775625,0
amplitude_curve,,base,7,126,200,0.63,0.6840701898989827,0
amplitude_curve,,base,15,143,200,0.715,0.7643611224058089,0
amplitude_curve,,base,30,175,200,0.875,0.9085291835173994,0
amplitude_curve,,low_state_gap,7,117,200,0.585,0.6408009287963643,0
amplitude_curve,,low_state_gap,15,126,200,0.63,0.6840701898989827,0
amplitude_curve,,low_state_gap,30,157,200,0.785,0.8288105213548203,0
amplitude_curve,,missing_10,7,108,200,0.54,0.5970484002717367,22
amplitude_curve,,missing_10,15,134,200,0.67,0.7221019828664477,0
amplitude_curve,,missing_10,30,165,200,0.825,0.8647735439341182,0
amplitude_curve,,missing_25,7,14,200,0.07,0.10576992148230563,176
amplitude_curve,,missing_25,15,119,200,0.595,0.6504589076546378,2
amplitude_curve,,missing_25,30,150,200,0.75,0.7968002898406995,0
amplitude_curve,,pixel_rounded,7,50,200,0.25,0.3034738701680874,0
amplitude_curve,,pixel_rounded,15,49,200,0.245,0.2982078935578222,0
amplitude_curve,,pixel_rounded,30,75,200,0.375,0.4326239517372156,0
annual_plus_strong_trend,True,base,7,114,200,0.57,0.626269387405366,0
annual_plus_strong_trend,True,base,15,200,200,1.0,1.0,0
annual_plus_strong_trend,True,base,30,200,200,1.0,1.0,0
annual_plus_strong_trend,True,low_state_gap,7,22,200,0.11,0.15172638854538492,0
annual_plus_strong_trend,True,low_state_gap,15,200,200,1.0,1.0,0
annual_plus_strong_trend,True,low_state_gap,30,200,200,1.0,1.0,0
annual_plus_strong_trend,True,missing_10,7,8,200,0.04,0.06959660781466326,22
annual_plus_strong_trend,True,missing_10,15,167,200,0.835,0.8736436356273547,0
annual_plus_strong_trend,True,missing_10,30,198,200,0.99,0.9966852424110841,0
annual_plus_strong_trend,True,missing_25,7,0,200,0.0,0.013347160654775625,178
annual_plus_strong_trend,True,missing_25,15,56,200,0.28,0.33489222090702764,1
annual_plus_strong_trend,True,missing_25,30,108,200,0.54,0.5970484002717367,0
annual_plus_strong_trend,True,pixel_rounded,7,2,200,0.01,0.029765459852764183,0
annual_plus_strong_trend,True,pixel_rounded,15,86,200,0.43,0.4881379898970347,0
annual_plus_strong_trend,True,pixel_rounded,30,142,200,0.71,0.7596950643010794,0
annual_plus_trend,True,base,7,190,200,0.95,0.9698793883289113,0
annual_plus_trend,True,base,15,200,200,1.0,1.0,0
annual_plus_trend,True,base,30,200,200,1.0,1.0,0
annual_plus_trend,True,low_state_gap,7,157,200,0.785,0.8288105213548203,0
annual_plus_trend,True,low_state_gap,15,200,200,1.0,1.0,0
annual_plus_trend,True,low_state_gap,30,200,200,1.0,1.0,0
