family,truth_seasonal,variant,n_years,seasonal,n,rate,wilson_upper,insufficient
all_zero,False,base,7,0,200,0.0,0.013347160654775625,0
all_zero,False,base,15,0,200,0.0,0.013347160654775625,0
all_zero,False,base,30,0,200,0.0,0.013347160654775625,0
all_zero,False,low_state_gap,7,0,200,0.0,0.013347160654775625,0
all_zero,False,low_state_gap,15,0,200,0.0,0.013347160654775625,0
all_zero,False,low_state_gap,30,0,200,0.0,0.013347160654775625,0
all_zero,False,missing_10,7,0,200,0.0,0.013347160654775625,28
all_zero,False,missing_10,15,0,200,0.0,0.013347160654775625,0
all_zero,False,missing_10,30,0,200,0.0,0.013347160654775625,0
all_zero,False,missing_25,7,0,200,0.0,0.013347160654775625,166
all_zero,False,missing_25,15,0,200,0.0,0.013347160654775625,6
all_zero,False,missing_25,30,0,200,0.0,0.013347160654775625,0
all_zero,False,pixel_rounded,7,0,200,0.0,0.013347160654775625,0
all_zero,False,pixel_rounded,15,0,200,0.0,0.013347160654775625,0
all_zero,False,pixel_rounded,30,0,200,0.0,0.013347160654775625,0
amplitude_curve,,base,7,110,200,0.55,0.606811921962759,0
amplitude_curve,,base,15,134,200,0.67,0.7221019828664477,0
amplitude_curve,,base,30,165,200,0.825,0.8647735439341182,0
amplitude_curve,,low_state_gap,7,102,200,0.51,0.5676200846674877,0
amplitude_curve,,low_state_gap,15,120,200,0.6,0.6552788867532937,0
amplitude_curve,,low_state_gap,30,145,200,0.725,0.7736699846773798,0
amplitude_curve,,missing_10,7,101,200,0.505,0.5626953706190595,22
amplitude_curve,,missing_10,15,125,200,0.625,0.6792871615735216,0
amplitude_curve,,missing_10,30,162,200,0.81,0.8513733450560949,0
amplitude_curve,,missing_25,7,12,200,0.06,0.09393106606115849,176
amplitude_curve,,missing_25,15,101,200,0.505,0.5626953706190595,2
amplitude_curve,,missing_25,30,141,200,0.705,0.755021413057902,0
amplitude_curve,,pixel_rounded,7,47,200,0.235,0.2876490750957233,0
amplitude_curve,,pixel_rounded,15,46,200,0.23,0.2823558517534482,0
amplitude_curve,,pixel_rounded,30,72,200,0.36,0.41735443392756016,0
annual_plus_strong_trend,True,base,7,85,200,0.425,0.48312121264569124,0
annual_plus_strong_trend,True,base,15,200,200,1.0,1.0,0
annual_plus_strong_trend,True,base,30,200,200,1.0,1.0,0
annual_plus_strong_trend,True,low_state_gap,7,7,200,0.035,0.06332701108904513,0
annual_plus_strong_trend,True,low_state_gap,15,200,200,1.0,1.0,0
annual_plus_strong_trend,True,low_state_gap,30,200,200,1.0,1.0,0
annual_plus_strong_trend,True,missing_10,7,2,200,0.01,0.029765459852764183,22
annual_plus_strong_trend,True,missing_10,15,165,200,0.825,0.8647735439341182,0
annual_plus_strong_trend,True,missing_10,30,198,200,0.99,0.9966852424110841,0
annual_plus_strong_trend,True,missing_25,7,0,200,0.0,0.013347160654775625,178
annual_plus_strong_trend,True,missing_25,15,50,200,0.25,0.3034738701680874,1
annual_plus_strong_trend,True,missing_25,30,104,200,0.52,0.5774523998021451,0
annual_plus_strong_trend,True,pixel_rounded,7,0,200,0.0,0.013347160654775625,0
annual_plus_strong_trend,True,pixel_rounded,15,64,200,0.32,0.37634796242101476,0
annual_plus_strong_trend,True,pixel_rounded,30,134,200,0.67,0.7221019828664477,0
annual_plus_trend,True,base,7,183,200,0.915,0.9421527734109452,0
annual_plus_trend,True,base,15,200,200,1.0,1.0,0
annual_plus_trend,True,base,30,200,200,1.0,1.0,0
annual_plus_trend,True,low_state_gap,7,126,200,0.63,0.6840701898989827,0
annual_plus_trend,True,low_state_gap,15,200,200,1.0,1.0,0
annual_plus_trend,True,low_state_gap,30,200,200,1.0,1.0,0
