family,family_id,truth_seasonal,n_years,replicate,variant,n_redraws,established_regime,established_route,established_snr,candidate_class,candidate_status,candidate_reason,candidate_regime,candidate_route,candidate_peak_p,candidate_trough_p,candidate_peak_r,candidate_trough_r,n_detectable_years,n_timing_eligible_years
white_noise,1,False,7,0,base,0,marginal,event_characterisation,1.1543,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.754,0.247,0.16719688475704864,0.31955940035842334,4,5
white_noise,1,False,7,1,base,0,marginal,event_characterisation,1.0209,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.73,0.59,0.14097200600313825,0.10000000000000003,2,5
white_noise,1,False,7,2,base,0,marginal,event_characterisation,0.9893,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.839,0.872,0.09449788301796341,0.1447687138265513,3,5
white_noise,1,False,7,3,base,0,marginal,event_characterisation,1.4752,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.241,0.255,0.1736574352300267,0.16122568780703833,5,5
white_noise,1,False,7,4,base,0,marginal,event_characterisation,0.9871,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.261,0.336,0.30462003766485685,0.33934382741244595,4,5
white_noise,1,False,7,5,base,0,marginal,event_characterisation,1.116,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.772,0.877,0.1249601065397559,0.07318016136001401,3,5
white_noise,1,False,7,6,base,0,marginal,event_characterisation,1.1065,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.386,0.978,0.21695137988629587,0.07503323188285586,3,5
white_noise,1,False,7,7,base,0,marginal,event_characterisation,1.7592,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.391,0.242,0.12112048140302994,0.3125035796851522,4,5
white_noise,1,False,7,8,base,0,marginal,event_characterisation,1.2998,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.803,0.598,0.17063542958083752,0.32833821025646526,4,5
white_noise,1,False,7,9,base,0,marginal,event_characterisation,1.0402,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.581,0.634,0.04000554908149008,0.08662113907753283,2,5
white_noise,1,False,7,10,base,0,marginal,event_characterisation,1.6612,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.446,0.599,0.4232334908020954,0.25198646264687447,2,5
white_noise,1,False,7,11,base,0,aseasonal,event_characterisation,0.6726,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.616,0.544,0.33203543513851647,0.23129622216290371,3,5
white_noise,1,False,7,12,base,0,marginal,event_characterisation,1.2103,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.468,0.088,0.19271590005600991,0.38905936243714784,4,5
white_noise,1,False,7,13,base,0,aseasonal,event_characterisation,0.6117,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,1.0,0.525,0.24743582965269673,0.1725460300683472,1,5
white_noise,1,False,7,14,base,0,marginal,event_characterisation,1.5656,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.172,0.172,0.3787575233282202,0.1786339980945936,5,5
white_noise,1,False,7,15,base,0,marginal,event_characterisation,1.2607,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.939,0.693,0.1829396805136081,0.09711787925353649,3,5
white_noise,1,False,7,16,base,0,marginal,event_characterisation,1.3171,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.853,0.105,0.28044087831539904,0.3288437787639882,3,5
white_noise,1,False,7,17,base,0,marginal,event_characterisation,1.4188,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.918,0.465,0.11702087700490195,0.32101932610383865,4,5
white_noise,1,False,7,18,base,0,marginal,event_characterisation,1.1127,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.959,0.785,0.09106167807002935,0.1468358385912923,5,5
white_noise,1,False,7,19,base,0,seasonal,event_characterisation,2.1357,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,1.0,0.745,0.1549142093659345,0.324852022109754,2,5
white_noise,1,False,7,20,base,0,aseasonal,event_characterisation,0.6277,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.062,0.993,0.2738838375030956,0.11805929431529993,3,5
white_noise,1,False,7,21,base,0,marginal,event_characterisation,1.3466,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.581,0.541,0.08627301503417364,0.25881904510252096,1,5
white_noise,1,False,7,22,base,0,marginal,event_characterisation,1.7955,aseasonal,ok,trough_uniformity_not_rejected,aseasonal,event_characterisation,0.012,0.194,0.2509264255311865,0.30367823941320926,3,5
white_noise,1,False,7,23,base,0,marginal,event_characterisation,0.8204,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.65,0.402,0.13987174742355438,0.3460649999748391,3,5
white_noise,1,False,7,24,base,0,marginal,event_characterisation,1.1931,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.133,0.337,0.28713127856635295,0.228109828247667,4,5
white_noise,1,False,7,25,base,0,marginal,event_characterisation,1.2947,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.274,0.809,0.27701800891930684,0.1534604580536122,5,5
white_noise,1,False,7,26,base,0,marginal,event_characterisation,1.1073,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.932,0.853,0.01663519062745018,0.29627314724385284,3,5
white_noise,1,False,7,27,base,0,marginal,event_characterisation,1.1094,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.729,0.498,0.05585761229335469,0.2190820922475561,5,5
white_noise,1,False,7,28,base,0,marginal,event_characterisation,0.8069,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.712,0.98,0.18586764534552752,0.10887957969383152,3,5
white_noise,1,False,7,29,base,0,marginal,event_characterisation,1.6581,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.692,0.799,0.2540501263578279,0.16790645941619084,4,5
white_noise,1,False,7,30,base,0,marginal,event_characterisation,1.5795,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.083,1.0,0.4829629131445342,1.0,1,5
white_noise,1,False,7,31,base,0,marginal,event_characterisation,0.7449,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.817,0.971,0.18382220495745974,0.19177810488667543,3,5
white_noise,1,False,7,32,base,0,marginal,event_characterisation,1.2266,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.365,0.136,0.2620690702562782,0.22615937347943701,4,5
white_noise,1,False,7,33,base,0,marginal,event_characterisation,1.0273,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.975,0.269,0.13300945394285152,0.4211774882699885,3,5
white_noise,1,False,7,34,base,0,marginal,event_characterisation,1.4752,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.477,0.312,0.18206281433570554,0.14398310840087042,5,5
white_noise,1,False,7,35,base,0,marginal,event_characterisation,1.505,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.263,0.893,0.3870067224381885,0.07365695637359872,4,5
white_noise,1,False,7,36,base,0,marginal,event_characterisation,1.4556,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.945,0.648,0.04873661536866247,0.11521718561133944,4,5
white_noise,1,False,7,37,base,0,marginal,event_characterisation,0.8246,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.681,0.199,0.11017743230405734,0.3249613416896551,4,5
white_noise,1,False,7,38,base,0,marginal,event_characterisation,1.0253,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.803,0.283,0.19620247028441248,0.5324600882485423,3,5
white_noise,1,False,7,39,base,0,marginal,event_characterisation,0.9657,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.376,0.477,0.42021358497544287,0.16293962708248225,3,5
white_noise,1,False,7,40,base,0,marginal,event_characterisation,1.6482,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.847,0.069,0.114241564585375,0.3329482591989472,3,5
white_noise,1,False,7,41,base,0,marginal,event_characterisation,1.521,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.759,0.67,0.09906021914790662,0.14619430306778156,4,5
white_noise,1,False,7,42,base,0,marginal,event_characterisation,0.9159,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.171,0.302,0.16178075826060853,0.08081424753267809,3,5
white_noise,1,False,7,43,base,0,marginal,event_characterisation,0.9424,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.455,0.28,0.20583390936139664,0.2709115757954058,4,5
white_noise,1,False,7,44,base,0,marginal,event_characterisation,1.0686,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.339,0.857,0.3212228044535933,0.12595881627665054,5,5
white_noise,1,False,7,45,base,0,marginal,event_characterisation,1.4487,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.826,0.762,0.09181806302589929,0.06497040442195073,5,5
white_noise,1,False,7,46,base,0,aseasonal,event_characterisation,0.5083,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.588,0.999,0.22349465605180643,0.03540985773328326,4,5
white_noise,1,False,7,47,base,0,marginal,event_characterisation,1.1866,aseasonal,ok,trough_uniformity_not_rejected,aseasonal,event_characterisation,0.005,0.346,0.318461093770133,0.1460545172597399,2,5
white_noise,1,False,7,48,base,0,marginal,event_characterisation,1.1746,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.188,0.233,0.5207670550046135,0.07582642791046255,3,5
white_noise,1,False,7,49,base,0,marginal,event_characterisation,0.9515,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.671,0.643,0.08168033137135329,0.07919129864831578,4,5
white_noise,1,False,7,50,base,0,marginal,event_characterisation,1.9339,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.913,0.483,0.19201341612900685,0.1059150048772559,5,5
white_noise,1,False,7,51,base,0,marginal,event_characterisation,0.8376,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.234,0.981,0.12349172580731585,0.2940154276536883,3,5
white_noise,1,False,7,52,base,0,marginal,event_characterisation,1.227,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.541,0.906,0.30272090674399615,0.09492088106322635,4,5
white_noise,1,False,7,53,base,0,marginal,event_characterisation,1.6108,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.721,0.1,0.2859209573785449,0.24573987588744664,4,5
white_noise,1,False,7,54,base,0,marginal,event_characterisation,1.1057,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.828,0.242,0.11828067198896976,0.28393480285228606,4,5
white_noise,1,False,7,55,base,0,marginal,event_characterisation,1.5256,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.073,0.532,0.1800967115224789,0.15136045337199808,3,5
white_noise,1,False,7,56,base,0,marginal,event_characterisation,1.0017,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.844,0.705,0.2654859152577895,0.08943976047872038,4,5
