Unnamed: 0,Date,Year,Month,Rainfall_mm,Rain_Smoothed,Significant,SeasonType,SeasonShift,Hydro_Year,Dry_season_rain_count,Rain_dry_season_mm,Rain_wet_season_mm,zero_flow_months_count,Dry_month_count,Drought_Category,Year_Class_SPI
0,1986-12-01,1986,12,26.5,16.0,True,Wet,True,1987,0,0.0,642.5,4,4,Regular,Regular
1,1987-01-01,1987,1,214.5,120.5,True,Wet,False,1987,0,0.0,642.5,4,4,Regular,Regular
2,1987-02-01,1987,2,220.5,217.5,True,Wet,False,1987,0,0.0,642.5,4,4,Regular,Regular
3,1987-03-01,1987,3,149.5,185.0,True,Wet,False,1987,0,0.0,642.5,4,4,Regular,Regular
4,1987-04-01,1987,4,2.5,76.0,True,Wet,False,1987,0,0.0,642.5,4,4,Regular,Regular
5,1987-05-01,1987,5,29.0,15.75,True,Wet,False,1987,0,0.0,642.5,4,4,Regular,Regular
6,1987-06-01,1987,6,0.0,0.0,False,Dry,True,1987,0,0.0,642.5,4,4,Regular,Regular
7,1987-07-01,1987,7,0.0,0.0,False,Dry,False,1987,0,0.0,642.5,4,4,Regular,Regular
8,1987-08-01,1987,8,0.0,0.0,False,Dry,False,1987,0,0.0,642.5,4,4,Regular,Regular
9,1987-09-01,1987,9,0.0,0.0,False,Dry,False,1987,0,0.0,642.5,4,4,Regular,Regular
10,1987-10-01,1987,10,13.0,6.5,False,Wet,True,1988,3,50.0,180.2,7,7,Prolonged,Dry
11,1987-11-01,1987,11,11.5,12.25,True,Wet,False,1988,3,50.0,180.2,7,7,Prolonged,Dry
12,1987-12-01,1987,12,99.0,55.25,True,Wet,False,1988,3,50.0,180.2,7,7,Prolonged,Dry
13,1988-01-01,1988,1,43.0,71.0,True,Wet,False,1988,3,50.0,180.2,7,7,Prolonged,Dry
14,1988-02-01,1988,2,6.7,24.85,True,Wet,False,1988,3,50.0,180.2,7,7,Prolonged,Dry
15,1988-03-01,1988,3,7.0,6.85,False,Wet,False,1988,3,50.0,180.2,7,7,Prolonged,Dry
16,1988-04-01,1988,4,0.0,0.0,False,Dry,True,1988,3,50.0,180.2,7,7,Prolonged,Dry
17,1988-05-01,1988,5,0.0,0.0,False,Dry,False,1988,3,50.0,180.2,7,7,Prolonged,Dry
18,1988-06-01,1988,6,17.5,8.75,False,Dry,False,1988,3,50.0,180.2,7,7,Prolonged,Dry
19,1988-07-01,1988,7,7.5,12.5,True,Dry,False,1988,3,50.0,180.2,7,7,Prolonged,Dry
