Year,Month,Rainfall_mm
1986,12,26.5
1987,1,214.5
1987,2,220.5
1987,3,149.5
1987,4,2.5
1987,5,29
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,13
1987,11,11.5
1987,12,99
1988,1,43
1988,6,17.5
1988,7,7.5
1988,8,25
1988,9,0
1988,10,0
1988,11,14
1988,12,178
1989,1,56.5
1989,2,139
1989,3,222
1989,4,0
1989,5,51
1989,6,4.5
1989,7,40
1989,8,0
1989,9,0
1989,10,9
1989,11,217
1989,12,44
1990,1,85
1990,2,76.5
1990,3,60.5
1990,4,98
1990,5,13
1990,6,47
1990,7,0
1990,8,0
1990,10,0
1990,11,19.5
1991,1,724.5
1991,2,216
1991,3,0
1991,4,0
1991,6,0
1991,7,0
1991,8,0
1991,9,0
1991,11,18.5
1991,12,19
1992,1,58
1992,2,328.5
1992,3,6
1992,4,0
1992,5,16
1992,6,0
1992,7,0
1992,8,0
1992,9,0
1992,10,0
1992,11,38
1992,12,75.5
1993,1,207.3
1993,2,126.4
1993,3,125.8
1993,4,0
1993,5,0
1993,6,0
1993,7,31.6
1993,8,0
1993,9,0
1993,10,0
1993,11,58
1993,12,34.6
1994,1,97
1994,2,232
1994,3,94
1994,4,0
1994,5,0
1994,6,0
1994,7,0
1994,8,0
1994,9,0
1994,10,21.2
1994,11,40.2
1994,12,12.6
1995,1,142.2
1995,2,410.7
1995,3,83.6
1995,4,0
1995,5,26.8
1995,6,0
1995,7,0
1995,8,19.8
1995,9,2.4
1995,10,21.8
1995,11,13.2
1995,12,33.6
1996,1,219.2
1996,2,38.4
1996,3,31
1996,4,10.6
1996,9,0
1996,10,33.8
1996,11,22.6
1996,12,104.1
1997,1,95.2
1997,2,106
1997,3,157.2
1997,4,0
1997,5,22
1997,6,4.2
1997,7,0
1997,8,0
1997,9,4
1997,10,0
1997,11,90.6
1997,12,287.4
1998,1,208.6
1998,2,77.8
1998,3,124.4
1998,4,40.8
1998,5,39.2
1998,6,6.2
1998,7,0
1998,8,0
1998,9,0
1998,10,45.8
1998,11,25.6
1998,12,170.2
1999,1,109
1999,2,49.15
1999,3,39.26
1999,4,30.4
1999,5,0
1999,6,0
