date,extent_pct,invalid_pct
2006-01-01,75.98,1.0
2006-02-01,77.71,0.49
2006-03-01,76.96,2.75
2006-04-01,64.57,4.28
2006-05-01,40.71,5.34
2006-06-01,24.64,0.6
2006-07-01,14.97,2.05
2006-08-01,9.3,1.03
2006-09-01,14.65,3.42
2006-10-01,25.62,0.44
2006-11-01,46.93,0.12
2006-12-01,64.21,0.72
2007-01-01,75.46,0.14
2007-02-01,82.48,0.94
2007-03-01,76.34,0.98
2007-04-01,60.61,0.23
2007-05-01,45.81,6.17
2007-06-01,25.39,0.6
2007-07-01,16.62,2.39
2007-08-01,9.89,0.4
2007-09-01,14.28,18.0
2007-10-01,26.0,0.18
2007-11-01,47.69,0.24
2007-12-01,62.16,0.02
2008-01-01,74.37,3.23
2008-02-01,79.23,0.71
2008-03-01,76.48,1.39
2008-04-01,63.3,1.74
2008-05-01,45.91,0.36
2008-06-01,28.45,5.87
2008-07-01,19.4,1.09
2008-08-01,9.11,0.15
2008-09-01,13.56,0.22
2008-10-01,25.71,0.99
2008-11-01,46.36,0.25
2008-12-01,64.98,0.65
2009-01-01,75.06,1.49
2009-02-01,78.15,0.08
2009-03-01,73.5,0.72
2009-04-01,63.93,3.14
2009-05-01,46.64,0.15
2009-06-01,28.69,1.94
2009-07-01,13.22,0.1
2009-08-01,10.51,5.36
2009-09-01,14.95,0.51
2009-10-01,27.98,0.49
2009-11-01,46.92,2.18
2009-12-01,62.99,4.52
2010-01-01,76.8,6.38
2010-02-01,80.15,2.76
2010-03-01,75.95,3.46
2010-04-01,63.89,2.19
2010-05-01,41.79,0.39
2010-06-01,26.8,2.33
2010-07-01,13.65,0.33
2010-08-01,8.59,1.98
2010-09-01,14.08,1.53
2010-10-01,30.79,0.72
2010-11-01,43.1,1.42
2010-12-01,64.63,1.8
2011-01-01,79.61,0.46
2011-02-01,87.26,0.84
2011-03-01,83.67,0.85
2011-04-01,71.79,0.22
2011-05-01,54.56,0.58
2011-06-01,37.25,2.05
2011-07-01,21.92,2.39
2011-08-01,16.98,1.15
2011-09-01,24.58,1.2
2011-10-01,35.08,0.8
2011-11-01,50.19,2.33
2011-12-01,68.01,0.81
2012-01-01,73.29,1.92
2012-02-01,81.09,1.28
2012-03-01,75.62,1.2
2012-04-01,64.02,5.75
2012-05-01,44.06,4.29
2012-06-01,27.85,1.91
2012-07-01,16.07,2.39
2012-08-01,9.32,0.3
2012-09-01,15.69,0.93
2012-10-01,26.04,2.61
2012-11-01,44.2,2.05
2012-12-01,61.66,0.47
2013-01-01,72.68,6.21
2013-02-01,81.07,0.08
2013-03-01,74.28,2.23
2013-04-01,62.53,0.19
